assumption_item,current_implementation,source_file,source_field,wind_speed_11_28_value,wind_speed_12_00_value,same_between_scenarios,paper_confirmed,issue_status,note
wind_buses,"Current diagnostic snapshots use distributed wind buses 30:39.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,wind_buses,30:31:32:33:34:35:36:37:38:39,30:31:32:33:34:35:36:37:38:39,true,partially_confirmed_by_inputs,needs_manual_confirmation,"Paper Table 4-6 wind buses are recorded as 30:39 in scenario definitions, but dispatch/absorption assumptions still need confirmation."
wind_capacity_total_mw,"Current snapshots keep total wind capacity at 3000 MW.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,wind_capacity_total_mw,3000,3000,true,partially_confirmed_by_inputs,not_blocking,"Capacity is fixed; actual wind PG differs because the wind-speed curve changes."
wind_capacity_per_bus_mw,"Capacity is evenly distributed across 10 wind buses in current distributed scenario.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,derived_from_total_capacity_and_wind_buses,300,300,true,not_directly_confirmed,needs_manual_confirmation,"This is derived from current implementation; confirm whether paper distributed capacity is equal per bus."
wind_speed_mps,"Only the scenario wind_speed_mps field differs between these two wind-speed points.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,wind_speed_mps,11.28,12,false,confirmed_by_table46_mapping,not_blocking,"The selected comparison points are 11.28 and 12.00 m/s."
wind_power_curve_profile,"Current snapshots use paper_2_12_20 wind power curve profile.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,wind_power_curve_profile,paper_2_12_20,paper_2_12_20,true,confirmed_after_prior_fix,not_blocking,"Curve profile was already corrected before this assumption pack."
expected_wind_power_total_mw,"Expected wind power follows the current paper_2_12_20 curve.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,expected_wind_power_total_mw,2489.3881,3000,false,implementation_confirmed,needs_manual_confirmation,"Current model increases expected wind power from about 2489 MW to 3000 MW; paper absorption and redispatch need confirmation."
actual_wind_pg_total_mw_in_case,"Current case applies the expected wind PG into the case; 12.00 m/s reaches 3000 MW.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,actual_wind_pg_total_mw_in_case,2489.3881,3000,false,implementation_confirmed,needs_manual_confirmation,"This is the central assumption to confirm against the paper."
traditional_generator_dispatch_policy,"wind_plus_redispatch lowers non-slack conventional generator PG by available downward room; slack bus 31 remains for balance trimming.",src/cases/apply_renewable_scenario.m,renewable_dispatch_mode=wind_plus_redispatch,same policy,same policy,true,not_paper_confirmed,manual_confirmation_required,"Current implementation is documented in code, but the paper dispatch policy is not yet confirmed."
slack_bus_policy,"Current scenario struct uses slack_bus=31 and keeps conventional slack generator for power-flow balance.",src/scenarios/build_scenario_library.m; config/scenario_config.m; src/cases/apply_renewable_scenario.m,slack_bus,31,31,true,paper_system_slack_known_but_dispatch_unconfirmed,manual_confirmation_required,"Need confirm whether the paper lets slack absorb wind-speed changes or performs specified redispatch."
power_balance_policy,"Current engineering balance is wind injection plus conventional redispatch, with MATPOWER/slack completing AC power balance.",src/cases/apply_renewable_scenario.m,wind_plus_redispatch,same policy,same policy,true,not_paper_confirmed,manual_confirmation_required,"The paper may use a different redispatch, curtailment, or base-flow recalculation convention."
load_level_policy,"Current wind-speed comparison does not show a scenario-specific load change in snapshots.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,not_present_in_snapshot,no load change field,no load change field,true,not_paper_confirmed,manual_confirmation_required,"Need confirm whether Table 4-6 keeps total load fixed."
wind_curtailment_policy,"No explicit curtailment is visible in the wind-speed snapshots; actual wind PG equals expected curve output.",results/calibration/wind_speed_component_diagnostic_rerun/*/wind_speed_*/scenario_config_snapshot.csv,expected_vs_actual_wind_pg,no explicit curtailment observed,no explicit curtailment observed,true,not_paper_confirmed,manual_confirmation_required,"If paper curtails wind or fixes absorbed wind power, current base-flow response may differ."
conventional_generation_reduction_policy,"Current code redispatches non-slack conventional units by available downward margin; exact per-generator paper PG table is not available.",src/cases/apply_renewable_scenario.m,redispatch_rows/reducible,same policy,same policy,true,not_paper_confirmed,manual_confirmation_required,"Need paper PG or dispatch rule to decide whether current line-loading increase is expected."
reactive_power_policy,"Wind generators are appended with generator rows; Q behavior follows MATPOWER generator limits/defaults in current case construction.",src/cases/apply_renewable_scenario.m,append_wind_generators,same policy,same policy,true,not_paper_confirmed,manual_confirmation_required,"Paper reactive support or voltage-control assumptions are not confirmed."
