initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,prob_model,engineering_probability,paper_formula_probability,paper_formula_status,paper_formula_missing_parameters,paper_formula_used_fallback,random_u,trip_selected
1,1,1,2,1,39,0.107141961901022,0.000682,paper_formula,0.0001,0.000682,ok_uncalibrated,,0,0.947077509664361,0
1,1,1,3,2,3,1.11378700057911,0.56919794546448,paper_formula,0.612041502606017,0.56919794546448,ok_uncalibrated,,0,0.167770970289712,1
1,1,1,4,2,25,0.267838831496499,0.000545,paper_formula,0.0001,0.000545,ok_uncalibrated,,0,0.21974637570249,0
1,1,1,5,2,30,0.482914678460808,0.000577,paper_formula,0.0001,0.000577,ok_uncalibrated,,0,0.287252781494014,0
1,1,1,6,3,4,0.39674700688889,0.000648,paper_formula,0.0001,0.000648,ok_uncalibrated,,0,0.104141867102996,0
1,1,1,7,3,18,0.104218014580565,0.000534,paper_formula,0.0001,0.000534,ok_uncalibrated,,0,0.0711452267337908,0
1,1,1,8,4,5,0.137527894345013,0.000134,paper_formula,0.0001,0.000134,ok_uncalibrated,,0,0.501642818670789,0
1,1,1,9,4,14,0.50463775915523,0.000716,paper_formula,0.0001,0.000716,ok_uncalibrated,,0,0.808429241105173,0
1,1,1,10,5,6,0.537152108248599,0.000682,paper_formula,0.0001,0.000682,ok_uncalibrated,,0,0.0643687105025803,0
1,1,1,11,5,8,0.627234853611359,0.000665,paper_formula,0.0001,0.000665,ok_uncalibrated,,0,0.269723873384041,0
1,1,1,12,6,7,0.737152881895511,0.000363,paper_formula,0.0001,0.000363,ok_uncalibrated,,0,0.259281127130561,0
1,1,1,13,6,11,0.734174240617,0.000602,paper_formula,0.0001,0.000602,ok_uncalibrated,,0,0.462935764514544,0
1,1,1,14,6,31,0.575823630467119,0.000477,paper_formula,0.0001,0.000477,ok_uncalibrated,,0,0.879286300246613,0
1,1,1,15,7,8,0.458968339840337,0.000123,paper_formula,0.0001,0.000123,ok_uncalibrated,,0,0.816301472305733,0
1,1,1,16,8,9,0.507278949136806,0.000123,paper_formula,0.0001,0.000123,ok_uncalibrated,,0,0.206821647288256,0
1,1,1,17,9,39,0.484962406130411,0.000785,paper_formula,0.0001,0.000785,ok_uncalibrated,,0,0.207799682383354,0
1,1,1,18,10,11,0.611890035610778,0.000323,paper_formula,0.0001,0.000323,ok_uncalibrated,,0,0.711922651806709,0
1,1,1,19,10,13,0.47774524987524,0.000785,paper_formula,0.0001,0.000785,ok_uncalibrated,,0,0.28443379458984,0
1,1,1,20,10,32,0.771087909656627,0.000653,paper_formula,0.0001,0.000653,ok_uncalibrated,,0,0.696500198808592,0
1,1,1,21,12,11,0.0860202090901181,0.000527,paper_formula,0.0001,0.000527,ok_uncalibrated,,0,0.503733882592069,0
1,1,1,22,12,13,0.094856682643936,0.000514,paper_formula,0.0001,0.000514,ok_uncalibrated,,0,0.655614841147796,0
1,1,1,23,13,14,0.444670939232582,0.000534,paper_formula,0.0001,0.000534,ok_uncalibrated,,0,0.623374882083086,0
1,1,1,24,14,15,0.062387825189925,0.000477,paper_formula,0.0001,0.000477,ok_uncalibrated,,0,0.155317707442154,0
1,1,1,25,15,16,0.543255785126875,0.000568,paper_formula,0.0001,0.000568,ok_uncalibrated,,0,0.52894515397785,0
1,1,1,26,16,17,0.245031769577868,0.000406,paper_formula,0.0001,0.000406,ok_uncalibrated,,0,0.246451107974866,0
1,1,1,27,16,19,0.794636237069276,0.000111,paper_formula,0.0001,0.000111,ok_uncalibrated,,0,0.116488994240136,0
1,1,1,28,16,21,0.52656528710417,0.000573,paper_formula,0.0001,0.000573,ok_uncalibrated,,0,0.651304258664072,0
1,1,1,29,16,24,0.0986688794782505,0.0007,paper_formula,0.0001,0.0007,ok_uncalibrated,,0,0.89726864228207,0
1,1,1,30,17,18,0.201516671852419,0.00075,paper_formula,0.0001,0.00075,ok_uncalibrated,,0,0.224642804451432,0
1,1,1,31,17,27,0.0778465694844079,0.000682,paper_formula,0.0001,0.000682,ok_uncalibrated,,0,0.27873012227652,0
1,1,1,32,19,20,0.160159718595333,0.000615,paper_formula,0.0001,0.000615,ok_uncalibrated,,0,0.344351526922499,0
1,1,1,33,19,33,0.703342439809034,0.000125,paper_formula,0.0001,0.000125,ok_uncalibrated,,0,0.846418109204633,0
1,1,1,34,20,34,0.626887933877084,0.000125,paper_formula,0.0001,0.000125,ok_uncalibrated,,0,0.637035251917216,0
1,1,1,35,21,22,0.647940868524712,0.000614,paper_formula,0.0001,0.000614,ok_uncalibrated,,0,0.807883947108997,0
1,1,1,36,22,23,0.144127335056424,0.000682,paper_formula,0.0001,0.000682,ok_uncalibrated,,0,0.725160674369531,0
1,1,1,37,22,35,0.700264119215055,0.000602,paper_formula,0.0001,0.000602,ok_uncalibrated,,0,0.29893111856515,0
1,1,1,38,23,24,0.570202106468439,0.000477,paper_formula,0.0001,0.000477,ok_uncalibrated,,0,0.862056806291439,0
1,1,1,39,23,36,0.628288134439689,0.000545,paper_formula,0.0001,0.000545,ok_uncalibrated,,0,0.291938793150478,0
1,1,1,40,25,26,0.335397523006565,0.00059,paper_formula,0.0001,0.00059,ok_uncalibrated,,0,0.620604819523615,0
1,1,1,41,25,37,0.618433852927876,0.000557,paper_formula,0.0001,0.000557,ok_uncalibrated,,0,0.163290239030076,0
1,1,1,42,26,27,0.437620486435816,0.000703,paper_formula,0.0001,0.000703,ok_uncalibrated,,0,0.461904997768522,0
1,1,1,43,26,28,0.13919853258174,0.000577,paper_formula,0.0001,0.000577,ok_uncalibrated,,0,0.901782380542035,0
1,1,1,44,26,29,0.224546523838002,0.000125,paper_formula,0.0001,0.000125,ok_uncalibrated,,0,0.933878854174965,0
1,1,1,45,28,29,0.469176013124275,0.000552,paper_formula,0.0001,0.000552,ok_uncalibrated,,0,0.82062212247485,0
1,1,1,46,29,38,0.575752181726442,0.000514,paper_formula,0.0001,0.000514,ok_uncalibrated,,0,0.260715083597364,0
1,1,2,2,1,39,0.107141961901022,0.000682,paper_formula,0.0001,0.000682,ok_uncalibrated,,0,0.721014733829682,0
1,1,2,4,2,25,0.847463010389383,0.000545,paper_formula,0.023807773689497,0.000545,ok_uncalibrated,,0,0.841338713849263,0
1,1,2,5,2,30,0.47277547928008,0.000577,paper_formula,0.0001,0.000577,ok_uncalibrated,,0,0.0740985352997853,0
1,1,2,6,3,4,0.0748883868105219,0.000648,paper_formula,0.0001,0.000648,ok_uncalibrated,,0,0.951382678558877,0
1,1,2,7,3,18,0.717359336369776,0.000534,paper_formula,0.0001,0.000534,ok_uncalibrated,,0,0.221142009938414,0
1,1,2,8,4,5,0.257060312757285,0.000134,paper_formula,0.0001,0.000134,ok_uncalibrated,,0,0.194800408565788,0
1,1,2,9,4,14,0.694647387457525,0.000716,paper_formula,0.0001,0.000716,ok_uncalibrated,,0,0.642268232375736,0
