module,paper_requirement,current_implementation,alignment_status,simplification_or_gap,required_user_input,can_codex_continue_without_input,priority,next_action
IEEE39 基础数据,论文第4章应说明所用 IEEE39 基础系统及修改。,使用 MATPOWER case39 作为基础系统。,partially_matched,基础模型已可运行，但未确认是否与论文修改版 IEEE39 完全一致。,论文第4章 IEEE39 算例修改参数或附录算例。,no,P0,对照论文算例参数，必要时建立 paper_case39。
原始 case39 是否与论文一致,原文若修改负荷、机组或线路，应使用原文数据。,当前未发现完整原文算例数据，仍使用 MATPOWER 标准 case39。,unknown_need_paper,无法判断标准 case39 与原文是否一致。,原文 IEEE39 数据表、修改说明或算例文件。,no,P0,等待用户提供原文算例参数后逐项校验。
负荷水平,应匹配论文第4章负荷设置。,当前总负荷来自 MATPOWER case39，并用于渗透率容量计算。,partially_matched,负荷水平可追溯，但未确认与论文一致。,论文负荷水平或各节点负荷表。,no,P0,核对各节点 Pd/Qd 和系统总负荷。
发电机参数,应匹配论文机组容量、上下限、平衡机设置。,使用 case39 机组参数，并在新能源调度中按比例重调度。,partially_matched,机组上下限和原文可能不同。,原文机组参数、PMAX/PMIN、平衡机设定。,no,P0,建立机组参数对照表。
线路容量,应匹配论文线路热稳定容量或保护限值。,当前使用 MATPOWER RATE_A；paper_formula 中 RATE_A 近似 active_limit_mw。,simplified,RATE_A 作为有功上限是工程近似，待校准。,原文线路容量或 RATE_A 修改表。,no,P0,用原文容量替换或校准 RATE_A。
表4-1线路初始停运概率,应使用论文表4-1的46条线路初始停运概率。,已录入 data/line_initial_outage_probability_paper_table_4_1.csv，并用于 weighted VaR。,partially_matched,已由用户提供并录入，但仍需最终核对每行是否与原文一致。,原文表4-1截图或可复制表格。,yes,P1,逐行复核 branch_index/from_bus/to_bus 与论文线路顺序。
线路后续停运概率模型,应按论文线路后续停运概率公式和参数计算。,当前使用分段式 loading_pu 概率模型，参数集中在 cfg 中标注待校准。,simplified,模型结构和参数均为工程近似。,论文线路后续停运概率模型公式、参数和单位。,no,P0,替换 line_outage_probability 并重跑 Markov。
Markov 状态转移机制,应按论文 Markov 事故链搜索和状态转移定义。,已实现线路驱动 N-1-1... Markov 事故链搜索，保留候选概率和随机数。,partially_matched,当前只考虑线路后续停运，未纳入机组状态转移。,论文 Markov 状态定义、转移规则和终止条件。,yes,P1,在现有 search_cascade_markov_line 基础上扩展状态集合。
新能源机组状态概率 P_wt(E_k),论文要求计算新能源机组运行/停运组合概率。,当前 line-only paper_formula 中 P_wt(E_k)=1。,simplified,未真实计入新能源机组状态概率。,P_wt(E_k) 完整公式、P_WT(h) 变量定义和保护模型。,no,P0,实现新能源状态概率并并入 stage probability。
传统机组状态概率 P_ge(E_k),论文要求计算传统机组运行/停运组合概率。,当前 line-only paper_formula 中 P_ge(E_k)=1。,simplified,未真实计入传统机组状态概率。,P_ge(E_k) 完整公式、P_G(q) 参数或保护动作模型。,no,P0,实现传统机组状态概率并并入 stage probability。
输电线路状态概率 P_line(E_k),论文要求计算线路状态组合概率。,当前使用初始线路概率和候选线路逐级条件转移概率构造 line-only P_line。,partially_matched,P_line 是基于抽样记录的可复现近似，需确认是否符合原文定义。,原文 P_line(E_k) 公式和状态集合定义。,no,P0,核对后调整 stage_probability_details。
连锁故障状态概率计算,每级状态概率应由 P_wt、P_ge、P_line 共同构成。,当前 stage_cumulative_probability = P_initial * candidate transition product。,simplified,未乘入 P_wt 和 P_ge。,原文状态概率完整公式和变量定义。,no,P0,扩展 stage_probability_details 字段。
负荷损失严重度 LLR,按论文 C_c(E_k)/P_load*100% 计算并按状态概率加权。,paper_formula 已实现 line-only LLR，并保留 basic_LLR。,partially_matched,负荷损失来源仍是简化切负荷和孤岛切除。,原文 C_c(E_k) 计算方法、切负荷模型。,no,P1,校准失负荷/切负荷模型。
线路潮流越限严重度 LFOR,按论文指数效用函数对所有线路有功潮流越限求和。,已输出 line_flow_details 并按有功潮流近似计算 paper_LFOR。,partially_matched,active_limit_mw 当前使用 RATE_A 近似。,原文线路有功上限定义和容量表。,no,P1,替换 active_limit_mw 来源。
