scenario_id,scenario_group,batch_mode,total_wind_capacity_mw,total_wind_output_mw,wind_capacity_factor,wind_buses,wind_speed_mps,markov_trials_per_initial_fault,chain_count,invalid_stage_ratio,basic_CRI_095,weighted_CRI_095,paper_CRI_095,paper_result_status,overall_status,note
no_renewable_base,topology_compare,topology_compare,0,0,NaN,,NaN,5,230,0.00974025974025974,0.332922285846262,0.459301455259781,0.00181064186409657,valid,success_all_valid,
distributed_wind_40pct,legacy,topology_compare,3000,3000,1,,12,5,230,0.0223463687150838,0.602348573797092,0.59475840134054,0.00240430199980094,valid,success_all_valid,
centralized_wind_40pct,topology_compare,topology_compare,3000,3000,1,"39",12,5,230,0.106818181818182,0.741865993346573,0.744020265997949,NaN,diagnostic_only,success_with_diagnostic_paper,paper_formula invalid chain ratio exceeds threshold: 0.086957
distributed_wind_penetration_40pct,penetration_scan,penetration_scan,2501.692,2501.692,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0221428571428571,0.588694719554403,0.586825849027037,0.00185902632256239,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_45pct,penetration_scan,penetration_scan,2814.4035,2814.4035,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0239303843364757,0.581862638619973,0.589780994207157,0.00233095922724223,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_50pct,penetration_scan,penetration_scan,3127.115,3127.115,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0271622587562545,0.640016129397288,0.640016129397288,0.00228145543005064,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_55pct,penetration_scan,penetration_scan,3439.8265,3439.8265,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0276792051100071,0.588823934499075,0.606930834577092,0.00251170187957319,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_60pct,penetration_scan,penetration_scan,3752.538,3752.538,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0332179930795848,0.613481647996088,0.650533533101562,0.00317028596979229,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_65pct,penetration_scan,penetration_scan,4065.2495,4065.2495,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0381383322559793,0.648787684894968,0.64865383158233,0.00304814675199094,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_70pct,penetration_scan,penetration_scan,4377.961,4377.961,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0460048426150121,0.679076659539605,0.67836751167592,0.00459904620982985,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_75pct,penetration_scan,penetration_scan,4690.6725,4690.6725,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0481569560047562,0.695470536247073,0.692503310878108,0.00487565610302019,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_penetration_80pct,penetration_scan,penetration_scan,5003.384,5003.384,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0555237550085861,0.687486882992135,0.686246070659188,0.0052719243208235,valid,success_all_valid,existing_trials=20 matches expected trials
wind_speed_8mps,wind_speed_scan,wind_speed_scan,3000,855.379188712522,0.285126396237507,"30,31,32,33,34,35,36,37,38,39",8,20,920,0.0290611028315946,0.487645665156855,0.519747360424465,0.00158387703810225,valid,success_all_valid,existing_trials=20 matches expected trials
wind_speed_10mps,wind_speed_scan,wind_speed_scan,3000,1716.04938271605,0.57201646090535,"30,31,32,33,34,35,36,37,38,39",10,20,920,0.0321637426900585,0.524246915921041,0.522813439886284,0.00161684801126665,valid,success_all_valid,existing_trials=20 matches expected trials
wind_speed_12mps,wind_speed_scan,wind_speed_scan,3000,3000,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0287769784172662,0.606777481661994,0.616438348328113,0.00219600110468604,valid,success_all_valid,existing_trials=20 matches expected trials
wind_speed_14mps,wind_speed_scan,wind_speed_scan,3000,3000,1,"30,31,32,33,34,35,36,37,38,39",14,20,920,0.0287769784172662,0.606777481661994,0.616438348328113,0.00219600110468604,valid,success_all_valid,existing_trials=20 matches expected trials
wind_speed_16mps,wind_speed_scan,wind_speed_scan,3000,3000,1,"30,31,32,33,34,35,36,37,38,39",16,20,920,0.0287769784172662,0.606777481661994,0.616438348328113,0.00219600110468604,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_3000mw_base,renewable_trip_record,renewable_trip_record,3000,3000,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0287769784172662,0.606777481661994,0.616438348328113,0.00219600110468604,valid,success_all_valid,existing_trials=20 matches expected trials
distributed_wind_40pct_trip_record_only,renewable_trip_record,renewable_trip_record,3000,3000,1,"30,31,32,33,34,35,36,37,38,39",12,20,920,0.0287769784172662,0.606777481661994,0.616438348328113,0.00219600110468604,valid,success_all_valid,existing_trials=20 matches expected trials
