policy_id,scenario_id,branch_id,from_bus,to_bus,line_loading_pu,P_L,P1,P2,P3,P_flow,P_HF_L,assumption_status,note
constant_total_generation_dispatch,wind_speed_11_28,1,1,2,0.272566318080848,0.001536124438,0.000437124438,0.001099,0,0.000438,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,2,1,39,0.0890527833883161,0.001679836582,0.000580836582,0.001099,0,0.000582,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,3,2,3,0.582320394665813,0.001476244378,0.000377244378,0.001099,0,0.000378,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,4,2,25,0.420925411553525,0.001543110445,0.000444110445,0.001099,0,0.000445,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,5,2,30,0.285835707089273,0.001575046477,0.000476046477,0.001099,0,0.000477,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,6,3,4,0.187252874253136,0.001645904548,0.000546904548,0.001099,0,0.000548,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,7,3,18,0.0342334568263426,0.001532132434,0.000433132434,0.001099,0,0.000434,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,8,4,5,0.511964684995662,0.001132932034,3.3932034e-05,0.001099,0,3.4e-05,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,9,4,14,0.497155963866519,0.001713768616,0.000614768616,0.001099,0,0.000616,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
constant_total_generation_dispatch,wind_speed_11_28,10,5,6,0.554699272164784,0.001679836582,0.000580836582,0.001099,0,0.000582,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
