module_id,module_name,implementation_status,validation_status,formal_reproduction_status,key_outputs,main_limitation,recommended_next_step
paper_inputs,Paper input data layer,implemented_diagnostic,validation summaries available,ready_for_next_calibration_step,paper_inputs/validated/paper_input_validation_summary.csv,"filled data still depends on manual paper verification",continue extracting original formulas and parameters
paper_benchmark,Paper benchmark tables,benchmark_ready,Table 4-2/4-4/4-5/4-6 benchmark summary available,ready_for_next_calibration_step,paper_inputs/filled/paper_result_benchmark.csv,"benchmark values are input targets, not reproduction success",keep immutable and compare cautiously
initial_line_outage_probability_table4_1,Initial line outage probability Table 4-1,implemented_but_not_calibrated,46-line table copied and validated,ready_for_next_calibration_step,data/line_initial_outage_probability_paper_table_4_1.csv,"must not be assumed to equal all subsequent P_L terms",confirm original intended use
topology_compare,Topology comparison scenarios,implemented_engineering,final topology comparison exists,not_ready_for_formal_benchmark,results/final_summary/tables/final_topology_comparison.csv,"centralized node remains diagnostic",confirm centralized access node
penetration_scan,Penetration scan scenarios,implemented_engineering,40%-80% engineering scan exists,not_ready_for_formal_benchmark,results/final_summary/tables/final_penetration_scan.csv,"penetration definition and probability model are not calibrated",confirm penetration definition and capacity scaling
wind_speed_scan,Engineering wind speed scan,implemented_engineering,8/10/12/14/16 mps engineering scan exists,not_ready_for_formal_benchmark,results/final_summary/tables/final_wind_speed_scan.csv,"not the paper Table 4-6 wind points",keep separate from paper Table 4-6
paper_table46_wind_speed_scan,Paper Table 4-6 wind speed smoke,implemented_diagnostic,11.28/11.52/11.76/12.00 mps run and compared,not_ready_for_formal_benchmark,results/paper_alignment/tables/table46_wind_speed_paper_vs_reproduction.csv,"line-only and diagnostic probability assumptions remain",rerun after original P_L/P_wt/P_ge calibration
OLS_load_shedding,Optimal load shedding OLS,implemented_diagnostic,multiple AC/DC/dispatchable diagnostic variants tested,not_ready_for_formal_benchmark,results/loadshedding/ols_benchmark_smoke/tables/ols_formulation_comparison.csv,"AC-OLS variants remain too unstable for formal benchmark",ask for paper AC/DC/solver settings before formalization
line_subsequent_outage_probability_P_L,Line subsequent outage probability P_L,implemented_but_not_calibrated,paper_formula interface and sensitivity diagnostics completed,missing_original_parameters,results/outage/line_probability_parameter_smoke_summary.csv,"P_L0/Lmax/hidden-failure parameters missing",extract original parameters or define calibration workflow
wind_trip_probability_P_wt,Wind trip probability P_wt,implemented_diagnostic,P_WT/P_wt diagnostic and stress tests completed,missing_original_parameters,results/renewable/wind_state_probability_model_check_log.txt,"paper probability function and actual trip transition missing",extract P_WT function and state transition rule
generator_outage_probability_P_ge,Generator outage probability P_ge,implemented_diagnostic,P_G/P_ge diagnostic and stress tests completed,missing_original_parameters,results/generator/generator_state_probability_model_check_log.txt,"paper thresholds/probability and dynamic frequency missing",extract P_G parameters and transition rule
composite_state_probability,Composite state probability,implemented_diagnostic,offline and unified P_line*P_wt*P_ge diagnostics completed,not_ready_for_formal_benchmark,results/composite/unified_state_probability_diagnostic_check_log.txt,"component parameters are diagnostic and P_wt/P_ge are inactive in current smoke",use unified smoke after calibration
stage_level_severity,Stage-level severity,implemented_diagnostic,same-stage severity and probability x severity preview completed,not_ready_for_formal_benchmark,results/composite/unified_stage_level_risk_preview.csv,"diagnostic risk preview, not formal VaR",upgrade after calibrated probabilities and paper severity confirmation
paper_benchmark_alignment,Paper benchmark alignment,implemented_diagnostic,paper vs reproduction comparison and gap diagnosis exist,not_ready_for_formal_benchmark,results/paper_alignment/tables/paper_vs_reproduction_comparison.csv,"unit/model/parameter basis not aligned",maintain caution labels and rerun after calibration
