paper_table,paper_scenario_id,reproduction_scenario_id,metric_name,metric_family,confidence_level,paper_value,paper_unit,paper_value_dimensionless_candidate,reproduction_value_raw,absolute_error_raw,relative_error_raw,absolute_error_vs_dimensionless_candidate,relative_error_vs_dimensionless_candidate,comparison_status,diagnosis_note
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,SLLR,,0.95,4.5224,10^-4,0.00045224,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,SLFOR,,0.95,3.0693,10^-4,0.00030693,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,SNVOR,,0.95,2.8816,10^-4,0.00028816,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,CRI,basic,0.95,3.9036,10^-4,0.00039036,0.606777481661994,3.29682251833801,0.844559513868738,0.606387121661994,1553.40486131262,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage; metric_family=basic"
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,CRI,weighted,0.95,3.9036,10^-4,0.00039036,0.616438348328113,3.28716165167189,0.842084653056637,0.616047988328113,1578.15346943363,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage; metric_family=weighted"
Table 4-2,scenario_1_without_renewable_trip,distributed_wind_3000mw_base,CRI,paper_formula,0.95,3.9036,10^-4,0.00039036,0.00219600110468604,3.90140399889531,0.999437442077906,0.00180564110468604,4.62557922093975,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage; metric_family=paper_formula"
Table 4-2,scenario_2_with_renewable_trip,distributed_wind_40pct_trip_record_only,SLLR,,0.95,6.3899,10^-4,0.00063899,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_2_with_renewable_trip,distributed_wind_40pct_trip_record_only,SLFOR,,0.95,4.2521,10^-4,0.00042521,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_2_with_renewable_trip,distributed_wind_40pct_trip_record_only,SNVOR,,0.95,4.6697,10^-4,0.00046697,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-2,scenario_2_with_renewable_trip,distributed_wind_40pct_trip_record_only,CRI,,0.95,5.6183,10^-4,0.00056183,NaN,NaN,NaN,NaN,NaN,not_comparable_model_missing,"current renewable trip mode is record_only and does not trigger actual renewable outage"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLLR,,0.98,8.9965,10^-4,0.00089965,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLFOR,,0.98,6.8952,10^-4,0.00068952,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SNVOR,,0.98,4.5327,10^-4,0.00045327,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,CRI,,0.98,7.6835,10^-4,0.00076835,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLLR,,0.95,8.5328,10^-4,0.00085328,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLFOR,,0.95,6.2588,10^-4,0.00062588,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SNVOR,,0.95,3.8986,10^-4,0.00038986,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,CRI,basic,0.95,7.1512,10^-4,0.00071512,0.745854650526823,6.40534534947318,0.895702168793094,0.745139530526823,1041.97831206906,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-4,centralized_3000mw,centralized_wind_40pct,CRI,weighted,0.95,7.1512,10^-4,0.00071512,0.749573448987336,6.40162655101266,0.895182144397117,0.748858328987336,1047.17855602883,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-4,centralized_3000mw,centralized_wind_40pct,CRI,paper_formula,0.95,7.1512,10^-4,0.00071512,NaN,NaN,NaN,NaN,NaN,not_comparable_diagnostic_only,"reproduction paper_formula is diagnostic_only; do not treat NaN as zero; metric_family=paper_formula"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLLR,,0.9,8.2056,10^-4,0.00082056,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SLFOR,,0.9,5.6891,10^-4,0.00056891,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,SNVOR,,0.9,3.3658,10^-4,0.00033658,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,centralized_3000mw,centralized_wind_40pct,CRI,,0.9,6.7343,10^-4,0.00067343,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"centralized bus is assumed in current engineering case and paper_formula is diagnostic_only"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLLR,,0.98,6.559,10^-4,0.0006559,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLFOR,,0.98,4.8996,10^-4,0.00048996,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SNVOR,,0.98,2.8851,10^-4,0.00028851,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,CRI,,0.98,5.4923,10^-4,0.00054923,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLLR,,0.95,6.3899,10^-4,0.00063899,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLFOR,,0.95,4.2521,10^-4,0.00042521,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SNVOR,,0.95,2.6697,10^-4,0.00026697,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,CRI,basic,0.95,5.2183,10^-4,0.00052183,0.606777481661994,4.61152251833801,0.883721234566431,0.606255651661994,1161.78765433569,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,CRI,weighted,0.95,5.2183,10^-4,0.00052183,0.616438348328113,4.60186165167189,0.88186989089778,0.615916518328113,1180.3010910222,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,CRI,paper_formula,0.95,5.2183,10^-4,0.00052183,0.00219600110468604,5.21610399889531,0.99957917308229,0.00167417110468604,3.2082691770999,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLLR,,0.9,6.0987,10^-4,0.00060987,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SLFOR,,0.9,4.0158,10^-4,0.00040158,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,SNVOR,,0.9,2.3854,10^-4,0.00023854,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-4,distributed_3000mw,distributed_wind_3000mw_base,CRI,,0.9,4.9395,10^-4,0.00049395,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"distributed 3000MW scenario maps to current 3000MW distributed baseline"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,SLLR,,0.95,6.3899,10^-4,0.00063899,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,SLFOR,,0.95,4.2521,10^-4,0.00042521,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,SNVOR,,0.95,4.6697,10^-4,0.00046697,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,CRI,basic,0.95,5.6183,10^-4,0.00056183,0.588694719554403,5.0296052804456,0.895218354385774,0.588132889554403,1046.81645614225,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,CRI,weighted,0.95,5.6183,10^-4,0.00056183,0.586825849027037,5.03147415097296,0.895550994246118,0.586264019027037,1043.49005753882,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_40pct,distributed_wind_penetration_40pct,CRI,paper_formula,0.95,5.6183,10^-4,0.00056183,0.00185902632256239,5.61644097367744,0.999669112307537,0.00129719632256239,2.30887692462558,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,SLLR,,0.95,6.8751,10^-4,0.00068751,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,SLFOR,,0.95,4.9652,10^-4,0.00049652,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,SNVOR,,0.95,4.7865,10^-4,0.00047865,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,CRI,basic,0.95,6.0754,10^-4,0.00060754,0.581862638619973,5.49353736138003,0.904226447868458,0.581255098619973,956.735521315425,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,CRI,weighted,0.95,6.0754,10^-4,0.00060754,0.589780994207157,5.48561900579284,0.902923100667091,0.589173454207157,969.768993329093,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_45pct,distributed_wind_penetration_45pct,CRI,paper_formula,0.95,6.0754,10^-4,0.00060754,0.00233095922724223,6.07306904077276,0.999616328270198,0.00172341922724223,2.8367172980252,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,SLLR,,0.95,7.0954,10^-4,0.00070954,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,SLFOR,,0.95,5.1026,10^-4,0.00051026,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,SNVOR,,0.95,5.2638,10^-4,0.00052638,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,CRI,basic,0.95,6.3305,10^-4,0.00063305,0.640016129397288,5.69048387060271,0.898899592544461,0.639383079397288,1010.00407455539,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,CRI,weighted,0.95,6.3305,10^-4,0.00063305,0.640016129397288,5.69048387060271,0.898899592544461,0.639383079397288,1010.00407455539,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_50pct,distributed_wind_penetration_50pct,CRI,paper_formula,0.95,6.3305,10^-4,0.00063305,0.00228145543005064,6.32821854456995,0.999639608967688,0.00164840543005064,2.60391032311925,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,SLLR,,0.95,7.4752,10^-4,0.00074752,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,SLFOR,,0.95,5.4688,10^-4,0.00054688,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,SNVOR,,0.95,5.8961,10^-4,0.00058961,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,CRI,basic,0.95,6.7581,10^-4,0.00067581,0.588823934499075,6.16927606550092,0.912871378864019,0.588148124499075,870.286211359813,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,CRI,weighted,0.95,6.7581,10^-4,0.00067581,0.606930834577092,6.15116916542291,0.91019209029504,0.606255024577092,897.079097049603,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_55pct,distributed_wind_penetration_55pct,CRI,paper_formula,0.95,6.7581,10^-4,0.00067581,0.00251170187957319,6.75558829812043,0.999628342007432,0.00183589187957319,2.7165799256791,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,SLLR,,0.95,7.8006,10^-4,0.00078006,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,SLFOR,,0.95,5.8361,10^-4,0.00058361,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,SNVOR,,0.95,6.2773,10^-4,0.00062773,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,CRI,basic,0.95,7.103,10^-4,0.0007103,0.613481647996088,6.48951835200391,0.913630628185825,0.612771347996088,862.693718141754,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,CRI,weighted,0.95,7.103,10^-4,0.0007103,0.650533533101562,6.45246646689844,0.908414256919391,0.649823233101562,914.857430806085,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_60pct,distributed_wind_penetration_60pct,CRI,paper_formula,0.95,7.103,10^-4,0.0007103,0.00317028596979229,7.09982971403021,0.999553669439703,0.00245998596979229,3.4633056029738,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,SLLR,,0.95,8.9065,10^-4,0.00089065,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,SLFOR,,0.95,6.9644,10^-4,0.00069644,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,SNVOR,,0.95,7.0957,10^-4,0.00070957,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,CRI,basic,0.95,8.1559,10^-4,0.00081559,0.648787684894968,7.50711231510503,0.920451736179334,0.647972094894968,794.482638206658,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,CRI,weighted,0.95,8.1559,10^-4,0.00081559,0.64865383158233,7.50724616841767,0.920468148017714,0.64783824158233,794.318519822864,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_65pct,distributed_wind_penetration_65pct,CRI,paper_formula,0.95,8.1559,10^-4,0.00081559,0.00304814675199094,8.15285185324801,0.999626264820315,0.00223255675199094,2.73735179684761,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,SLLR,,0.95,9.9854,10^-4,0.00099854,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
