policy_id,scenario_id,branch_id,from_bus,to_bus,line_loading_pu,P_L,P1,P2,P3,P_flow,P_HF_L,assumption_status,note
proportional_conventional_redispatch,wind_speed_12_00,1,1,2,0.462829298637224,0.001536124438,0.000437124438,0.001099,0,0.000438,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,2,1,39,0.181246562295945,0.001679836582,0.000580836582,0.001099,0,0.000582,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,3,2,3,0.647131813379524,0.001476244378,0.000377244378,0.001099,0,0.000378,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,4,2,25,0.378944256534354,0.001543110445,0.000444110445,0.001099,0,0.000445,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,5,2,30,0.471489090676799,0.001575046477,0.000476046477,0.001099,0,0.000477,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,6,3,4,0.169818290269374,0.001645904548,0.000546904548,0.001099,0,0.000548,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,7,3,18,0.045301190534777,0.001532132434,0.000433132434,0.001099,0,0.000434,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,8,4,5,0.459536998410814,0.001132932034,3.3932034e-05,0.001099,0,3.4e-05,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,9,4,14,0.504522701931214,0.001713768616,0.000614768616,0.001099,0,0.000616,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,10,5,6,0.568626896617287,0.001679836582,0.000580836582,0.001099,0,0.000582,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,11,5,8,0.449700779589343,0.001662870565,0.000563870565,0.001099,0,0.000565,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,12,6,7,0.599916941064209,0.001361474263,0.000262474263,0.001099,0,0.000263,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,13,6,11,0.523101407335676,0.001599996502,0.000500996502,0.001099,0,0.000502,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
proportional_conventional_redispatch,wind_speed_12_00,14,6,31,0.581640188597873,0.001475246377,0.000376246377,0.001099,0,0.000377,0.001,diagnostic_sensitivity_not_paper_confirmed,Base-case line probability input only.
