policy_id,scenario_id,gen_bus,gen_type,PG_mw,QG_mvar,PG_change_from_11_28,is_slack,is_wind,is_conventional,assumption_status,note
proportional_conventional_redispatch,wind_speed_12_00,30,conventional,116.548042704626,40.4731943606042,-22.714054456675,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,31,conventional,677.058536031118,201.899007616727,-0.0404325429949495,1,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,32,conventional,303.024911032028,154.918207278047,-59.056541587355,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,33,conventional,294.633451957295,100.822549791345,-57.421129666474,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,34,conventional,236.825622775801,81.6746283486221,-46.154958655963,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,35,conventional,303.024911032028,82.276811890558,-59.056541587355,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,36,conventional,261.067615658363,20.8099639403433,-50.8794819829509,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,37,conventional,251.743772241993,16.4132899370543,-49.062357626417,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,38,conventional,386.939501779359,4.8925670035741,-75.41066079616,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,39,conventional,466.192170818505,53.185050637111,-90.856217826699,0,0,1,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,30,wind,300,40.4731943606042,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,31,wind,300,201.899007616727,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,32,wind,300,154.918207278047,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,33,wind,300,100.822549791345,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,34,wind,300,81.6746283486221,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,35,wind,300,82.276811890558,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,36,wind,300,20.8099639403433,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,37,wind,300,16.4132899370543,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,38,wind,300,4.8925670035741,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
proportional_conventional_redispatch,wind_speed_12_00,39,wind,300,53.185050637111,51.061194418605,0,1,0,diagnostic_sensitivity_not_paper_confirmed,PG_change_from_11_28 is computed in the sensitivity summary.
