initial_branch,SLLR,SLFOR,SNVOR,CRI,result_status,note
1,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
2,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
3,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
4,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
5,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
6,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
7,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
8,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
9,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
10,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
11,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
12,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
13,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
14,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
15,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
16,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
17,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
18,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
19,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
20,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
21,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
22,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
23,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
24,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
25,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
26,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
27,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
28,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
29,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
30,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
31,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
32,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
33,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
34,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
35,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
36,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
37,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
38,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
39,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
40,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
41,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
42,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
43,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
44,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
45,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
46,NaN,NaN,NaN,NaN,diagnostic_only,paper_formula invalid chain ratio exceeds threshold: 0.086957
