initial_branch,trial_id,stage_id,pf_converged,severity_valid,invalid_reason,replay_source,stage_load_shed_mw,base_load_mw,stage_cumulative_probability,max_P_li_pu_if_available,min_voltage_pu_if_available,max_voltage_pu_if_available
1,1,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000438,4.64815110618687,0.00469525318794495,1.0636
1,2,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000438,4.64815110618687,0.00469525318794495,1.0636
1,3,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000438,4.64815110618687,0.00469525318794495,1.0636
1,4,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000438,4.64815110618687,0.00469525318794495,1.0636
1,5,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000438,4.64815110618687,0.00469525318794495,1.0636
2,1,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000582,4.6496072810248,0.00572815484404334,1.0636
2,2,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000582,4.6496072810248,0.00572815484404334,1.0636
2,3,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000582,4.6496072810248,0.00572815484404334,1.0636
2,4,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000582,4.6496072810248,0.00572815484404334,1.0636
2,5,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000582,4.6496072810248,0.00572815484404334,1.0636
3,1,2,0,0,nonconverged_power_flow,invalid_nonconverged,3318.689,6254.23,1.66156366579665e-05,3.31508684401804,0.0248369823414756,1.07611214739461
3,4,2,0,0,nonconverged_power_flow,invalid_nonconverged,3318.689,6254.23,5.85086257033197e-06,3.31508684401804,0.0248369823414756,1.07611214739461
5,3,2,0,0,nonconverged_power_flow,invalid_nonconverged,3263.41,6254.23,3.50519159621707e-06,1.7777267977773,0.832690178251339,1.0636
8,4,2,0,0,nonconverged_power_flow,invalid_nonconverged,3263.41,6254.23,1.98204095554407e-06,1.47394202067982,0.0916640657157639,1.0636
8,5,2,0,0,nonconverged_power_flow,invalid_nonconverged,3263.41,6254.23,1.24972543361832e-06,3.52734790840207,0.257006472844519,1.0636
10,2,2,0,0,nonconverged_power_flow,invalid_nonconverged,2721.939,6254.23,1.03642723121491e-05,15.0905891523662,0.215075772438084,1.0636
10,5,2,0,0,nonconverged_power_flow,invalid_nonconverged,2721.939,6254.23,8.9177856758132e-05,1.54426881795292,0.982,1.07491674942009
12,2,2,0,0,nonconverged_power_flow,invalid_nonconverged,2721.939,6254.23,2.64902282166242e-06,35.0185936013672,0.11213123344179,2.21603065936506
14,5,2,0,0,nonconverged_power_flow,invalid_nonconverged,3080.9641,6254.23,2.83097871912451e-06,2.1099236943056,0.698046929080463,1.0636
16,1,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,2.3e-05,288.869786943398,0.00364522272714227,6.17203368733693
16,2,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,2.3e-05,288.869786943398,0.00364522272714227,6.17203368733693
16,3,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,2.3e-05,288.869786943398,0.00364522272714227,6.17203368733693
16,4,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,2.3e-05,288.869786943398,0.00364522272714227,6.17203368733693
16,5,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,2.3e-05,288.869786943398,0.00364522272714227,6.17203368733693
17,1,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000685,2187.17802221858,0.651661350357964,9.05295417452836
17,2,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000685,2187.17802221858,0.651661350357964,9.05295417452836
17,3,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000685,2187.17802221858,0.651661350357964,9.05295417452836
17,4,1,0,0,nonconverged_power_flow,invalid_nonconverged,1876.269,6254.23,0.000685,2187.17802221858,0.651661350357964,9.05295417452836
