parameter_set_id,initial_branch,trial_id,stage_id,candidate_branch,line_loading_pu,engineering_probability,paper_formula_probability,abs_diff,status,calibration_status
strict_missing,1,1,1,2,0.107141961901022,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,3,1.11378700057911,0.612041502606017,0.612041502606017,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,4,0.267838831496499,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,5,0.482914678460808,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,6,0.39674700688889,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,7,0.104218014580565,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,8,0.137527894345013,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,9,0.50463775915523,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,10,0.537152108248599,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,11,0.627234853611359,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,12,0.737152881895511,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,13,0.734174240617,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,14,0.575823630467119,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,15,0.458968339840337,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,16,0.507278949136806,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,17,0.484962406130411,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,18,0.611890035610778,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,19,0.47774524987524,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,20,0.771087909656627,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,21,0.0860202090901181,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,22,0.094856682643936,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,23,0.444670939232582,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,24,0.062387825189925,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,25,0.543255785126875,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,26,0.245031769577868,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,27,0.794636237069276,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,28,0.52656528710417,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,29,0.0986688794782505,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,30,0.201516671852419,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,31,0.0778465694844079,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,32,0.160159718595333,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,33,0.703342439809034,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,34,0.626887933877084,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,35,0.647940868524712,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,36,0.144127335056424,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,37,0.700264119215055,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,38,0.570202106468439,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,39,0.628288134439689,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,40,0.335397523006565,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,41,0.618433852927876,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,42,0.437620486435816,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,43,0.13919853258174,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,44,0.224546523838002,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
strict_missing,1,1,1,45,0.469176013124275,0.0001,0.0001,0,missing_parameter_fallback,missing_original_parameters
