parameter_set_id,line_loading_pu,P_flow,P_hidden_distance,P_hidden_loading,P3,P_line,status,calibration_status
strict_missing,0,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.01,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.02,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.03,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.04,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.05,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.06,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.07,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.08,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.09,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.1,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.11,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.12,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.13,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.14,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.15,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.16,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.17,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.18,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.19,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.2,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.21,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.22,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.23,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.24,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.25,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.26,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.27,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.28,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.29,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.3,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.31,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.32,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.33,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.34,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.35,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
strict_missing,0.36,NaN,NaN,NaN,0,NaN,missing_parameter,missing_original_parameters
