initial_branch,trial_id,stage_id,load_shedding_trigger,load_shedding_trigger_reason,max_line_loading_pu_before_shed,min_voltage_pu_before_shed,max_voltage_pu_before_shed,trigger_mode,load_shedding_mode,ols_status,objective_load_shed_mw,total_load_shed_mw,corrective_load_shed_mw,island_load_shed_mw,converged_after_shed,opf_success,pf_success_after_apply,num_shed_buses,max_bus_shed_mw,message
1,1,1,1,line_overload,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_or_violation,both_diagnostic,success,0.00105477793133462,0.00105477793133462,0.00105477793133462,0,1,1,1,21,5.02533599548159e-05,OLS求解成功，应用切负荷后潮流收敛。
1,1,2,1,line_overload,1.36940736634615,0.957359240904054,1.0305772739818,nonconverged_or_violation,both_diagnostic,success,0.000379343618124117,312.711879343618,0.000379343618124117,312.7115,1,1,1,21,1.81014413711965e-05,OLS求解成功，应用切负荷后潮流收敛。
1,1,3,0,none,0.929716043865761,0.961314249782167,1.0576827,nonconverged_or_violation,none,not_needed,0,1379.168675,0,1379.168675,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,1,1,line_overload,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_or_violation,both_diagnostic,success,0.00105477793133462,0.00105477793133462,0.00105477793133462,0,1,1,1,21,5.02533599548159e-05,OLS求解成功，应用切负荷后潮流收敛。
1,2,2,1,line_overload,1.36940736634615,0.957359240904054,1.0305772739818,nonconverged_or_violation,both_diagnostic,success,0.000379343618124117,312.711879343618,0.000379343618124117,312.7115,1,1,1,21,1.81014413711965e-05,OLS求解成功，应用切负荷后潮流收敛。
1,2,3,0,none,0.928718265975895,0.952755610657026,1.0576827,nonconverged_or_violation,none,not_needed,0,1379.168675,0,1379.168675,1,0,1,0,0,潮流已收敛，无需切负荷。
1,3,1,1,line_overload,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_or_violation,both_diagnostic,success,0.00105477793133462,0.00105477793133462,0.00105477793133462,0,1,1,1,21,5.02533599548159e-05,OLS求解成功，应用切负荷后潮流收敛。
1,3,2,1,line_overload,1.36940736634615,0.957359240904054,1.0305772739818,nonconverged_or_violation,both_diagnostic,success,0.000379343618124117,312.711879343618,0.000379343618124117,312.7115,1,1,1,21,1.81014413711965e-05,OLS求解成功，应用切负荷后潮流收敛。
1,3,3,1,line_overload,1.8907173460917,0.914790952807279,1.0576827,nonconverged_or_violation,both_diagnostic,success,0.00075666620302206,1632.7719316662,0.00075666620302206,1632.771175,1,1,1,16,4.73156435452392e-05,OLS求解成功，应用切负荷后潮流收敛。
1,3,4,1,nonconverged_powerflow,NaN,0.00922297512503098,1.0636,nonconverged_or_violation,both_diagnostic,success,243.130447965627,3965.44633546563,243.130447965627,3722.3158875,1,1,1,9,134.489049967427,OLS求解成功，应用切负荷后潮流收敛。
2,1,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,2,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,3,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,1,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,2,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,3,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,1,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,2,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,3,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,1,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,2,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,3,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_or_violation,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
