stress_case,gen_index,gen_bus,gen_voltage_pu,gen_frequency_hz,p_g_q,voltage_region,frequency_region,probability_status,p_ge_Ek,num_probability_positive,max_p_g_q,mean_p_g_q,expected_behavior,test_status
normal_all,1,30,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,2,31,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,3,32,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,4,33,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,5,34,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,6,35,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,7,36,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,8,37,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,9,38,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
normal_all,10,39,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,1,0,0,0,P_ge(E_k)=1,pass
one_low_voltage,1,30,0.8,50,0.5,low_voltage_transition,normal_frequency,diagnostic_assumption_not_paper,0.5,1,0.5,0.05,0<P_ge(E_k)<1,pass
one_low_voltage,2,31,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,0.5,1,0.5,0.05,0<P_ge(E_k)<1,pass
one_low_voltage,3,32,1,50,0,normal_voltage,normal_frequency,diagnostic_assumption_not_paper,0.5,1,0.5,0.05,0<P_ge(E_k)<1,pass
