initial_branch,trial_id,stage_id,candidate_branch,candidate_probability,random_u,selected,expected_selected_by_rule,terminal_stage_flag,should_multiply_candidate_complements,stage_probability_status,selection_consistency_raw,selection_consistency_terminal_aware,issue_type_raw,issue_type_terminal_aware,excluded_from_sampling_consistency_check,exclusion_reason,note
1,1,1,2,0.00069187360582,0.947077509664361,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,3,1,0.167770970289712,1,1,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,4,0.00055490100445,0.21974637570249,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,5,0.00058689460477,0.287252781494014,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,6,0.00065788040548,0.104141867102996,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,7,0.00054390320434,0.0711452267337908,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,8,0.00014398320034,0.501642818670789,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,9,0.00072586680616,0.808429241105173,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,10,0.00069187360582,0.0643687105025803,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,11,0.00067487700565,0.269723873384041,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,12,0.00037293740263,0.259281127130561,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,13,0.00061188960502,0.462935764514544,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,14,0.00048691460377,0.879286300246613,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,15,0.00013298540023,0.816301472305733,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,16,0.00013298540023,0.206821647288256,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,17,0.00079485300685,0.207799682383354,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,18,0.00033294540223,0.711922651806709,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,19,0.00079485300685,0.28443379458984,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,20,0.00066287940553,0.696500198808592,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,21,0.00053690460427,0.503733882592069,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,22,0.00052390720414,0.655614841147796,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,23,0.00054390320434,0.623374882083086,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,24,0.00048691460377,0.155317707442154,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,25,0.00057789640468,0.52894515397785,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,26,0.00041592880306,0.246451107974866,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,27,0.00012098780011,0.116488994240136,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,28,0.00058289540473,0.651304258664072,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,29,0.000709870006,0.89726864228207,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,30,0.0007598600065,0.224642804451432,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,31,0.00069187360582,0.27873012227652,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,32,0.00062488700515,0.344351526922499,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,33,0.00013498500025,0.846418109204633,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,34,0.00013498500025,0.637035251917216,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,35,0.00062388720514,0.807883947108997,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,36,0.00069187360582,0.725160674369531,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,37,0.00061188960502,0.29893111856515,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,38,0.00048691460377,0.862056806291439,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,39,0.00055490100445,0.291938793150478,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,40,0.0005998920049,0.620604819523615,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,41,0.00056689860457,0.163290239030076,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,42,0.00071286940603,0.461904997768522,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,43,0.00058689460477,0.901782380542035,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,44,0.00013498500025,0.933878854174965,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,45,0.00056189960452,0.82062212247485,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,1,46,0.00052390720414,0.260715083597364,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,2,0.00069187360582,0.721014733829682,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,4,0.00055490100445,0.841338713849263,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,5,0.00058689460477,0.0740985352997853,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,6,0.00065788040548,0.951382678558877,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,7,0.00054390320434,0.221142009938414,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
1,1,2,8,0.00014398320034,0.194800408565788,0,0,0,1,full_event_available,true,true,none,none,0,,Nonterminal or real no-new-outage sampling stage checked by random_u < probability.
