initial_branch,trial_id,stage_id,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability_selected_only,stage_transition_probability_full_event,ratio_full_to_selected_only,random_u_available_count,selected_flag_available_count,reconstruction_status,note
1,1,1,45,1,44,1,0.977160054349329,1,0.977160054349329,0.977160054349329,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,1,2,44,2,42,1,0.978444099579617,1,0.978444099579617,0.978444099579617,44,44,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,1,3,35,3,32,0.331120250719109,0.30959752994233,0.331120250719109,0.102514011736521,0.30959752994233,35,35,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,1,4,32,0,32,1,0,1,0,0,32,32,full_event_reconstructed,"high_impact_event: an unselected candidate has probability 1, so full-event probability is 0."
1,2,1,45,1,44,1,0.977160054349329,1,0.977160054349329,0.977160054349329,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,2,2,44,2,42,1,0.978444099579617,1,0.978444099579617,0.978444099579617,44,44,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,2,3,35,3,32,0.331120250719109,0.30959752994233,0.331120250719109,0.102514011736521,0.30959752994233,35,35,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
1,2,4,32,0,32,1,0,1,0,0,32,32,full_event_reconstructed,"high_impact_event: an unselected candidate has probability 1, so full-event probability is 0."
2,1,1,45,0,45,1,0.439288936840191,1,0.439288936840191,0.439288936840191,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
2,2,1,45,1,44,0.550507969233775,0.977300834658533,0.550507969233775,0.538011897818342,0.977300834658533,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
2,2,2,44,2,42,1,0.978585064882348,1,0.978585064882348,0.978585064882348,44,44,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
2,2,3,34,3,31,0.300655787863728,0.568710727995118,0.300655787863728,0.170986171991926,0.568710727995118,34,34,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
2,2,4,31,0,31,1,0,1,0,0,31,31,full_event_reconstructed,"high_impact_event: an unselected candidate has probability 1, so full-event probability is 0."
3,1,1,45,0,45,1,0.976624666006087,1,0.976624666006087,0.976624666006087,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
3,2,1,45,0,45,1,0.976624666006087,1,0.976624666006087,0.976624666006087,45,45,full_event_reconstructed,"full Bernoulli stage event reconstructed from candidate_probability and selected flag."
