branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
1,1,2,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
5,2,30,2,1,0,413.9917212084,282.077561904762,31,6254.23,1,5915.55192688515,0.93459374889798,1,6254.23,1,5915.55192688515,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
14,6,31,2,1,9.2,959.948561904762,282.077561904762,39,6245.03,0.998528995575794,5369.59508618878,0.848338424493858,2,9.2,0.0014710044242057,959.948561904762,largest_load_island_selected
15,7,8,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
20,10,32,2,1,0,609.07177620434,282.077561904762,31,6254.23,1,5720.47187188921,0.903773192813388,1,6254.23,1,5720.47187188921,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
23,13,14,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
24,14,15,1,1,0,0,0,31,6254.23,1,6329.54364809355,1,1,6254.23,1,6329.54364809355,original_slack_island_has_sufficient_load
