parameter_set_id,candidate_branch,delta_line_loading,delta_recorded_P_flow,delta_recomputed_P_flow_paper,delta_recorded_P_L,delta_recomputed_P_L_paper,recorded_probability_driver,paper_recomputed_probability_driver,below_Lrated_issue_confirmed,effect_on_wind_speed_trend,recommended_fix,note
high_hidden_failure,1,0.0445113701147426,0.0194606190865466,0.0130275688650244,0.0193387917116382,0.0129039715328341,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,2,0.0301702106259308,0.012083206966805,0.123608122208628,0.012008541798693,0.122864492324249,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,3,0.0287050173958234,0.025146206663002,0.0140168357569497,0.024945094521532,0.0137282583587397,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,4,0.00824952046949257,0.0083050940701744,0.0622864943122001,0.0082498060617452,0.0618892747608016,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,5,0.0313168445339347,9.59282609855104e-05,0.0291996299772987,9.62260797595007e-05,0.0291854470016085,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,6,0.0049472248757616,0.00405083614273721,0.00969601290547317,0.00404089078634559,0.00977255190849979,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,7,0.00869299939259044,-0.000331013616468898,0.0835088110173179,-0.000330432364726699,0.0828830046107092,line_loading_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,8,-0.0178768875672932,-0.000819224625847992,0.00628555390618946,-0.000898574585502993,0.00565229693487412,no_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,9,-0.0207853837995596,-0.0155885663617083,0.0325266623836596,-0.0154838389848852,0.032307804663456,no_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,10,-0.0163083989073596,-0.0107839468546663,-0.020068328830781,-0.0107419775563571,-0.0205294356669452,no_probability_increase,no_probability_increase,0,no_clear_effect,no_Pflow_fix_required,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,11,0.00616505459008349,0.0017972972373428,-0.0651644600224269,0.0017976763376871,-0.0641676349208833,mixed_probability_increase,no_probability_increase,0,no_clear_effect,no_Pflow_fix_required,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,12,-0.0108449400240742,-0.0049158138699057,-0.000161551971715745,-0.0048432788187299,0.000441651415076794,no_probability_increase,P_L_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
high_hidden_failure,13,-0.0135196722191243,0.000469730051216005,0.00438673695914116,0.000481737535173998,0.00438855462233556,mixed_probability_increase,mixed_probability_increase,0,paper_formula_still_increases_12mps_risk,inspect_hidden_failure_or_loading_response,Paper recompute uses current explicit paper_piecewise_constant_below_rated mode.
