information_item,paper_status,current_implementation,effect_on_reproduction,required_to_strictly_reproduce,recommended_user_action,note
conventional_generator_dispatch_between_11p28_and_12mps,not_stated_in_paper,wind_plus_redispatch_current plus sensitivity policies; none paper-confirmed,Can flip baseflow and P_L tail direction.,1,Provide conventional generator PG or dispatch rule for Table 4-6.,"Primary blocker."
slack_bus_policy,not_stated_in_paper,bus31 slack in current model; slack_only_balance sensitivity tested,Slack behavior changes flow distribution.,1,Confirm slack/power-balance rule.,"Do not infer from case39 alone."
wind_curtailment_policy,not_stated_in_paper,No curtailment in current implementation; constant absorbed power sensitivity tested,Curtailment could suppress 12mps stress.,1,Confirm whether 12mps wind is curtailed or fully absorbed.,"Current no-curtailment is not paper-confirmed."
wind_absorbed_power_at_each_speed,partially_known_from_current_curve_not_paper_dispatch,2489.388 MW at 11.28 and 3000 MW at 12.00 under current curve/full absorption,Actual absorption determines conventional redispatch amount.,1,Provide actual absorbed wind PG values if paper/model has them.,"Curve output is known; absorbed output is not explicitly stated."
base_power_flow_at_each_speed,not_stated_in_paper,Computed under diagnostic policies only,Strict reproduction needs the same operating point.,1,Provide base power-flow snapshot for Table 4-6.,"Current sensitivity is not final evidence."
branch_loading_at_each_speed,not_stated_in_paper,Derived from current/sensitivity PF only,P_L and LFOR depend on loading.,1,Provide branch loading table or CloudPSS case.,"Dominant tail branch mismatch remains unresolved."
generator_PG_table_at_each_speed,not_stated_in_paper,Generated for sensitivity policies only,Dispatch directly changes line loading.,1,Provide generator PG table for 11.28 and 12.00 m/s.,"Most actionable missing table."
whether_wind_speed_scan_uses_fixed_random_chains,not_stated_in_paper,Current diagnostics used pairable/common comparison where available,Sampling uncertainty affects trend confidence.,0,Confirm Monte Carlo sample policy if stated.,"Less important than baseflow, but needed for strict reproducibility."
whether_wind_trip_probability_changes_with_wind_speed,not_stated_in_paper,P_wt diagnostic exists but current Markov wind voltages do not trigger trip probability,Could explain decreasing risk if used differently in paper.,1,Provide P_WT wind-speed/state transition assumptions.,"Do not assert P_wt explains the trend."
whether Table 4-6 uses same parameter set as other tables,not_stated_in_paper,Current diagnostics keep formula/parameters consistent,Different table-specific parameters could change risk.,1,Confirm whether Table 4-6 shares outage/protection parameters.,"Do not tune parameters table-by-table without evidence."
