initial_branch,trial_id,stage_id,pf_converged,severity_valid,invalid_reason,replay_source,stage_load_shed_mw,base_load_mw,stage_cumulative_probability,max_P_li_pu_if_available,min_voltage_pu_if_available,max_voltage_pu_if_available
8,4,4,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,1.06881344538139e-07,1.48245051726667,0.698054779310297,1.0576827
8,7,4,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,1.15171530090884e-07,1.06826322632518,0.00322501041932637,1.0576827
14,15,3,0,0,nonconverged_power_flow,invalid_nonconverged,1882.709,6254.23,2.23983311216012e-06,4.37991500858272,0.000439152614734293,1.03562314991716
19,18,5,0,0,nonconverged_power_flow,invalid_nonconverged,2748.2611,6254.23,3.06290927881626e-07,3.2716458797904,0.253580768061815,1.0501068
20,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,3144.2161,6254.23,5.34169324124779e-10,6.24192883585685,0.00193078139510967,1.0525613
20,5,3,0,0,nonconverged_power_flow,invalid_nonconverged,1882.709,6254.23,1.2484278971015e-06,65.7763991784709,0.00194079342126048,2.97588820192079
20,8,4,0,0,nonconverged_power_flow,invalid_nonconverged,3618.0391,6254.23,1.09568238821536e-07,10.6594795869482,0.0132192548457555,1.08756004926055
23,10,5,0,0,nonconverged_power_flow,invalid_nonconverged,2930.665,6254.23,5.55162595525976e-09,312.548771328839,0.133389691432088,8.26612641832604
23,18,5,0,0,nonconverged_power_flow,invalid_nonconverged,3623.413,6254.23,8.2757376713749e-08,31.8668296182114,0.00815712852229411,2.46939458130616
23,20,5,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,3.07261596411351e-07,1.48245051726667,0.698054779310297,1.0576827
27,12,5,0,0,nonconverged_power_flow,invalid_nonconverged,3294.210595,6254.23,6.81650544492724e-08,1.33535651087228,0.0388710551764821,1.0525613
33,3,4,0,0,nonconverged_power_flow,invalid_nonconverged,3521.829,6254.23,2.61732601778599e-07,2.58987312258986,0.00262705168987638,1.0576827
35,1,4,0,0,nonconverged_power_flow,invalid_nonconverged,3436.66,6254.23,3.53090456161879e-10,65.495023868584,0.133035520624967,3.61422440325989
35,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,8.34674693727109e-06,68.960996935753,0.159965818419179,3.00296817513232
35,5,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,3.10936049143928e-06,12.0257911821464,0.0142928668035645,1.0636
35,7,4,0,0,nonconverged_power_flow,invalid_nonconverged,3412.118,6254.23,3.03468473306155e-07,52.5230961244735,0.0130526511109749,2.26970618425374
35,11,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.87926685554673e-05,68.960996935753,0.159965818419179,3.00296817513232
35,12,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,2.64400909274759e-06,12.0257911821464,0.0142928668035645,1.0636
35,13,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.87926685554673e-05,68.960996935753,0.159965818419179,3.00296817513232
37,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,3651.91,6254.23,3.9188316330923e-07,3.45988760482573,0.0277051158758332,1.0525613
37,3,5,0,0,nonconverged_power_flow,invalid_nonconverged,4859.9203,6254.23,1.2959266358152e-08,3.26142812337939,0.13411345419297,1.0576827
37,5,4,0,0,nonconverged_power_flow,invalid_nonconverged,4953.533225,6254.23,4.55810776027268e-09,19.9073958457636,0.0517135860237199,2.44148319540543
37,10,5,0,0,nonconverged_power_flow,invalid_nonconverged,4864.223725,6254.23,5.30612429519317e-06,92.9122359430062,0.00885974504982903,3.58464638236575
37,11,5,0,0,nonconverged_power_flow,invalid_nonconverged,4877.134,6254.23,7.52742506743475e-07,82.9787658075378,0.0175820704472335,6.16271538776437
37,12,4,0,0,nonconverged_power_flow,invalid_nonconverged,4859.9203,6254.23,6.71239367646861e-08,16.0845460251991,0.00531490329117741,1.48925763527868
38,8,5,0,0,nonconverged_power_flow,invalid_nonconverged,3434.63,6254.23,1.38193432178466e-08,19.4839172111546,0.113472516440487,1.87157742798296
38,15,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,5.38861598692098e-07,4.00380951626566,0.0358916488754166,1.0636
46,2,5,0,0,nonconverged_power_flow,invalid_nonconverged,4338.928255,6254.23,2.34304939222318e-07,3.58959190457278,0.0478501540692156,1.0576827
46,9,4,0,0,nonconverged_power_flow,invalid_nonconverged,2885.179,6254.23,4.45983902654409e-06,4.42059251869487,0.020899386056299,1.0576827
46,14,4,0,0,nonconverged_power_flow,invalid_nonconverged,4344.2338,6254.23,8.11311410874011e-08,2.15064246652732,0.123966927526832,1.0576827
46,15,5,0,0,nonconverged_power_flow,invalid_nonconverged,4350.12885,6254.23,3.85059158037167e-07,12.2653865718393,0.00179419705978648,1.31958538553446
