parameter_set_id,initial_branch,trial_id,stage_id,selected_probability_product_11_28,selected_probability_product_12_00,delta_selected_probability_product,unselected_probability_product_11_28,unselected_probability_product_12_00,delta_unselected_probability_product,stage_probability_11_28,stage_probability_12_00,delta_stage_probability,chain_probability_11_28,chain_probability_12_00,delta_chain_probability,tail_chain_flag,stage_probability_driver,note
benchmark_calibrated_seed,10,10,1,0.247551820851845,0.286126653437203,0.038574832585358,0.594407142715105,0.938674761956556,0.344267619241451,0.147146570506467,0.268579868304593,0.121433297798126,0.132035742390814,0.000418592156243301,-0.131617150234571,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,10,2,0.992153210618538,0.00170742590602592,-0.990445784712512,0.945446158901927,0.951876030430529,0.00642987152860208,0.938027442021511,0.0016252577936822,-0.936402184227829,0.132035742390814,0.000418592156243301,-0.131617150234571,0,no_clear_stage_driver,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,10,3,1,1,0,0.956589970649623,0.958948694474437,0.00235872382481395,0.956589970649623,0.958948694474437,0.00235872382481395,0.132035742390814,0.000418592156243301,-0.131617150234571,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,10,4,1,1,0,1,1,0,1,1,0,0.132035742390814,0.000418592156243301,-0.131617150234571,0,no_clear_stage_driver,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,11,1,0.247551820851845,0.465646598462289,0.218094777610444,0.594407142715105,0.361885692324075,-0.23252145039103,0.147146570506467,0.168510841662876,0.021364271156409,0.132035742390814,0.14104509124354,0.009009348852726,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,11,2,0.992153210618538,1,0.00784678938146199,0.945446158901927,0.874992448922472,-0.070453709979455,0.938027442021511,0.874992448922472,-0.063034993099039,0.132035742390814,0.14104509124354,0.009009348852726,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,11,3,1,1,0,0.956589970649623,0.956589970649623,0,0.956589970649623,0.956589970649623,0,0.132035742390814,0.14104509124354,0.009009348852726,0,no_clear_stage_driver,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,11,4,1,1,0,1,1,0,1,1,0,0.132035742390814,0.14104509124354,0.009009348852726,0,no_clear_stage_driver,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,12,1,0.366759215432474,1,0.633240784567526,0.706304115446538,0.193374850661199,-0.512929264785339,0.2590435432379,0.193374850661199,-0.065668692576701,0.20303877655792,3.46829658808347e-05,-0.203004093592039,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,12,2,0.9362701275508,0.792002850017265,-0.144267277533535,0.950212436073427,0.945670151123534,-0.00454228494989295,0.889655518722824,0.748973454866097,-0.140682063856727,0.20303877655792,3.46829658808347e-05,-0.203004093592039,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,12,3,1,0.00158802049,-0.99841197951,0.881017102130333,0.38611983298293,-0.494897269147403,0.881017102130333,0.000613166206372271,-0.880403935923961,0.20303877655792,3.46829658808347e-05,-0.203004093592039,0,complement_product_decrease,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,12,4,1,0.413097319538666,-0.586902680461334,1,0.945407891780898,-0.054592108219102,1,0.39054546596539,-0.60945453403461,0.20303877655792,3.46829658808347e-05,-0.203004093592039,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,13,1,1,0.614471692442473,-0.385528307557527,0.447260572208638,0.501584051989086,0.0543234797804479,0.447260572208638,0.308209201327887,-0.139051370880751,0.0371540532886811,0.271231807334333,0.234077754045652,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,13,2,0.519287481458254,0.976955582196483,0.457668100738229,0.945670151123534,0.950212436073427,0.00454228494989295,0.491074671067186,0.928315343694453,0.437240672627267,0.0371540532886811,0.271231807334333,0.234077754045652,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,13,3,1,1,0,0.30535353398123,0.947980685649387,0.642627151668157,0.30535353398123,0.947980685649387,0.642627151668157,0.0371540532886811,0.271231807334333,0.234077754045652,0,selected_probability_increase,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
benchmark_calibrated_seed,10,13,4,1,1,0,0.553981292914182,1,0.446018707085818,0.553981292914182,1,0.446018707085818,0.0371540532886811,0.271231807334333,0.234077754045652,0,terminal_reason_change,Paired stage comparison between wind_speed_12_00 and wind_speed_11_28 using existing traces.
