initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,pf_converged
35,7,1,26,1.0133345457585,0,0,1
35,7,1,27,0.994921571703502,0,0,1
35,7,1,28,1.01858863135894,0,0,1
35,7,1,29,1.02032259186792,0,0,1
35,7,1,30,1,0,0,1
35,7,1,31,1,0,0,1
35,7,1,32,1,0,0,1
35,7,1,33,1,0,0,1
35,7,1,34,1,0,0,1
35,7,1,35,1,0,0,1
35,7,1,36,1,0,0,1
35,7,1,37,1,0,0,1
35,7,1,38,1,0,0,1
35,7,1,39,1,0,0,1
35,7,2,1,1.00146449725534,0,0,1
35,7,2,2,0.999887155974906,0,0,1
35,7,2,3,0.967812799464375,0,0,1
35,7,2,4,0.928216176683232,0,0,1
35,7,2,5,0.927091143461478,0,0,1
35,7,2,6,0.930537817492841,0,0,1
35,7,2,7,0.919654954157289,0,0,1
35,7,2,8,0.919579273688169,0,0,1
35,7,2,9,0.984126825836679,0,0,1
35,7,2,10,0.961854272397217,0,0,1
35,7,2,11,0.950022820557752,0,0,1
35,7,2,12,0.936234790702035,0,0,1
35,7,2,13,0.952870167177084,0,0,1
35,7,2,14,0.939963960269174,0,0,1
35,7,2,15,0.943605515643839,0,0,1
35,7,2,16,0.965257302288278,0,0,1
35,7,2,17,0.969795787785194,0,0,1
35,7,2,18,0.967139297565608,0,0,1
35,7,2,19,1.02421213848871,0,0,1
35,7,2,20,0.971244665227897,0,0,1
35,7,2,21,0.947431857931491,0,0,1
35,7,2,22,1.0501427,0,0,1
35,7,2,23,1.0451451,0,0,1
35,7,2,24,0.969917531754598,0,0,1
35,7,2,25,1.00670706289426,0,0,1
35,7,2,26,1.00106162269105,0,0,1
35,7,2,27,0.980080125609984,0,0,1
35,7,2,28,1.01225754864046,0,0,1
35,7,2,29,1.01598400767281,0,0,1
35,7,2,30,1,0,0,1
35,7,2,31,1,0,0,1
35,7,2,32,1,0,0,1
35,7,2,33,1,0,0,1
35,7,2,34,1,0,0,1
35,7,2,35,1.0494,0,0,1
35,7,2,36,1.0636,0,0,1
35,7,2,37,1,0,0,1
35,7,2,38,1,0,0,1
35,7,2,39,1,0,0,1
35,7,3,1,0.828801870784437,0.0711981292155633,4.29463627709243,1
35,7,3,2,0.878345095267413,0.0216549047325867,1.27400950639114,1
35,7,3,3,0.82111962920356,0.0788803707964402,4.77656605646959,1
35,7,3,4,0.787676807880397,0.112323192119604,6.9182139763577,1
35,7,3,5,0.981130590201431,0,0,1
35,7,3,6,0.982957879237262,0,0,1
35,7,3,7,0.973479410824185,0,0,1
35,7,3,8,0.972912765792242,0,0,1
35,7,3,9,1.00972030447309,0,0,1
35,7,3,10,1.00856361353866,0,0,1
35,7,3,11,0.998417545737748,0,0,1
35,7,3,12,0.989700655550499,0,0,1
35,7,3,13,1.00640584075265,0,0,1
35,7,3,14,0.807587782165135,0.0924122178348653,5.63451552430845,1
35,7,3,15,0.836810857146427,0.0631891428535735,3.79613515189098,1
35,7,3,16,0.867272880587369,0.0327271194126312,1.93615164227601,1
35,7,3,17,0.855337420879002,0.0446625791209981,2.65817673516672,1
35,7,3,18,0.838799427345945,0.0612005726540548,3.67297861034364,1
35,7,3,19,0.9883676082887,0,0,1
35,7,3,20,0.952298576378631,0,0,1
35,7,3,21,0.847935620021231,0.0520643799787687,3.11029076366852,1
35,7,3,22,1.0501427,0,0,1
35,7,3,23,1.0451451,0,0,1
35,7,3,24,0.872130912126184,0.0278690878738164,1.6447280824179,1
35,7,3,25,0.902249198002511,0,0,1
35,7,3,26,0.904789028613707,0,0,1
35,7,3,27,0.871086734187552,0.0289132658124477,1.70724682967556,1
35,7,3,28,0.963001083575877,0,0,1
35,7,3,29,0.982245816443724,0,0,1
35,7,3,30,0.999999999999999,0,0,1
35,7,3,31,0.982,0,0,1
35,7,3,32,1,0,0,1
35,7,3,33,1,0,0,1
35,7,3,34,1,0,0,1
35,7,3,35,1.0494,0,0,1
35,7,3,36,1.0636,0,0,1
35,7,3,37,1,0,0,1
35,7,3,38,1,0,0,1
35,7,3,39,0.999999999999999,0,0,1
35,7,4,1,1.0393836,0,0,0
35,7,4,2,0.122835604858487,0.777164395141513,68.3994449936413,0
35,7,4,3,0.220211319560592,0.679788680439408,56.6531427616856,0
35,7,4,4,0.327816779031139,0.572183220968861,44.9362714311846,0
35,7,4,5,1.0060063,0,0,0
35,7,4,6,1.0082256,0,0,0
35,7,4,7,0.99839728,0,0,0
35,7,4,8,0.99787232,0,0,0
35,7,4,9,1.038332,0,0,0
35,7,4,10,1.0178431,0,0,0
35,7,4,11,1.0133858,0,0,0
35,7,4,12,1.000815,0,0,0
35,7,4,13,1.014923,0,0,0
35,7,4,14,0.1659922765013,0.7340077234987,63.0521504762733,0
35,7,4,15,0.0876320916496967,0.812367908350303,72.9354820023105,0
35,7,4,16,0.0130037873341576,0.886996212665842,83.0961481879975,0
35,7,4,17,0.573363002626074,0.326636997373926,22.4816528676011,0
35,7,4,18,0.222876010784608,0.677123989215392,56.3475081987353,0
35,7,4,19,1.0501068,0,0,0
35,7,4,20,0.99101054,0,0,0
35,7,4,21,0.199281335160054,0.700718664839946,59.0823009403153,0
