parameter_set_id,scenario_id,initial_branch,trial_id,stage_id,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,overloaded_branch_count,voltage_violation_bus_count,severity_formula_status,normalization_status,note
high_hidden_failure,wind_speed_12_00,1,1,1,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524,1940.206,0.310223001072874,1.11378700057911,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,1,2,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524,1940.206,0.310223001072874,1.3001732065106,0,2,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,1,3,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524,1940.206,0.310223001072874,1.13463463350224,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,1,4,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524,1940.206,0.310223001072874,1.18581029621944,0.0399949597321373,3,5,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,2,1,1,1,1,1,2955.459,0.472553615712886,1.11378700057911,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,2,2,1,1,1,1,2955.459,0.472553615712886,1.3123367738329,0.0394841681069091,3,11,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,2,3,1,1,1,1,2955.459,0.472553615712886,NaN,NaN,NaN,NaN,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,3,1,0.605288964428875,4.91894870103296,3.69543457440603,2.08605003374512,3785.6164,0.605288964428875,1.11378700057911,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,3,2,0.605288964428875,4.91894870103296,3.69543457440603,2.08605003374512,3785.6164,0.605288964428875,1.3001732065106,0,2,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,3,3,0.605288964428875,4.91894870103296,3.69543457440603,2.08605003374512,3785.6164,0.605288964428875,1.8913931617397,0.0339905867820438,4,11,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,3,4,0.605288964428875,4.91894870103296,3.69543457440603,2.08605003374512,3785.6164,0.605288964428875,1.81982478350549,0.263959612457574,6,14,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,4,1,0.412936524560178,0.0527425994526927,0,0.258310434626645,2582.6,0.412936524560178,1.11378700057911,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,4,2,0.412936524560178,0.0527425994526927,0,0.258310434626645,2582.6,0.412936524560178,1.30070251863941,0,3,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,4,3,0.412936524560178,0.0527425994526927,0,0.258310434626645,2582.6,0.412936524560178,1.05274259945269,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
high_hidden_failure,wind_speed_12_00,1,5,1,1,1,1,1,4527.967,0.723984727136674,1.11378700057911,0,1,0,chain_basic_and_stage_operating_state,counts_from_markov_chain_stages,Diagnostic severity component trace; not formal VaR.
