initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,random_u,trip_selected
1,1,1,2,1,39,0.107141961901022,0.0001,0.947077509664361,0
1,1,1,3,2,3,1.11378700057911,0.612041502606017,0.167770970289712,1
1,1,1,4,2,25,0.267838831496499,0.0001,0.21974637570249,0
1,1,1,5,2,30,0.482914678460808,0.0001,0.287252781494014,0
1,1,1,6,3,4,0.39674700688889,0.0001,0.104141867102996,0
1,1,1,7,3,18,0.104218014580565,0.0001,0.0711452267337908,0
1,1,1,8,4,5,0.137527894345013,0.0001,0.501642818670789,0
1,1,1,9,4,14,0.50463775915523,0.0001,0.808429241105173,0
1,1,1,10,5,6,0.537152108248599,0.0001,0.0643687105025803,0
1,1,1,11,5,8,0.627234853611359,0.0001,0.269723873384041,0
1,1,1,12,6,7,0.737152881895511,0.0001,0.259281127130561,0
1,1,1,13,6,11,0.734174240617,0.0001,0.462935764514544,0
1,1,1,14,6,31,0.575823630467119,0.0001,0.879286300246613,0
1,1,1,15,7,8,0.458968339840337,0.0001,0.816301472305733,0
1,1,1,16,8,9,0.507278949136806,0.0001,0.206821647288256,0
1,1,1,17,9,39,0.484962406130411,0.0001,0.207799682383354,0
1,1,1,18,10,11,0.611890035610778,0.0001,0.711922651806709,0
1,1,1,19,10,13,0.47774524987524,0.0001,0.28443379458984,0
1,1,1,20,10,32,0.771087909656627,0.0001,0.696500198808592,0
1,1,1,21,12,11,0.0860202090901181,0.0001,0.503733882592069,0
1,1,1,22,12,13,0.094856682643936,0.0001,0.655614841147796,0
1,1,1,23,13,14,0.444670939232582,0.0001,0.623374882083086,0
1,1,1,24,14,15,0.062387825189925,0.0001,0.155317707442154,0
1,1,1,25,15,16,0.543255785126875,0.0001,0.52894515397785,0
1,1,1,26,16,17,0.245031769577868,0.0001,0.246451107974866,0
1,1,1,27,16,19,0.794636237069276,0.0001,0.116488994240136,0
1,1,1,28,16,21,0.52656528710417,0.0001,0.651304258664072,0
1,1,1,29,16,24,0.0986688794782505,0.0001,0.89726864228207,0
1,1,1,30,17,18,0.201516671852419,0.0001,0.224642804451432,0
1,1,1,31,17,27,0.0778465694844079,0.0001,0.27873012227652,0
