initial_branch,trial_id,paper_LLR,paper_LFOR,paper_NVOR,paper_CRI,paper_valid_stage_count,paper_invalid_stage_count,paper_lfor_nvor_complete
1,1,0.00137732861648441,0.00919042603209124,6.20832415925468e-06,0.00266572404114074,5,0,1
1,2,0.00184362717195523,0.0092221164405205,3.05010948443974e-05,0.00295669981024612,5,0,1
1,3,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,4,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,5,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,6,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,7,0.00204500247648423,0.00923639225005172,4.1579862184178e-05,0.00308259590833772,4,0,1
1,8,0.00184362717195523,0.0092221164405205,3.05010948443974e-05,0.00295669981024612,5,0,1
1,9,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,10,0.00076732437082253,0.00918281352827963,0,0.00229695732814944,3,0,1
1,11,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,12,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,13,0.00204500247648423,0.00923639225005172,4.1579862184178e-05,0.00308259590833772,4,0,1
1,14,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,15,0.00154627028436769,0.00920103634681226,1.41418506849962e-05,0.00277079781012006,5,0,1
1,16,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,17,0.00204500247648423,0.00923639225005172,4.1579862184178e-05,0.00308259590833772,4,0,1
1,18,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,19,0,0.00114346447262621,0,0.000228692894525242,1,0,1
1,20,0,0.00114346447262621,0,0.000228692894525242,1,0,1
2,1,0,0,0,0,1,0,1
2,2,0,0,0,0,1,0,1
2,3,0,0,0,0,1,0,1
2,4,0,0,0,0,1,0,1
2,5,0,0,0,0,1,0,1
2,6,0,0,0,0,1,0,1
2,7,0,0,0,0,1,0,1
2,8,4.86326756129005e-06,0.000166509486056345,3.2200916304775e-07,3.62842595806525e-05,5,0,1
2,9,0,0,0,0,1,0,1
2,10,0,0,0,0,1,0,1
2,11,0,0,0,0,1,0,1
2,12,0,0,0,0,1,0,1
2,13,0,0,0,0,1,0,1
2,14,0,0,0,0,1,0,1
2,15,0,0,0,0,1,0,1
2,16,0,0,0,0,1,0,1
2,17,1.2952026602736e-05,4.37534103631408e-05,0,1.65218980342698e-05,3,0,1
2,18,0,0,0,0,1,0,1
2,19,0,0,0,0,1,0,1
2,20,0,0,0,0,1,0,1
3,1,0,0,0,0,1,0,1
3,2,0,0,0,0,1,0,1
3,3,0,0,0,0,1,0,1
3,4,0,0,0,0,1,0,1
3,5,0,0,0,0,1,0,1
3,6,0,0,0,0,1,0,1
3,7,0,0,0,0,1,0,1
3,8,0,0,0,0,1,0,1
3,9,0,0,0,0,1,0,1
3,10,0,0,0,0,1,0,1
3,11,0,0,0,0,1,0,1
3,12,0,0,0,0,1,0,1
3,13,0,0,0,0,1,0,1
3,14,0,0,0,0,1,0,1
3,15,0,0,0,0,1,0,1
3,16,0,0,0,0,1,0,1
3,17,0,0,0,0,1,0,1
3,18,0,0,0,0,1,0,1
3,19,0,0,0,0,1,0,1
3,20,0,0,0,0,1,0,1
4,1,0,0,0,0,1,0,1
4,2,0,0,0,0,1,0,1
4,3,0,0,0,0,1,0,1
4,4,0,0,0,0,1,0,1
4,5,0,0,0,0,1,0,1
4,6,0,0,0,0,1,0,1
4,7,0,0,0,0,1,0,1
4,8,0,0,0,0,1,0,1
4,9,0,0,0,0,1,0,1
4,10,0,0,0,0,1,0,1
4,11,0,0,0,0,1,0,1
4,12,0,0,0,0,1,0,1
4,13,0,0,0,0,1,0,1
4,14,0,0,0,0,1,0,1
4,15,0,0,0,0,1,0,1
4,16,0,0,0,0,1,0,1
4,17,0,0,0,0,1,0,1
4,18,0,0,0,0,1,0,1
4,19,0,0,0,0,1,0,1
4,20,0,0,0,0,1,0,1
5,1,0,0,0,0,1,0,1
5,2,0,0,0,0,1,0,1
5,3,0,0,0,0,1,0,1
5,4,0,0,0,0,1,0,1
5,5,0,0,0,0,1,0,1
5,6,0,0,0,0,1,0,1
5,7,0,0,0,0,1,0,1
5,8,0,0,0,0,1,0,1
5,9,0,0,0,0,1,0,1
5,10,0,0,0,0,1,0,1
5,11,0,0,0,0,1,0,1
5,12,0,0,0,0,1,0,1
5,13,0,0,0,0,1,0,1
5,14,0,0,0,0,1,0,1
5,15,0,0,0,0,1,0,1
5,16,0,0,0,0,1,0,1
5,17,0,0,0,0,1,0,1
5,18,0,0,0,0,1,0,1
5,19,0,0,0,0,1,0,1
5,20,0,0,0,0,1,0,1
6,1,0,0,0,0,1,0,1
6,2,0,0,0,0,1,0,1
6,3,0,0,0,0,1,0,1
6,4,0,0,0,0,1,0,1
6,5,0,0,0,0,1,0,1
6,6,0,0,0,0,1,0,1
6,7,0,0,0,0,1,0,1
6,8,0,0,0,0,1,0,1
6,9,0,0,0,0,1,0,1
6,10,0,0,0,0,1,0,1
6,11,0,0,0,0,1,0,1
6,12,0,0,0,0,1,0,1
6,13,0,0,0,0,1,0,1
6,14,0,0,0,0,1,0,1
6,15,0,0,0,0,1,0,1
6,16,0,0,0,0,1,0,1
6,17,0,0,0,0,1,0,1
6,18,0,0,0,0,1,0,1
6,19,0,0,0,0,1,0,1
6,20,0,0,0,0,1,0,1
7,1,0,0,0,0,1,0,1
7,2,0,0,0,0,1,0,1
7,3,0,0,0,0,1,0,1
7,4,0,0,0,0,1,0,1
7,5,0,0,0,0,1,0,1
7,6,0,0,0,0,1,0,1
7,7,0,0,0,0,1,0,1
7,8,0,0,0,0,1,0,1
7,9,0,0,0,0,1,0,1
7,10,0,0,0,0,1,0,1
7,11,0,0,0,0,1,0,1
7,12,0,0,0,0,1,0,1
7,13,0,0,0,0,1,0,1
7,14,0,0,0,0,1,0,1
7,15,0,0,0,0,1,0,1
7,16,0,0,0,0,1,0,1
7,17,0,0,0,0,1,0,1
7,18,0,0,0,0,1,0,1
7,19,0,0,0,0,1,0,1
7,20,0,0,0,0,1,0,1
8,1,0,0,0,0,1,0,1
8,2,8.25541360356968e-06,9.86351324148117e-05,2.11387917800291e-06,2.51030504807047e-05,3,1,1
8,3,0,0,0,0,1,0,1
8,4,0,0,0,0,1,0,1
8,5,0,0,0,0,1,0,1
8,6,0,0,0,0,1,0,1
8,7,0,0,0,0,1,0,1
8,8,0,0,0,0,1,0,1
8,9,0,0,0,0,1,0,1
8,10,0,0,0,0,1,0,1
8,11,4.64383490496743e-06,3.04324059023222e-06,0,3.3949490610269e-06,3,0,1
8,12,0,0,0,0,1,0,1
8,13,0,0,0,0,1,0,1
8,14,0,0,0,0,1,0,1
8,15,0,0,0,0,1,0,1
8,16,1.38293416887736e-06,9.97093332958116e-07,0,1.02917916791804e-06,3,0,1
8,17,3.3955373487152e-07,9.17937522153488e-05,1.21619675841955e-06,1.88057220356766e-05,4,0,1
8,18,0,0,0,0,1,0,1
8,19,5.9535366683818e-06,4.51369957647232e-05,1.45672103895684e-06,1.28908653617651e-05,4,0,1
8,20,0,0,0,0,1,0,1
9,1,0.000110834273330682,0.000276133436967504,3.1369518365415e-06,0.000122354641759218,3,0,1
9,2,0,0,0,0,1,0,1
9,3,0,0,0,0,1,0,1
9,4,0,0,0,0,1,0,1
9,5,0,0,0,0,1,0,1
9,6,0,0,0,0,1,0,1
9,7,0,0,0,0,1,0,1
9,8,0,0,0,0,1,0,1
9,9,0,0,0,0,1,0,1
9,10,0,0,0,0,1,0,1
9,11,0,0,0,0,1,0,1
9,12,0,0,0,0,1,0,1
9,13,0,0,0,0,1,0,1
9,14,0,0,0,0,1,0,1
9,15,0,0,0,0,1,0,1
9,16,0,0,0,0,1,0,1
9,17,0,0,0,0,1,0,1
9,18,0,0,0,0,1,0,1
9,19,0,0,0,0,1,0,1
9,20,0,0,0,0,1,0,1
10,1,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,2,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,3,2.46689658252038e-07,0.000963554003012775,9.58842832044084e-07,0.000193050582963915,3,0,1
10,4,7.65706225000592e-06,0.000180794212839943,2.99432311928029e-05,4.67417261565528e-05,3,1,1
10,5,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,6,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,7,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,8,0.00255486882540181,0.166429601133551,0.00980643249814989,0.0367801280215813,3,0,1
10,9,0.00023508169840714,0.0161735901202238,0.000902321396722778,0.00355623132243361,3,0,1
10,10,0.00255486882540181,0.166429601133551,0.00980643249814989,0.0367801280215813,3,0,1
10,11,0.00255486882540181,0.166429601133551,0.00980643249814989,0.0367801280215813,3,0,1
10,12,0.00255486882540181,0.166429601133551,0.00980643249814989,0.0367801280215813,3,0,1
10,13,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,14,5.872194837275e-05,0.000378002358817746,0,0.000110833640787199,3,0,1
10,15,0,0.000923549042426689,0,0.000184709808485338,1,0,1
10,16,0.0002465944328964,0.00921161890585901,0.000596134908586576,0.00210950742262696,4,0,1
10,17,0.00255486882540181,0.166429601133551,0.00980643249814989,0.0367801280215813,3,0,1
10,18,0.000125688611458733,0.0162392559821502,0.000579432337701009,0.00343915083084547,5,0,1
10,19,1.36347487708894e-05,0.166429601133551,0.00349898495484366,0.0339938980669415,4,0,1
10,20,0,0.000923549042426689,0,0.000184709808485338,1,0,1
11,1,0,0,0,0,1,0,1
11,2,0,0,0,0,1,0,1
11,3,0,0,0,0,1,0,1
11,4,0,0,0,0,1,0,1
11,5,0,0,0,0,1,0,1
11,6,0,0,0,0,1,0,1
11,7,0.000502832995509757,0.000431358118474263,0.000388612727477723,0.000465693966496251,3,0,1
11,8,0,0,0,0,1,0,1
11,9,0,0,0,0,1,0,1
11,10,0,0,0,0,1,0,1
11,11,0,0,0,0,1,0,1
11,12,0.000539803948381618,0.000463073858712906,0.00041718559950737,0.000499934260673026,3,0,1
11,13,0,0,0,0,1,0,1
11,14,0,0,0,0,1,0,1
11,15,0,0,0,0,1,0,1
11,16,0.000539803948381618,0.000463073858712906,0.00041718559950737,0.000499934260673026,3,0,1
11,17,0.000502832995509757,0.000431358118474263,0.000388612727477723,0.000465693966496251,3,0,1
11,18,0,0,0,0,1,0,1
11,19,0,0,0,0,1,0,1
11,20,0,0,0,0,1,0,1
12,1,0,0,0,0,1,0,1
12,2,0,0,0,0,1,0,1
12,3,0,0,0,0,1,0,1
12,4,0,0,0,0,1,0,1
12,5,0,0,0,0,1,0,1
12,6,0,0,0,0,1,0,1
12,7,0,0,0,0,1,0,1
12,8,2.03219067101275e-05,0.000681088901093688,4.9127621644388e-05,0.000158236448573692,4,0,1
12,9,5.38985546281491e-06,0.0136438535477083,0.000293275029416269,0.0027906596287026,5,0,1
12,10,0,0,0,0,1,0,1
12,11,0,0,0,0,1,0,1
12,12,0,0,0,0,1,0,1
12,13,0,0,0,0,1,0,1
12,14,0,0,0,0,1,0,1
12,15,0,0,0,0,1,0,1
12,16,0.000172800719328146,0.000148238070743195,0.000133548433471726,0.000160037732439872,3,0,1
12,17,0,0,0,0,1,0,1
12,18,0,0,0,0,1,0,1
12,19,0,0,0,0,1,0,1
12,20,0,0,0,0,1,0,1
13,1,0,0,0,0,1,0,1
13,2,0,0,0,0,1,0,1
13,3,0,0,0,0,1,0,1
13,4,0,0,0,0,1,0,1
13,5,0,0,0,0,1,0,1
13,6,0,0,0,0,1,0,1
13,7,7.46411885943238e-06,0,0,4.47847131565943e-06,2,0,1
13,8,0,0,0,0,1,0,1
13,9,0,0,0,0,1,0,1
13,10,0,0,0,0,1,0,1
13,11,7.46411885943238e-06,0,0,4.47847131565943e-06,2,0,1
13,12,7.46411885943238e-06,0,0,4.47847131565943e-06,2,0,1
13,13,0,0,0,0,1,0,1
13,14,0,0,0,0,1,0,1
13,15,0,0,0,0,1,0,1
13,16,7.46411885943238e-06,0,0,4.47847131565943e-06,2,0,1
13,17,0,0,0,0,1,0,1
13,18,7.46411885943238e-06,0,0,4.47847131565943e-06,2,0,1
13,19,2.44068947415655e-05,0.000239082977965629,7.29184804817739e-05,7.70444285344198e-05,4,1,1
13,20,0,0,0,0,1,0,1
