initial_branch,trial_id,stage_id,wind_index,wind_bus,wind_gen_row,voltage_pu,wind_output_mw,wind_capacity_mw,trip_probability,p_wt_h,trip_region,record_only,wind_trip_probability_model,wind_trip_calibration_status,threshold_hit,voltage_region,frequency_region,probability_status
1,1,1,1,30,11,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,2,31,12,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,3,32,13,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,4,33,14,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,5,34,15,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,6,35,16,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,7,36,17,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,8,37,18,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,9,38,19,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,1,10,39,20,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,1,30,11,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,2,31,12,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,3,32,13,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,4,33,14,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,5,34,15,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,6,35,16,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,7,36,17,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,8,37,18,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,9,38,19,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,2,10,39,20,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,3,1,30,11,1.0499,0,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
1,1,3,2,31,12,1,300,300,0,0,normal,1,diagnostic_voltage_piecewise,diagnostic_assumption_not_paper,0,normal,continuous_operation,diagnostic_assumption_not_paper
