initial_branch,trial_id,stage_id,load_shedding_mode,ols_status,objective_load_shed_mw,total_load_shed_mw,corrective_load_shed_mw,island_load_shed_mw,converged_after_shed,opf_success,pf_success_after_apply,num_shed_buses,max_bus_shed_mw,message
1,1,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,2,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,3,none,not_needed,0,852.5,0,852.5,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,4,both_diagnostic,success,364.016386120469,1225.71638612047,364.016386120469,861.7,1,1,1,16,195.071000853625,OLS求解成功，应用切负荷后潮流收敛。
1,1,5,both_diagnostic,success,384.580222386408,2397.53322238641,384.580222386408,2012.953,1,1,1,15,206.761286910305,OLS求解成功，应用切负荷后潮流收敛。
1,2,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,2,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,3,none,not_needed,0,852.5,0,852.5,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,4,both_diagnostic,success,364.016386120469,1225.71638612047,364.016386120469,861.7,1,1,1,16,195.071000853625,OLS求解成功，应用切负荷后潮流收敛。
1,2,5,none,not_needed,0,2482.393,0,2482.393,1,0,1,0,0,潮流已收敛，无需切负荷。
1,3,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,1,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,2,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,3,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,1,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,2,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,3,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,1,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,2,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,3,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,1,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,2,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,3,1,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
