initial_branch,trial_id,stage_id,LLR_paper,LFOR_paper,NVOR_paper,branch_loading_pu_vector,bus_voltage_pu_vector,total_load_shed_mw,base_load_mw,overloaded_branch_count,voltage_violation_bus_count,severity_formula_mode,normalization_status
1,1,1,0,0,0,0;0.09769;0.92259;0.42898;0.27778;0.31419;0.040933;0.13533;0.52561;0.4334;0.48704;0.59003;0.79392;0.3728;0.32833;0.23325;0.22453;0.63443;0.44891;0.72222;0.0020909;0.019223;0.43241;0.0066015;0.54177;0.28245;0.75728;0.55068;0.071179;0.2978;0.015681;0.19415;0.70222;0.56444;0.67467;0.071331;0.72222;0.58974;0.62222;0.16642;0.6;0.48595;0.23605;0.32013;0.58198;0.69167,1.0277;1.0466;1.0276;1.0013;1.0022;1.0045;0.99379;0.99297;1.0339;1.0154;1.0104;0.99806;1.0125;1.0098;1.0143;1.0311;1.0323;1.0292;1.0496;0.99072;1.0313;1.0496;1.0446;1.0367;1.0549;1.0503;1.0361;1.0492;1.0493;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,2,0,0.156078019899416,0,0;0.09769;0;0.5;0.27778;0.077795;0.72474;0.20102;0.68336;0.46315;0.48279;0.59457;0.83123;0.38502;0.33279;0.23342;0.22453;0.66166;0.42167;0.72222;0.0053676;0.022498;0.40245;0.16825;0.70454;0.11851;0.75701;0.55035;0.071095;0.87051;0.75665;0.19423;0.70222;0.56444;0.6746;0.071432;0.72222;0.58978;0.62222;0.93353;0.6;1.2376;0.23654;0.31948;0.58252;0.69167,1.0277;1.0636;0.98671;0.9787;0.98742;0.99108;0.98044;0.97977;1.0285;1.0031;0.99764;0.98425;0.9984;0.9914;0.99488;1.0122;1.0025;0.99409;1.0426;0.98693;1.018;1.0425;1.0372;1.0195;1.0414;1.0195;1.0006;1.0333;1.0384;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,1,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,3,0.136307746916887,0,0,0;0.09769;0;0;0;0.64432;0.0029368;0.93106;0.53401;0.79534;0.43752;0.64078;0.20364;0.79643;0.37854;0.23397;0.22458;0.20325;0.88008;0.72222;0.048028;0.030887;0.90374;0.45403;0.082538;0.73906;0.7567;0.55;0.070963;0.26619;0.47027;0.19432;0.70222;0.56444;0.67453;0.071532;0.72222;0.58982;0.62222;0;0;0;0;0;0;0,1.0277;1.0485;0.96;0.94715;0.95432;0.95812;0.94865;0.9489;1.0157;0.97892;0.97072;0.95713;0.97259;0.96383;0.9746;0.99504;0.9786;0.97003;1.0363;0.98349;1.0059;1.036;1.0305;1.0038;1.0577;1.0526;0.96265;1.0504;1.0501;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,852.5,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,4,0.136307746916887,1.83661453547697,0.00058973534395334,0;0.09769;0;0;0;0.48313;0.16357;0;1.4941;0.37263;0.49634;0.58207;1.0079;0.80824;0.32022;0.23415;0.2246;0.6792;1.7612;0.72222;0.1489;0.13153;1.862;0.5954;0.057063;0.87494;0.75623;0.54948;0.070722;0.4006;0.47039;0.19445;0.70222;0.56444;0.67444;0.071669;0.72222;0.58987;0.62222;0;0;0;0;0;0;0,1.0277;1.0485;0.92211;0.89899;0.94643;0.94803;0.93982;0.94064;1.0123;0.95437;0.95027;0.92954;0.94045;0.92102;0.94564;0.97342;0.95136;0.93851;1.0284;0.97914;0.99068;1.0278;1.0221;0.98413;1.0577;1.0526;0.9347;1.0504;1.0501;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,852.5,6254.23,4,1,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,5,0.589865578976149,0.874502845583879,0.177197477952958,0;0;0;0;0;0.75701;1.2538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.78e-06;0.4011;1.6204;1.0392;0.99749;0.41583;1.2523;0.35255;0.0054585;0.70222;0.56444;0.89999;0.19014;1.0267;0.81118;0.62222;0;0;0;0;0;0;0,1.0394;1.0485;0.81489;0.7655;1.006;1.0082;0.9984;0.99787;1.0383;1.0178;1.0134;1.0008;1.0149;0.93483;0.93112;0.94136;0.89224;0.85774;1.0173;0.97613;0.96632;1.013;1.0077;0.95238;1.0577;1.0526;0.8795;1.0504;1.0501;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,3689.155,6254.23,5,5,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,2,1,0,0,0,0;0.09769;0.92259;0.42898;0.27778;0.31419;0.040933;0.13533;0.52561;0.4334;0.48704;0.59003;0.79392;0.3728;0.32833;0.23325;0.22453;0.63443;0.44891;0.72222;0.0020909;0.019223;0.43241;0.0066015;0.54177;0.28245;0.75728;0.55068;0.071179;0.2978;0.015681;0.19415;0.70222;0.56444;0.67467;0.071331;0.72222;0.58974;0.62222;0.16642;0.6;0.48595;0.23605;0.32013;0.58198;0.69167,1.0277;1.0466;1.0276;1.0013;1.0022;1.0045;0.99379;0.99297;1.0339;1.0154;1.0104;0.99806;1.0125;1.0098;1.0143;1.0311;1.0323;1.0292;1.0496;0.99072;1.0313;1.0496;1.0446;1.0367;1.0549;1.0503;1.0361;1.0492;1.0493;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,3,1,0,0,0,0;0.09769;0.92259;0.42898;0.27778;0.31419;0.040933;0.13533;0.52561;0.4334;0.48704;0.59003;0.79392;0.3728;0.32833;0.23325;0.22453;0.63443;0.44891;0.72222;0.0020909;0.019223;0.43241;0.0066015;0.54177;0.28245;0.75728;0.55068;0.071179;0.2978;0.015681;0.19415;0.70222;0.56444;0.67467;0.071331;0.72222;0.58974;0.62222;0.16642;0.6;0.48595;0.23605;0.32013;0.58198;0.69167,1.0277;1.0466;1.0276;1.0013;1.0022;1.0045;0.99379;0.99297;1.0339;1.0154;1.0104;0.99806;1.0125;1.0098;1.0143;1.0311;1.0323;1.0292;1.0496;0.99072;1.0313;1.0496;1.0446;1.0367;1.0549;1.0503;1.0361;1.0492;1.0493;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,4,1,0,0,0,0;0.09769;0.92259;0.42898;0.27778;0.31419;0.040933;0.13533;0.52561;0.4334;0.48704;0.59003;0.79392;0.3728;0.32833;0.23325;0.22453;0.63443;0.44891;0.72222;0.0020909;0.019223;0.43241;0.0066015;0.54177;0.28245;0.75728;0.55068;0.071179;0.2978;0.015681;0.19415;0.70222;0.56444;0.67467;0.071331;0.72222;0.58974;0.62222;0.16642;0.6;0.48595;0.23605;0.32013;0.58198;0.69167,1.0277;1.0466;1.0276;1.0013;1.0022;1.0045;0.99379;0.99297;1.0339;1.0154;1.0104;0.99806;1.0125;1.0098;1.0143;1.0311;1.0323;1.0292;1.0496;0.99072;1.0313;1.0496;1.0446;1.0367;1.0549;1.0503;1.0361;1.0492;1.0493;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,4,2,0,0.156078019899416,0,0;0.09769;0;0.5;0.27778;0.077795;0.72474;0.20102;0.68336;0.46315;0.48279;0.59457;0.83123;0.38502;0.33279;0.23342;0.22453;0.66166;0.42167;0.72222;0.0053676;0.022498;0.40245;0.16825;0.70454;0.11851;0.75701;0.55035;0.071095;0.87051;0.75665;0.19423;0.70222;0.56444;0.6746;0.071432;0.72222;0.58978;0.62222;0.93353;0.6;1.2376;0.23654;0.31948;0.58252;0.69167,1.0277;1.0636;0.98671;0.9787;0.98742;0.99108;0.98044;0.97977;1.0285;1.0031;0.99764;0.98425;0.9984;0.9914;0.99488;1.0122;1.0025;0.99409;1.0426;0.98693;1.018;1.0425;1.0372;1.0195;1.0414;1.0195;1.0006;1.0333;1.0384;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,0,6254.23,1,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,4,3,0.136307746916887,0,0,0;0.09769;0;0;0;0.64432;0.0029368;0.93106;0.53401;0.79534;0.43752;0.64078;0.20364;0.79643;0.37854;0.23397;0.22458;0.20325;0.88008;0.72222;0.048028;0.030887;0.90374;0.45403;0.082538;0.73906;0.7567;0.55;0.070963;0.26619;0.47027;0.19432;0.70222;0.56444;0.67453;0.071532;0.72222;0.58982;0.62222;0;0;0;0;0;0;0,1.0277;1.0485;0.96;0.94715;0.95432;0.95812;0.94865;0.9489;1.0157;0.97892;0.97072;0.95713;0.97259;0.96383;0.9746;0.99504;0.9786;0.97003;1.0363;0.98349;1.0059;1.036;1.0305;1.0038;1.0577;1.0526;0.96265;1.0504;1.0501;1.0499;0.982;0.9841;0.9972;1.0123;1.0494;1.0636;1.0275;1.0265;1.03,852.5,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
