parameter_set_id,scenario_id,initial_branch,trial_id,stage_id,recorded_basic_LLR,recomputed_LLR,diff_LLR,recorded_basic_LFOR,recomputed_LFOR,diff_LFOR,recorded_basic_NVOR,recomputed_NVOR,diff_NVOR,recorded_basic_CRI,recomputed_CRI,diff_CRI,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,overloaded_branch_count,voltage_violation_bus_count,severity_formula_status,normalization_status,issue_type,note
high_hidden_failure,wind_speed_11_28,1,1,1,0.310223001072874,0.310223001072874,0,0.565309906592115,0.08619497297673,0.479114933615385,0.184105952310243,0,0.184105952310243,0.336016972424196,0.20337279523907,0.132644177185126,0.310223001072874,1.08619497297673,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,1,2,0.310223001072874,0.310223001072874,0,0.565309906592115,0.5905292196127,-0.0252193130205851,0.184105952310243,0,0.184105952310243,0.336016972424196,0.304239644566264,0.0317773278579316,0.310223001072874,1.29526460980635,0,2,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,1,3,0.310223001072874,0.310223001072874,0,0.565309906592115,0.08710828267092,0.478201623921195,0.184105952310243,0,0.184105952310243,0.336016972424196,0.203555457177908,0.132461515246288,0.310223001072874,1.08710828267092,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,1,4,0.310223001072874,0.310223001072874,0,0.565309906592115,0.5653099065921,1.53210777398272e-14,0.184105952310243,0.184105952310243,0,0.336016972424196,0.336016972424193,3.05311331771918e-15,0.310223001072874,1.1884366355307,0.0368211904620486,3,5,code_implementation_recompute,normalization_from_trace_fields,no_issue,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,2,1,1,0.472553615712886,0.527446384287114,1,0.08619497297673,0.91380502702327,1,0,1,1,0.300771164023078,0.699228835976922,0.472553615712886,1.08619497297673,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LLR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,2,2,1,0.472553615712886,0.527446384287114,1,0.91967563803315,0.0803243619668499,1,0.295544878682901,0.704455121317099,1,0.526576272770942,0.473423727229058,0.472553615712886,1.30655854601105,0.0295544878682901,3,10,code_implementation_recompute,normalization_from_trace_fields,LLR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,2,3,1,0.472553615712886,0.527446384287114,1,0,1,1,NaN,NaN,1,NaN,NaN,0.472553615712886,NaN,NaN,NaN,NaN,code_implementation_recompute,normalization_from_trace_fields,missing_required_field,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,3,1,0.605288964428875,0.605288964428875,0,4.85042440750764,0.08619497297673,4.76422943453091,3.65521482621416,0,3.65521482621416,2.06430122540168,0.380412373252671,1.68388885214901,0.605288964428875,1.08619497297673,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,3,2,0.605288964428875,0.605288964428875,0,4.85042440750764,0.5905292196127,4.25989518789494,3.65521482621416,0,3.65521482621416,2.06430122540168,0.481279222579865,1.58302200282181,0.605288964428875,1.29526460980635,0,2,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,3,3,0.605288964428875,0.605288964428875,0,4.85042440750764,3.4870097534842,1.36341465402344,3.65521482621416,0.189897881352992,3.46531694486117,2.06430122540168,1.09855490562476,0.965746319776916,0.605288964428875,1.87175243837105,0.023737235169124,4,8,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,3,4,0.605288964428875,0.605288964428875,0,4.85042440750764,4.85042440750764,0,3.65521482621416,3.65521482621417,-7.54951656745106e-15,2.06430122540168,2.06430122540169,-7.105427357601e-15,0.605288964428875,1.80840406791794,0.261086773301012,6,14,code_implementation_recompute,normalization_from_trace_fields,no_issue,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,4,1,0.412936524560178,0.412936524560178,0,0.0417750494106608,0.08619497297673,-0.0444199235660692,0,0,0,0.256116924618239,0.265000909331453,-0.00888398471321378,0.412936524560178,1.08619497297673,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,4,2,0.412936524560178,0.412936524560178,0,0.0417750494106608,0.88724142281061,-0.845466373399949,0,0,0,0.256116924618239,0.425210199298229,-0.16909327467999,0.412936524560178,1.29574714093687,0,3,0,code_implementation_recompute,normalization_from_trace_fields,LFOR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,4,3,0.412936524560178,0.412936524560178,0,0.0417750494106608,0.0417750494106599,8.95117313604032e-16,0,0,0,0.256116924618239,0.256116924618239,2.22044604925031e-16,0.412936524560178,1.04177504941066,0,1,0,code_implementation_recompute,normalization_from_trace_fields,no_issue,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,5,1,1,0.723984727136674,0.276015272863326,1,0.08619497297673,0.91380502702327,1,0,1,1,0.45162983087735,0.54837016912265,0.723984727136674,1.08619497297673,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LLR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,5,2,1,0.723984727136674,0.276015272863326,1,0.5905292196127,0.4094707803873,1,0,1,1,0.552496680204544,0.447503319795456,0.723984727136674,1.29526460980635,0,2,0,code_implementation_recompute,normalization_from_trace_fields,LLR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
high_hidden_failure,wind_speed_11_28,1,5,3,1,0.723984727136674,0.276015272863326,1,0.08710828267092,0.91289171732908,1,0,1,1,0.451812492816188,0.548187507183812,0.723984727136674,1.08710828267092,0,1,0,code_implementation_recompute,normalization_from_trace_fields,LLR_mismatch,Offline recompute of current basic severity formulas; not formal paper confirmation.
