parameter_set_id,metric_name,scenario_id,sample_count,mean_recorded_severity,median_recorded_severity,p95_recorded_severity,max_recorded_severity,mean_recomputed_severity,p95_recomputed_severity,tail_sample_count,tail_mean_severity,tail_p95_severity,severity_status,note
benchmark_calibrated_seed,LLR,wind_speed_11_28,3082,0.534215419184049,0.568156671564685,1,1,0.400650980867802,0.723984727136674,1037,1,1,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,LLR,wind_speed_12_00,3297,0.558408964865354,0.568165545558766,1,1,0.430517205502782,0.748790818374124,1080,1,1,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,LFOR,wind_speed_11_28,3082,1.0589752459779,1,4.8527097242734,7.63777110250686,0.935724932996567,5.75760949340052,160,6.11662320867071,6.95971246143003,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,LFOR,wind_speed_12_00,3297,1.22500402365844,1,5.779762171543,8.31383062014375,1.03111236568227,5.8468517512581,166,6.65556092606591,6.77165452457875,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,NVOR,wind_speed_11_28,3082,0.667559047363996,0.673058963607829,1.95769813157221,5.01688786623347,0.219989723872969,1.36169094221305,156,2.85925602522302,3.76801089870005,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,NVOR,wind_speed_12_00,3297,0.813186764076057,1,2.2769799146603,4.39393948774544,0.291042464251257,1.85785556689422,168,3.35977437446792,3.91398439548852,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,CRI,wind_speed_11_28,3082,0.66583611017881,0.904082866317818,1.68440525661126,2.14424153259334,0.477776626115355,1.73330523629634,155,1.94317216924706,2.10907707667061,computed_from_existing_trace,Diagnostic severity response summary.
benchmark_calibrated_seed,CRI,wind_speed_12_00,3297,0.742683536466111,0.976566389500615,1.77900404526537,2.25753252181036,0.532036182672391,1.93192298591259,180,1.99395546352966,2.04439879828613,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,LLR,wind_speed_11_28,3492,0.53297228763408,0.567053418246531,1,1,0.414424838715663,0.745247896223836,1023,1,1,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,LLR,wind_speed_12_00,3573,0.582392277624109,0.59344779453266,1,1,0.445067469503726,0.761275168965644,1230,1,1,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,LFOR,wind_speed_11_28,3492,1.21204358060312,1,5.05304014209131,13.0640650503314,1.01512369757723,5.75760949340052,177,6.79866280421219,10.9025457747442,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,LFOR,wind_speed_12_00,3573,1.21069270404114,1,5.16037388586371,12.5380047873219,1.05792419171522,5.95313358884586,179,6.75660022979807,10.7706684340141,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,NVOR,wind_speed_11_28,3492,0.665950471309251,0.571510200237485,2.16489824493244,5.14960419528384,0.257111657250715,1.74341885729034,176,2.89775495554103,3.72882453843899,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,NVOR,wind_speed_12_00,3573,0.764372247250544,1,2.50155768938974,3.91398439548852,0.273466720919835,1.66419439762967,179,3.11007918663166,3.85371344288354,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,CRI,wind_speed_11_28,3492,0.695382182962923,0.789687664508025,1.75647721010316,3.19549191430233,0.510718592788169,1.80827508416459,179,2.07130436630039,2.84972865784404,computed_from_existing_trace,Diagnostic severity response summary.
high_hidden_failure,CRI,wind_speed_12_00,3573,0.744448356832801,1,1.68001123647584,3.02678971644704,0.545037846458229,1.93192298591259,185,2.03891682107948,2.91820299990458,computed_from_existing_trace,Diagnostic severity response summary.
