parameter_set_id,scenario_id,sigma,metric_name,var_value,sample_count,valid_sample_count,severity_formula_mode,risk_aggregation_level,proxy_status,note
high_hidden_failure,wind_speed_11_28,0.9,SLLR,12.6641398538936,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.95,SLLR,35.195607478403,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.98,SLLR,67.481564574444,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.9,SLFOR,18.6416967886958,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.95,SLFOR,64.5646727656222,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.98,SLFOR,136.761897739009,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.9,SNVOR,0.266069754084225,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.95,SNVOR,3.07129858753494,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.98,SNVOR,21.8278814136782,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.9,CRI,13.439729898828,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.95,CRI,39.6324564731649,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_11_28,0.98,CRI,61.8715491209263,1380,1129,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.9,SLLR,24.6022903666251,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.95,SLLR,74.862393863033,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.98,SLLR,93.0777354702938,1380,1380,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.9,SLFOR,22.1017194708849,1380,1068,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.95,SLFOR,72.6498186119259,1380,1068,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.98,SLFOR,160.309958955085,1380,1068,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.9,SNVOR,0.373767777587392,1380,1068,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
high_hidden_failure,wind_speed_12_00,0.95,SNVOR,18.2416055942972,1380,1068,paper_confirmed_exponential_sum,stage_probability_weighted_chain_risk,actual_divided_by_1e_minus_4_display,Severity-only diagnostic; not final benchmark.
