parameter_set_id,scenario_id,metric_name,candidate_branch,tail_chain_count,candidate_occurrence_count,selected_count,mean_candidate_probability,p95_candidate_probability,mean_P_L,mean_P1,mean_P2,mean_P3,mean_P_flow,mean_P_HF_L,mean_line_loading_pu,tail_selected_rank,note
benchmark_calibrated_seed,wind_speed_11_28,CRI,1,58,194,27,0.140497591655392,1,0.140497591655392,0.139273333923433,0.00482075874433326,0,0.139552298969072,0.00472548422856182,0.557504502780431,7,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,2,58,203,0,0.001679836582,0.001679836582,0.001679836582,0.000580836582000001,0.001099,0,0.000582,0.001,0.279114908661578,23,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,3,58,172,30,0.338187743366814,1,0.338187743366814,0.336785254994721,0.0143255435427336,0,0.337459837209302,0.0142397833260597,0.841103588842791,6,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,4,58,202,12,0.0686673087951915,1,0.0686673087951917,0.0675148434486571,0.00297005212483729,0,0.0676500759504821,0.00287292504988718,0.606065409180082,12,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,5,58,214,0,0.001575046477,0.001575046477,0.001575046477,0.000476046477,0.001099,0,0.000476999999999999,0.001,0.464110828713858,24,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,6,58,214,0,0.00660579633443181,0.0547167466628203,0.00660579633443212,0.00550679633443211,0.001099,0,0.00551782646954473,0.001,0.517959271739339,25,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,7,58,214,12,0.104178361809944,1,0.104178361809944,0.102986838445458,0.00290772563500028,0,0.103193121495327,0.00281053617117145,0.335678429234819,13,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,8,58,129,38,0.368411812805861,1,0.368411812805861,0.367033743038419,0.00826543144072633,0,0.367768913095697,0.0081736050457721,0.707281010335608,3,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,9,58,178,20,0.226047753196674,1,0.226047753196674,0.224746506005663,0.0104888402849984,0,0.225196674157304,0.0103992395245229,0.725870466527967,8,Tail candidate composition from existing candidate and line probability traces.
benchmark_calibrated_seed,wind_speed_11_28,CRI,10,58,166,0,0.001679836582,0.001679836582,0.001679836582,0.000580836582,0.001099,0,0.000582,0.001,0.408956906133758,26,Tail candidate composition from existing candidate and line probability traces.
