parameter_set_id,scenario_id,metric_name,sigma,var_value,initial_branch,trial_id,chain_depth,terminated_reason,tail_rank,tail_flag,R_metric_display,R_LLR_display,R_LFOR_display,R_NVOR_display,R_CRI_display,initial_line_probability,chain_transition_probability,total_chain_probability_display,max_line_loading_pu,max_voltage_deviation_pu,total_load_shed_frac,paper_severity_formula_mode,note
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,1,4,load_loss_threshold,203,0,3.72148786616515,3.72148786616515,96.0196480729762,0,21.4368223342943,NaN,0.0623335638056375,NaN,1.29526460980635,0.0368211904620486,0.310223001072874,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,2,3,load_loss_threshold,359,0,0.222185580589394,0.222185580589394,NaN,NaN,NaN,NaN,0.00107347187319478,NaN,1.30655854601105,0.0295544878682901,0.472553615712886,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,3,4,load_loss_threshold,617,0,0.000317343686287754,0.000317343686287754,16.3959974733874,5.70555814506876e-05,3.27940131200555,NaN,3.25372200316501e-06,NaN,1.87175243837105,0.261086773301012,0.605288964428875,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,4,3,load_loss_threshold,704,0,0,0,0.620083446440451,0,0.12401668928809,NaN,0.00352583489481654,NaN,1.29574714093687,0,0.412936524560178,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,5,5,max_depth_reached,75,0,31.9682221856603,31.9682221856603,NaN,NaN,NaN,NaN,0.0615133668145107,NaN,1.3422041053345,0.0319524045226984,0.723984727136674,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,6,4,load_loss_threshold,333,0,0.319835207155383,0.319835207155383,96.0196480729762,0,19.3958307388885,NaN,0.00535712301355778,NaN,1.3486156310931,0.196495424819593,0.353334063505819,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,7,5,max_depth_reached,76,0,31.9682221856603,31.9682221856603,NaN,NaN,NaN,NaN,0.0615133668145107,NaN,1.3422041053345,0.0319524045226984,0.723984727136674,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,8,3,load_loss_threshold,460,0,0.0419770762526152,0.0419770762526152,0.108603104190184,0,0.0469068665896059,NaN,0.000703100710002525,NaN,1.96551329303833,0.192360456873104,0.507838694771379,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,9,4,load_loss_threshold,352,0,0.257989022599252,0.257989022599252,16.9123766522878,0,3.53726874401711,NaN,0.00240381190612964,NaN,1.52601260668615,0.145336164883993,0.397204132243298,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
high_hidden_failure,wind_speed_11_28,SLLR,0.95,35.195607478403,1,10,5,max_depth_reached,77,0,31.9682221856603,31.9682221856603,NaN,NaN,NaN,NaN,0.0615133668145107,NaN,1.3422041053345,0.0319524045226984,0.723984727136674,paper_confirmed_exponential_sum,Tail flag uses sigma=0.95 quantile over chain-level paper-confirmed risk display.
