candidate_branch,line_loading_11_28,line_loading_12_00,delta_line_loading,P_L_11_28,P_L_12_00,delta_P_L,tail_risk_11_28,tail_risk_12_00,delta_tail_risk,interpretation,note
1,0.55192052719392,0.620745930345194,0.0688254031512738,0.160858784658533,0.186165265903491,0.0253064812449573,67.1596940765817,104.150857372154,36.9911632955728,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
2,0.255069728990163,0.295460823908939,0.0403910949187758,0.0129510827255556,0.0497585399213349,0.0368074571957793,62.6824962638253,90.6642293973442,27.9817331335188,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
3,0.875891094136706,0.947995221499026,0.07210412736232,0.348103712905002,0.364977797389195,0.0168740844841931,66.9307647196844,96.5600928739636,29.6293281542792,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
4,0.539121684218459,0.537154487460439,-0.0019671967580206,0.0314670374592696,0.0320070185902489,0.000539981130979306,64.221831837591,93.6579646674357,29.4361328298447,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
5,0.465924179047632,0.501352365848717,0.0354281868010855,0.00512998137372982,0.00522483368770924,9.48523139794244e-05,64.3397905988909,95.5441377466045,31.2043471477136,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
6,0.457519343548471,0.452687715515977,-0.00483162803249415,0.0316508377102065,0.0632374613512834,0.0315866236410769,61.9595330782925,86.4877461604343,24.5282130821418,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
7,0.3246229655066,0.341288276183572,0.016665310676972,0.0408228486980514,0.0388457568619815,-0.00197709183606991,61.7685985521477,86.4038014731894,24.6352029210417,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
8,0.604599280735368,0.581915686090071,-0.0226835946452966,0.245897688050353,0.280502383393189,0.0346046953428358,57.8622428083104,75.1346002818915,17.2723574735811,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
9,0.641335353209304,0.571096772354878,-0.0702385808544258,0.151642403139023,0.110531929712793,-0.0411104734262296,55.3334013310859,86.2142965908048,30.880895259719,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
10,0.478174383807123,0.445634910369345,-0.0325394734377786,0.0334207317083546,0.0221782251269832,-0.0112425065813714,51.0863087435442,90.1977190282034,39.1114102846591,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
