parameter_set_id,metric_name,initial_branch,tail_count_11_28,tail_count_12_00,tail_risk_mean_11_28,tail_risk_mean_12_00,delta_tail_risk_mean,chain_probability_mean_11_28,chain_probability_mean_12_00,delta_chain_probability,severity_mean_11_28,severity_mean_12_00,delta_severity,dominant_change,note
benchmark_calibrated_seed,CRI,10,13,8,194.969095192029,149.945460927091,-45.0236342649383,0.0394010620820024,0.0215532021266343,-0.0178478599553681,194.969095192029,149.945460927091,-45.0236342649383,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,CRI,11,20,27,94.0671838260082,115.738178134377,21.6709943083688,0.726346485038956,0.878980715254393,0.152634230215437,94.0671838260082,115.738178134377,21.6709943083688,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,CRI,19,11,17,94.2941779346603,236.637895334467,142.343717399807,0.187094412828385,0.596594944862551,0.409500532034166,94.2941779346603,236.637895334467,142.343717399807,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,CRI,23,7,12,104.47370863932,206.15480011645,101.68109147713,0.280634019770579,0.528249244447683,0.247615224677104,104.47370863932,206.15480011645,101.68109147713,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,CRI,42,7,NaN,98.8448878886083,NaN,NaN,0.202165380112796,NaN,NaN,98.8448878886083,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,1,13,22,142.903900136769,163.627533742939,20.7236336061699,0.093782220648023,0.0453568823447505,-0.0484253383032724,33.6079541218736,34.8002630815258,1.19230895965223,severity_increase,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,10,13,10,913.953664594503,602.826829032853,-311.126835561651,0.0394010620820024,0.0182595348442409,-0.0211415272377616,194.969095192029,128.03263405348,-66.9364611385488,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,19,5,NaN,192.20584895916,NaN,NaN,0.149056416675563,NaN,NaN,100.117327717561,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,23,7,12,211.435648913039,437.875183334452,226.439534421413,0.280634019770579,0.528249244447683,0.247615224677104,104.47370863932,206.15480011645,101.68109147713,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,35,5,7,215.524675783562,223.727459478826,8.20278369526395,0.0198070261148868,0.0640804541942865,0.0442734280793997,45.1277356889512,49.196981615891,4.0692459269398,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,39,5,NaN,137.589787670896,NaN,NaN,0.141807029533621,NaN,NaN,33.2412228618658,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLFOR,42,9,8,343.523397556421,239.782353429743,-103.741044126678,0.174409951949436,0.093560045387406,-0.0808499065620304,91.4971100349165,71.5091548467477,-19.9879551881687,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,10,7,7,99.2757349860999,132.582812182235,33.3070771961351,0.20303877655792,0.271231807334333,0.068193030776413,NaN,NaN,NaN,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,11,20,NaN,102.596441011753,NaN,NaN,0.726346485038956,NaN,NaN,94.0671838260082,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,19,NaN,17,NaN,204.556465906624,NaN,NaN,0.596594944862551,NaN,NaN,236.637895334467,NaN,initial_branch_enters_tail_only_at_12mps,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,23,NaN,12,NaN,182.411516198956,NaN,NaN,0.528249244447683,NaN,NaN,206.15480011645,NaN,initial_branch_enters_tail_only_at_12mps,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,28,NaN,13,NaN,162.421564176889,NaN,NaN,0.413053732460745,NaN,NaN,NaN,NaN,initial_branch_enters_tail_only_at_12mps,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,32,27,NaN,101.573397103946,NaN,NaN,0.877681654779003,NaN,NaN,61.0179962921611,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,38,NaN,15,NaN,129.665528249978,NaN,NaN,0.413720638758899,NaN,NaN,NaN,NaN,initial_branch_enters_tail_only_at_12mps,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SLLR,42,16,9,191.990428897061,162.229979883717,-29.760449013344,0.383778730308167,0.324289164076373,-0.0594895662317941,NaN,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SNVOR,10,13,NaN,36.5969975397931,NaN,NaN,0.0394010620820024,NaN,NaN,194.969095192029,NaN,NaN,no_clear_change,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SNVOR,11,20,27,79.2913017385908,95.9535518532869,16.6622501146961,0.726346485038956,0.878980715254393,0.152634230215437,94.0671838260082,115.738178134377,21.6709943083688,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SNVOR,13,3,14,40.4420488912257,170.115599331815,129.673550440589,0.0748869157038882,0.27644053740413,0.201553621700242,21.4401419474164,88.0140164360738,66.5738744886574,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
benchmark_calibrated_seed,SNVOR,19,11,18,120.104369533995,440.603582934622,320.499213400627,0.187094412828385,0.563503067209996,0.376408654381611,94.2941779346603,229.07192202763,134.77774409297,both_probability_and_severity,11.28 vs 12.00 tail initial-branch delta.
