parameter_set_id,scenario_id,candidate_branch,mean_base_or_stage_line_loading,mean_tail_line_loading,tail_probability_mean,tail_risk_mean,correlation_loading_probability,correlation_loading_tail_risk,baseflow_driver_status,note
benchmark_calibrated_seed,wind_speed_11_28,1,0.495494030857823,0.522358151864594,0.122173147963486,91.1181556476026,0.824915119319401,0.174748294636303,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,2,0.239365003584062,0.235267232036249,0.001679836582,84.3764805796795,-1.22021810005343e-15,0.259370653403742,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,3,0.855137138818578,0.871405220359931,0.342218772260879,89.7350948335684,0.871384189225451,-0.0308523429398172,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,4,0.444269637576993,0.54306418724081,0.0359581103416755,86.8561476712592,0.546277208562143,0.178589342314043,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,5,0.465578079716643,0.462292591106844,0.001575046477,87.2407601866607,3.29404283588529e-15,0.281667888975417,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,6,0.420568202714732,0.458885014083511,0.0197938802837976,83.4496221926193,0.310316617048195,0.338534579346713,loading_correlated_with_tail_risk,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,7,0.294681363156095,0.326250556214128,0.0472001014287026,83.4496221926193,0.615082388074758,0.0213552778382173,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,8,0.59400798452345,0.653197249221407,0.279245143567089,78.1943426866635,0.822621131174595,-0.0164641837448359,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,9,0.529519225388534,0.63650621519115,0.156587479759522,74.0214574518388,0.848101813514375,0.515973003911794,loading_correlated_with_tail_risk,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,10,0.544357390689433,0.496116779953961,0.0274762232336279,69.128133937236,0.425966980922122,-0.208458558545338,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,11,0.388470694980573,0.341204335300524,0.001662870565,81.5532051984155,-1.80399241077856e-16,-0.126455107213974,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,12,0.554457427417876,0.580331883272972,0.113916383875352,69.3732023682463,0.615797122379951,0.324207435123157,loading_correlated_with_tail_risk,Base/stage loading and tail risk correlation from existing line component trace.
benchmark_calibrated_seed,wind_speed_11_28,13,0.637943639045242,0.732688065711462,0.30275671886861,77.3096447840256,0.851083608772059,0.290779356093374,weak_or_no_loading_tail_correlation,Base/stage loading and tail risk correlation from existing line component trace.
