parameter_set_id,initial_branch,trial_id,metric_name,R_11_28,R_12_00,delta_12_minus_11,basic_metric_11_28,basic_metric_12_00,delta_basic_metric,chain_prob_11_28,chain_prob_12_00,delta_chain_prob,terminated_reason_11_28,terminated_reason_12_00,pair_status,likely_driver,note
low_hidden_failure,1,1,SLLR,0.168337834796347,0.133178174704997,-0.0351596600913501,0.310223001072874,0.310223001072874,0,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,no_clear_driver,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,1,SLFOR,0.306756898539214,0.239304074871803,-0.0674528236674104,0.565309906592115,0.557430888658312,-0.00787901793380297,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,no_clear_driver,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,1,SNVOR,0.0999023195502696,0.0858488203019264,-0.0140534992483432,0.184105952310243,0.199974798660686,0.015868846350443,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,1,CRI,0.182334544495705,0.144937483857744,-0.0373970606379607,0.336016972424196,0.337614938107524,0.00159796568332804,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,2,SLLR,0.168337834796347,0.133178174704997,-0.0351596600913501,0.310223001072874,0.310223001072874,0,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,no_clear_driver,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,2,SLFOR,0.306756898539214,0.239304074871803,-0.0674528236674104,0.565309906592115,0.557430888658312,-0.00787901793380297,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,no_clear_driver,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,2,SNVOR,0.0999023195502696,0.0858488203019264,-0.0140534992483432,0.184105952310243,0.199974798660686,0.015868846350443,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,2,CRI,0.182334544495705,0.144937483857744,-0.0373970606379607,0.336016972424196,0.337614938107524,0.00159796568332804,0.123889252191768,0.0980132867482073,-0.0258759654435607,load_loss_threshold,load_loss_threshold,paired_by_initial_branch_trial,severity_increase,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,3,SLLR,0.108038349386917,0.0441672899209332,-0.063871059465984,0.571347879754982,0.571347879754982,0,0.0431721035263885,0.0176492405129011,-0.0255228630134874,max_depth_reached,max_depth_reached,paired_by_initial_branch_trial,no_clear_driver,Paired chain delta from existing after-curve-fix pilot.
low_hidden_failure,1,3,SLFOR,1.18819513032834,0.492649691798667,-0.695545438529676,6.28362773312141,6.37291437566126,0.0892866425398502,0.0431721035263885,0.0176492405129011,-0.0255228630134874,max_depth_reached,max_depth_reached,paired_by_initial_branch_trial,severity_increase,Paired chain delta from existing after-curve-fix pilot.
