parameter_set_id,scenario_id,metric_name,initial_branch,tail_sample_count,tail_risk_sum,tail_risk_mean,tail_risk_max,mean_initial_line_probability,mean_chain_transition_probability,mean_basic_LLR,mean_basic_LFOR,mean_basic_NVOR,mean_CRI_display,dominance_rank,note
benchmark_calibrated_seed,wind_speed_11_28,CRI,11,9,24.646378560398,2.73848650671089,2.73848650671089,0.000565,0.726346485038956,0.567053418246531,1.63531818411433,0,2.73848650671088,1,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,CRI,14,6,17.7183893292418,2.95306488820696,2.95306488820696,0.000377,0.396509683571834,0.571347879754982,6.28362773312141,1.87984699410406,2.95306488820695,2,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,CRI,19,4,8.04435371438724,2.01108842859681,2.01108842859681,0.000685,0.218792742955736,0.323750037974299,2.14203279891022,3.5960244356142,2.01108842859681,3,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,CRI,42,4,6.74486308116659,1.68621577029165,2.31418574375825,0.000603,0.26985387535343,0.712905905283304,2.28122914003565,0.79102310510515,1.68621577029165,4,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,1,1,4.26027641601153,4.26027641601153,4.26027641601153,0.000438,0.143915433438018,0.507838694771379,6.75859305126834,1.92360456873104,1.28663350709933,5,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,11,9,60.4000172202956,6.71111302447729,6.71111302447729,0.000565,0.726346485038956,0.567053418246531,1.63531818411433,0,2.73848650671088,1,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,14,6,56.3581653025185,9.39302755041975,9.39302755041975,0.000377,0.396509683571834,0.571347879754982,6.28362773312141,1.87984699410406,2.95306488820695,2,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,19,4,12.8413177451473,3.21032943628683,3.21032943628683,0.000685,0.218792742955736,0.323750037974299,2.14203279891022,3.5960244356142,2.01108842859681,3,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLFOR,42,3,11.3605013500133,3.78683378333776,3.78683378333776,0.000603,0.231878923701851,0.617207873711072,2.70830552004754,0.7213641401402,1.47689244580278,4,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,10,2,2.36337135913418,1.18168567956709,1.18168567956709,0.000582,0.20303877655792,1,1,1,1.18168567956709,6,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,11,9,20.9439585272314,2.32710650302571,2.32710650302571,0.000565,0.726346485038956,0.567053418246531,1.63531818411433,0,2.73848650671088,1,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,14,7,6.27074850445146,0.895821214921637,1.14630135066069,0.000377,0.383302402162015,0.632583896932842,5.52882377124692,1.75415456637491,2.69495581141463,2,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,20,3,3.84013028541978,1.28004342847326,1.28004342847326,0.000553,0.231472591043989,1,1,1,1.28004342847326,4,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,42,4,4.90318127274509,1.22579531818627,2.31418574375825,0.000603,0.26985387535343,0.712905905283304,2.28122914003565,0.79102310510515,1.68621577029165,3,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SLLR,46,3,2.92383793354486,0.974612644514954,0.974612644514954,0.000414,0.235413682249989,1,1,1,0.974612644514954,5,tail contribution grouped by initial branch
benchmark_calibrated_seed,wind_speed_11_28,SNVOR,1,1,1.21254336749258,1.21254336749258,1.21254336749258,0.000438,0.143915433438018,0.507838694771379,6.75859305126834,1.92360456873104,1.28663350709933,7,tail contribution grouped by initial branch
