parameter_set_id,candidate_branch,mean_probability_11_28,mean_probability_12_00,delta_probability,mean_line_loading_11_28,mean_line_loading_12_00,delta_line_loading,mean_P_flow_11_28,mean_P_flow_12_00,delta_P_flow,mean_P_HF_L_11_28,mean_P_HF_L_12_00,delta_P_HF_L,selected_count_11_28,selected_count_12_00,delta_selected_count,probability_driver,note
benchmark_calibrated_seed,1,0.0876280484234534,0.0943815533620034,0.00675350493855004,0.490163194783141,0.528246041023106,0.0380828462399647,NaN,NaN,NaN,NaN,NaN,NaN,71,77,6,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,2,0.0218253107316906,0.028009159573244,0.00618384884155337,0.236141257868601,0.263741847283693,0.0276005894150918,NaN,NaN,NaN,NaN,NaN,NaN,19,25,6,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,3,0.222605054907121,0.248992190021485,0.0263871351143641,0.845417909437964,0.879591907682743,0.0341739982447794,NaN,NaN,NaN,NaN,NaN,NaN,146,175,29,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,4,0.0327374052766314,0.0318476076109343,-0.000889797665697072,0.453188961027179,0.4468121275953,-0.00637683343187878,NaN,NaN,NaN,NaN,NaN,NaN,25,22,-3,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,5,0.001575046477,0.001575046477,2.16840434497101e-19,0.465812939590384,0.497375294054683,0.0315623544642989,NaN,NaN,NaN,NaN,NaN,NaN,2,3,1,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,6,0.0512521747835769,0.0642808276277768,0.0130286528441999,0.41957760818085,0.423813791399504,0.00423618321865449,NaN,NaN,NaN,NaN,NaN,NaN,42,59,17,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,7,0.0218528642622907,0.0224799398022934,0.000627075540002665,0.291263358889857,0.308253904562921,0.0169905456730639,NaN,NaN,NaN,NaN,NaN,NaN,12,17,5,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,8,0.160881272839752,0.157830299785254,-0.00305097305449795,0.610667290739221,0.585817029234632,-0.0248502615045887,NaN,NaN,NaN,NaN,NaN,NaN,109,104,-5,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,9,0.070612679082634,0.046474657591047,-0.024138021491587,0.53666705531078,0.510973582014335,-0.0256934732964444,NaN,NaN,NaN,NaN,NaN,NaN,39,29,-10,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,10,0.0466892552641661,0.0376435721108871,-0.00904568315327895,0.548394976769242,0.535137532551982,-0.0132574442172593,NaN,NaN,NaN,NaN,NaN,NaN,39,34,-5,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
benchmark_calibrated_seed,11,0.0136621642076662,0.0189763110559571,0.00531414684829098,0.384909438045432,0.391537355748156,0.00662791770272436,NaN,NaN,NaN,NaN,NaN,NaN,15,16,1,component_fields_missing,Paired candidate-branch delta from existing after-curve-fix trace; diagnostic only.
