parameter_set_id,scenario_id,sample_variant,sigma,metric_name,var_value,sample_count,valid_sample_count,chain_probability_status_summary,stage_probability_mode,wind_power_curve_profile,quantile_rule,source_file,note
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.9,SLLR,6.03,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.9,SLFOR,6.16,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.9,SNVOR,6.03,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.9,CRI_recomputed,6.03,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.9,CRI_basic_reference,6.03,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.95,SLLR,6.5,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.95,SLFOR,6.85,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.95,SNVOR,6.5,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.95,CRI_recomputed,6.5,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.95,CRI_basic_reference,6.5,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
low_hidden_failure,concentrated_bus34,full_event_chain_risk_display,0.98,SLLR,6.85,460,460,full_event_available,bernoulli_full_event,paper_2_12_20,empirical_quantile,C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,After-curve-fix full-event metric reconstruction; not final benchmark.
