parameter_set_id,metric_name,candidate_branch,tail_candidate_rows_11_28,tail_candidate_rows_12_00,mean_tail_candidate_probability_11_28,mean_tail_candidate_probability_12_00,delta_probability_12_minus_11,selected_tail_count_11_28,selected_tail_count_12_00,delta_selected_count_12_minus_11,likely_effect
benchmark_calibrated_seed,CRI,1,64,78,0.297955087495469,0.283154140622154,-0.014800946873315,19,22,3,selected_more_at_12mps
benchmark_calibrated_seed,CRI,2,68,81,0.001679836582,0.0633045380275555,0.0616247014455555,0,5,5,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,3,53,72,0.434797874176226,0.375902551531525,-0.0588953226447012,14,17,3,selected_more_at_12mps
benchmark_calibrated_seed,CRI,4,73,88,0.0112680751906905,0.00547510963274872,-0.00579296555794182,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,5,73,88,0.001575046477,0.001575046477,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,6,86,95,0.00719982988559748,0.0638450599127721,0.0566452300271746,0,5,5,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,7,86,95,0.0363624068839767,0.001532132434,-0.0348302744499767,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,8,67,72,0.222721464280638,0.293664865824738,0.0709434015441007,8,13,5,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,9,83,95,0.158071853049638,0.13832135817381,-0.0197504948758281,4,3,-1,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,10,83,95,0.001679836582,0.001679836582,-2.16840434497101e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,11,56,65,0.001662870565,0.001662870565,-2.16840434497101e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,12,65,75,0.125405410239868,0.1345132776946,0.00910786745473194,9,10,1,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,13,58,65,0.397517239268448,0.416319997955015,0.0188027586865672,17,23,6,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,14,47,59,0.137051710186606,0.195827340391192,0.0587756302045855,8,13,5,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,15,74,85,0.001121954023,0.001121954023,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,16,68,81,0.0892582521974412,0.0504492649354445,-0.0388089872619967,6,4,-2,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,17,68,81,0.089860633859853,0.0510773155894444,-0.0387833182704086,6,4,-2,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,18,67,75,0.150378038667328,0.195702972226378,0.0453249335590493,4,10,6,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,19,63,65,0.302806656600525,0.315204783031437,0.0123981264309123,4,8,4,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,20,67,75,0.18937759174196,0.117950926225313,-0.0714266655166471,4,3,-1,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,21,83,95,0.001525146427,0.001525146427,4.33680868994202e-19,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,CRI,22,83,95,0.001512172414,0.001512172414,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,23,83,90,0.231412516135777,0.248057045330262,0.0166445291944842,4,8,4,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,24,86,95,0.001475246377,0.001475246377,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,25,86,95,0.00432688189804041,0.00590125607323321,0.00157437417519281,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,CRI,26,86,95,0.0477986564822168,0.00956960637676009,-0.0382290501054567,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,27,63,71,0.374120107350551,0.357448245344703,-0.0166718620058479,20,27,7,selected_more_at_12mps
benchmark_calibrated_seed,CRI,28,86,80,0.001571054473,0.001571054473,-2.16840434497101e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,29,86,95,0.0016978006,0.0016978006,2.16840434497101e-19,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,CRI,30,86,95,0.0544338194447501,0.0228127374826992,-0.0316210819620509,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,31,86,95,0.0481133325549303,0.0542230030776842,0.00610967052275398,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,CRI,32,63,71,0.001612970515,0.001612970515,-2.16840434497101e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,33,63,71,0.001123950025,0.001123950025,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,34,63,71,0.001123950025,0.001123950025,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,35,86,85,0.001611972514,0.001611972514,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,36,86,85,0.001679836582,0.001679836582,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,37,86,85,0.0490305565298259,0.0442848912962145,-0.00474566523361138,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,38,86,85,0.001475246377,0.0602119965901177,0.0587367502131177,0,5,5,higher_probability_and_selected_more_at_12mps
benchmark_calibrated_seed,CRI,39,86,85,0.001543110445,0.001543110445,2.16840434497101e-19,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,CRI,40,67,84,0.150604733849701,0.108560732580357,-0.0420440012693443,6,4,-2,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,41,73,88,0.001555086457,0.001555086457,-2.16840434497101e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,42,59,78,0.170904049755034,0.1168891644565,-0.0540148852985339,6,4,-2,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,43,67,84,0.001575046477,0.001575046477,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,44,67,84,0.001123950025,0.001123950025,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,45,67,84,0.001550096452,0.001550096452,-4.33680868994202e-19,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,CRI,46,67,84,0.001512172414,0.001512172414,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,1,62,82,0.291412733472129,0.172005566607122,-0.119407166865007,18,14,-4,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,2,68,82,0.001679836582,0.001679836582,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,3,53,74,0.434797874176226,0.325321786741892,-0.109476087434335,14,14,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,4,73,92,0.0112680751906905,0.00530415314632486,-0.00596392204436568,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,5,73,92,0.001575046477,0.001575046477,0,0,0,0,no_clear_tail_candidate_effect
benchmark_calibrated_seed,SLFOR,6,87,96,0.00713599166332624,0.0111995429062641,0.00406355124293783,0,0,0,higher_candidate_probability_at_12mps
benchmark_calibrated_seed,SLFOR,7,87,96,0.0359620589017931,0.001532132434,-0.0344299264677931,0,0,0,no_clear_tail_candidate_effect
