field,value
matpower_candidate_paths,"[""E:\\Matlab\\toolbox\\matpower6.0\\matpower6.0"";""E:\\matpower\\matpower5.1\\matpower5.1""]"
seed,"202405"
system_frequency_hz,"50"
enable_frequency_trip,"false"
voltage_min_pu,"0.9"
voltage_max_pu,"1.1"
default_branch_rate_mva,"1000"
load_shed_step,"0.05"
load_shed_max_frac,"0.3"
load_shed_max_iter,"6"
enable_wind_voltage_trip_sampling,"false"
risk_weights,"[0.6;0.2;0.2]"
severity_mode,"basic"
enable_paper_severity,"true"
paper_severity_formula_confirmed,"true"
paper_lfor_use_line_count,"true"
paper_nvor_use_bus_count,"true"
voltage_upper_limit_pu,"1.05"
voltage_lower_limit_pu,"0.95"
paper_severity_note,"论文严重度函数已按用户提供公式录入；当前为line-only近似，仍待扩展机组状态概率"
paper_probability_mode,"line_only"
paper_voltage_lower_limit_pu,"0.9"
paper_voltage_upper_limit_pu,"1.1"
paper_line_limit_source,"RATE_A_as_active_limit_approximation"
paper_stage_probability_mode,"initial_probability_times_candidate_transition_probability"
paper_strict_convergence,"true"
paper_nonconverged_stage_policy,"exclude_lfor_nvor_with_diagnostic"
paper_max_reasonable_line_loading_pu,"5"
paper_min_reasonable_voltage_pu,"0"
paper_max_reasonable_voltage_pu,"2"
paper_max_exp_argument,"20"
paper_fail_if_inf_severity,"true"
paper_max_invalid_chain_ratio_for_var,"0.05"
main_island_min_load_share,"0.5"
main_island_selection_mode,"largest_load_with_slack_bonus"
markov_enable,"true"
markov_num_trials_per_initial_fault,"20"
markov_max_depth,"5"
markov_min_trip_probability,"1e-06"
markov_trip_sampling_mode,"independent"
markov_allow_multiple_trips_per_stage,"true"
markov_stop_if_no_new_outage,"true"
markov_stop_if_load_loss_frac_gt,"0.3"
markov_random_seed,"202405"
line_outage_p0,"0.0001"
line_rated_loading_pu,"0.8"
line_limit_loading_pu,"1"
line_prob_at_limit,"0.1"
line_forced_trip_loading_pu,"1.2"
line_outage_prob_cap,"1"
var_confidence_levels,"[0.9;0.95;0.98]"
var_method,"empirical_quantile"
var_use_chain_weights,"false"
var_tail_definition,"right_tail"
initial_fault_probability_mode,"uniform"
initial_fault_probability_file,"C:\Users\24186\Documents\New project 13\data\line_initial_outage_probability_paper_table_4_1.csv"
initial_fault_probability_unit,"probability"
export_probability_template_if_missing,"true"
candidate_detail_chunk_size,"10000"
export_candidate_detail_chunks,"true"
export_candidate_detail_full_csv,"true"
export_candidate_detail_sample,"true"
paper_detail_chunk_size,"10000"
export_paper_detail_chunks,"true"
export_paper_detail_full_csv,"true"
export_paper_detail_sample,"true"
scenario_results_root,"results\scenarios"
scenario_smoke_trials_per_initial_fault,"5"
scenario_penetration_definition,"wind_capacity_divided_by_base_load"
scenario_centralized_wind_bus,"39"
scenario_penetration_ratios,"[0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8]"
scenario_wind_speed_values_mps,"[8;10;12;14;16]"
results_table_dir,"C:\Users\24186\Documents\New project 13\results\scenarios\distributed_wind_penetration_40pct\tables"
results_log_dir,"C:\Users\24186\Documents\New project 13\results\scenarios\distributed_wind_penetration_40pct\logs"
results_chain_dir,"C:\Users\24186\Documents\New project 13\results\scenarios\distributed_wind_penetration_40pct\chains"
results_figure_dir,"C:\Users\24186\Documents\New project 13\results\scenarios\distributed_wind_penetration_40pct\figures"
project_root,"C:\Users\24186\Documents\New project 13"
scenario_config_dir,"C:\Users\24186\Documents\New project 13\results\scenarios\distributed_wind_penetration_40pct\config"
scenario_run_note,"penetration_scan batch uses resume_existing=true."
