branch_index,from_bus,to_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,source_note
1,1,2,0.0035,0.0411,0.6987,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
2,1,39,0.001,0.025,0.75,1000,1000,1000,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
3,2,3,0.0013,0.0151,0.2572,500,500,500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
4,2,25,0.007,0.0086,0.146,500,500,500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
5,2,30,0,0.0181,0,900,900,2500,1.025,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
6,3,4,0.0013,0.0213,0.2214,500,500,500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
7,3,18,0.0011,0.0133,0.2138,500,500,500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
8,4,5,0.0008,0.0128,0.1342,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
9,4,14,0.0008,0.0129,0.1382,500,500,500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
10,5,6,0.0002,0.0026,0.0434,1200,1200,1200,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
11,5,8,0.0008,0.0112,0.1476,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
12,6,7,0.0006,0.0092,0.113,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
13,6,11,0.0007,0.0082,0.1389,480,480,480,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
14,6,31,0,0.025,0,1800,1800,1800,1.07,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
15,7,8,0.0004,0.0046,0.078,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
16,8,9,0.0023,0.0363,0.3804,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
17,9,39,0.001,0.025,1.2,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
18,10,11,0.0004,0.0043,0.0729,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
19,10,13,0.0004,0.0043,0.0729,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
20,10,32,0,0.02,0,900,900,2500,1.07,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
21,12,11,0.0016,0.0435,0,500,500,500,1.006,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
22,12,13,0.0016,0.0435,0,500,500,500,1.006,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
23,13,14,0.0009,0.0101,0.1723,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
24,14,15,0.0018,0.0217,0.366,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
25,15,16,0.0009,0.0094,0.171,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
26,16,17,0.0007,0.0089,0.1342,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
27,16,19,0.0016,0.0195,0.304,600,600,2500,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
28,16,21,0.0008,0.0135,0.2548,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
29,16,24,0.0003,0.0059,0.068,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
30,17,18,0.0007,0.0082,0.1319,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
31,17,27,0.0013,0.0173,0.3216,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
32,19,20,0.0007,0.0138,0,900,900,2500,1.06,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
33,19,33,0.0007,0.0142,0,900,900,2500,1.07,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
34,20,34,0.0009,0.018,0,900,900,2500,1.009,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
35,21,22,0.0008,0.014,0.2565,900,900,900,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
36,22,23,0.0006,0.0096,0.1846,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
37,22,35,0,0.0143,0,900,900,2500,1.025,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
38,23,24,0.0022,0.035,0.361,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
39,23,36,0.0005,0.0272,0,900,900,2500,1,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
40,25,26,0.0032,0.0323,0.531,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
41,25,37,0.0006,0.0232,0,900,900,2500,1.025,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
42,26,27,0.0014,0.0147,0.2396,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
43,26,28,0.0043,0.0474,0.7802,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
44,26,29,0.0057,0.0625,1.029,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
45,28,29,0.0014,0.0151,0.249,600,600,600,0,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
46,29,38,0.0008,0.0156,0,1200,1200,2500,1.025,0,1,-360,360,MATPOWER case39 reference; replace if thesis differs
