initial_branch,trial_id,stage_id,terminated_reason,stage_probability_mode,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability,probability_status,selected_outage_ids,note
1,1,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,"3",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,"40,42",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,3,continue,bernoulli_full_event,35,3,32,0.331120250719109,0.30959752994233,0.102514011736521,full_event_available,"8,14,19",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,"",Terminal recording stage excluded from Bernoulli complement product.
1,2,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,"3",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,"40,42",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,3,continue,bernoulli_full_event,35,3,32,0.331120250719109,0.30959752994233,0.102514011736521,full_event_available,"8,14,19",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,"",Terminal recording stage excluded from Bernoulli complement product.
2,1,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.43928893684019,0.43928893684019,full_event_available,"",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,1,continue,bernoulli_full_event,45,1,44,0.550507969233775,0.977300834658533,0.538011897818343,full_event_available,"3",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,2,continue,bernoulli_full_event,44,2,42,1,0.978585064882348,0.978585064882348,full_event_available,"40,42",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,3,continue,bernoulli_full_event,34,3,31,0.300655787863728,0.568710727995118,0.170986171991927,full_event_available,"8,14,19",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,4,load_loss_threshold,bernoulli_full_event,31,0,31,NaN,NaN,1,terminal_stage_probability_one,"",Terminal recording stage excluded from Bernoulli complement product.
3,1,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.976624666006087,0.976624666006087,full_event_available,"",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
3,2,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.976624666006087,0.976624666006087,full_event_available,"",Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
