parameter_set_id,metric_name,sigma,before_11_28_var,before_12_00_var,before_direction,after_11_28_var,after_12_00_var,after_direction,direction_changed,paper_expected_direction,before_match,after_match,interpretation,note
benchmark_calibrated_seed,CRI,0.9,0.570513610475234,1.0823785547544,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,CRI,0.95,1.18168567956709,1.95374415453932,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,CRI,0.98,2.73848650671089,3.09560868881318,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLFOR,0.9,0.768448020714538,1.55972680812105,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLFOR,0.95,1.5048451252199,2.61266968818087,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLFOR,0.98,6.71111302447729,7.02967156934144,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLLR,0.9,0.548247311409947,0.856882874741266,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLLR,0.95,0.862998509662281,1.60548982499603,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SLLR,0.98,2.31418574375825,1.95546365938053,matches_paper_direction,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,1,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SNVOR,0.9,0.476155081934452,0.739732114115328,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SNVOR,0.95,0.974612644514954,1.8534514195668,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
benchmark_calibrated_seed,SNVOR,0.98,2.31418574375825,3.2408832052022,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,CRI,0.9,0.194389282969086,0.290886454455907,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,CRI,0.95,0.391257795596975,0.81599996512916,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,CRI,0.98,1.28309528393703,1.66803437473681,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLFOR,0.9,0.15297837732774,0.252065946844116,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLFOR,0.95,0.640383840913884,0.93199725195447,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLFOR,0.98,2.1791739278071,4.13348998558305,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLLR,0.9,0.177832699128877,0.292925804599632,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLLR,0.95,0.365484763546393,0.609938384262594,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SLLR,0.98,0.671632488456392,1.13255469123322,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
high_hidden_failure,SNVOR,0.9,0.0488509484174089,0.116470833060585,12mps_higher_than_11p28,NaN,NaN,skipped_no_issue_confirmed,0,12mps_expected_lower_or_not_higher,0,0,PHFL_fix_not_run_no_issue_confirmed,After-fix rerun skipped because below-Lmax P_HF_L issue was not confirmed.
