parameter_set_id,scenario_id,candidate_branch,below_Lmax_sample_count,recorded_P_HF_L_min,recorded_P_HF_L_max,recorded_P_HF_L_range,recomputed_P_HF_L_paper_min,recomputed_P_HF_L_paper_max,recomputed_P_HF_L_paper_range,recorded_varies_below_Lmax,paper_recompute_constant_below_Lmax,issue_confirmed,recommended_fix,note
benchmark_calibrated_seed,wind_speed_11_28,1,13,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,2,13,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,3,13,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,4,18,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,5,16,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,6,55,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,7,18,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,8,153,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,9,36,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,10,34,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,11,43,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,12,49,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,13,24,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,14,178,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,15,13,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
benchmark_calibrated_seed,wind_speed_11_28,16,27,0.001,0.001,0,0.001,0.001,0,0,1,0,no_fix_required,Recorded and paper recomputed P_HF_L are constant below L_max.
