parameter_set_id,candidate_branch,delta_line_loading,delta_recorded_P_HF_L,delta_recomputed_P_HF_L_paper,delta_recorded_P_mis_r,delta_recomputed_P_mis_r_paper,delta_recorded_P2,delta_recomputed_P2_paper,delta_recorded_P_L,delta_recomputed_P_L_paper,recorded_hidden_failure_driver,paper_recomputed_hidden_failure_driver,below_Lmax_PHFL_issue_confirmed,effect_on_wind_speed_trend,recommended_fix,note
benchmark_calibrated_seed,1,0.0830652071432985,0.00612615323908207,0.00612615323908207,0.00612615323908207,0.00612615323908207,0.00612002708584299,0.00612002708584299,0.00140973080638362,0.00140973080638362,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,2,0.0446114229278953,0.0012012776215061,0.0012012776215061,0.0012012776215061,0.0012012776215061,0.00120007634388457,0.00120007634388457,0.0645671578553867,0.0645671578553867,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,3,0.0320019060653924,0.000302654576113955,0.000302654576113955,0.000302654576113955,0.000302654576113955,0.000302351921537755,0.000302351921537755,0.00447864012161858,0.00447864012161858,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,4,0.0971663369411644,0.00836614063013412,0.00836614063013412,0.00836614063013412,0.00836614063013412,0.00835777448950401,0.00835777448950401,0.0721348410867376,0.0721348410867376,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,5,0.0121632740390298,0,0,0,0,0,0,0,0,0,0,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,6,-0.00918262046123175,-0.00113013787252498,-0.00113013787252498,-0.00113013787252498,-0.00113013787252498,-0.00112900773465244,-0.00112900773465244,0.019924174373349,0.019924174373349,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,7,-0.0175756513502492,-0.0033719305593713,-0.0033719305593713,-0.0033719305593713,-0.0033719305593713,-0.00336855862881193,-0.00336855862881193,0.0128685470356273,0.0128685470356273,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,8,-0.041504276289329,-0.00322537871652997,-0.00322537871652997,-0.00322537871652997,-0.00322537871652997,-0.00322215333781345,-0.00322215333781345,0.0577287504189895,0.0577287504189895,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,9,-0.0444298203982099,-0.00057716244729111,-0.00057716244729111,-0.00057716244729111,-0.00057716244729111,-0.000576585284843823,-0.000576585284843823,-0.015881869133226,-0.015881869133226,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,10,-0.0133921631187295,-0.0024955684439157,-0.0024955684439157,-0.0024955684439157,-0.0024955684439157,-0.00249307287547178,-0.00249307287547178,0.0252000765119106,0.0252000765119106,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,11,0.12406143385854,0.00204842595843363,0.00204842595843363,0.00204842595843363,0.00204842595843363,0.0020463775324752,0.0020463775324752,0.195136959195253,0.195136959195253,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,12,-0.0162756656519423,-0.00156054182089316,-0.00156054182089316,-0.00156054182089316,-0.00156054182089316,-0.00155898127907229,-0.00155898127907229,-0.0128504280159856,-0.0128504280159856,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,13,-0.0170322351924648,-0.00130706188702991,-0.00130706188702991,-0.00130706188702991,-0.00130706188702991,-0.00130575482514283,-0.00130575482514283,0.00907184575946962,0.00907184575946962,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,14,0.0168349720342696,0.000505319133468223,0.000505319133468223,0.000505319133468223,0.000505319133468223,0.000504813814334764,0.000504813814334764,0.110060728733777,0.110060728733777,1,1,0,paper_formula_still_increases_12mps_risk,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,15,-0.08476178984454,-0.000566729495310327,-0.000566729495310327,-0.000566729495310327,-0.000566729495310327,-0.00056616276581501,-0.00056616276581501,-0.134144507763281,-0.134144507763281,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,16,0.0110872551248493,0.000525077143529422,0.000525077143529422,0.000525077143529422,0.000525077143529422,0.000524552066385881,0.000524552066385881,-0.0244313543112599,-0.0244313543112599,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,17,0.00989943135001625,0.000853471511123456,0.000853471511123456,0.000853471511123456,0.000853471511123456,0.000852618039612346,0.000852618039612346,-0.00720326102835567,-0.00720326102835567,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,18,-0.0156951490993142,-0.00201921795370916,-0.00201921795370916,-0.00201921795370916,-0.00201921795370916,-0.00201719873575546,-0.00201719873575546,-0.0213564447353755,-0.0213564447353755,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,19,-0.0286890291364825,-0.001837519880229,-0.001837519880229,-0.001837519880229,-0.001837519880229,-0.00183568236034876,-0.00183568236034876,-0.00463794019382435,-0.00463794019382435,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
benchmark_calibrated_seed,20,0.00544965765433281,0.000337787659389638,0.000337787659389638,0.000337787659389638,0.000337787659389638,0.000337449871730246,0.000337449871730246,-0.0138156113751516,-0.0138156113751516,1,1,0,no_clear_effect,no_PHFL_formula_fix_required,Branch-level mean delta between wind_speed_12_00 and wind_speed_11_28 from existing diagnostic traces.
