initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,pf_converged
14,9,4,22,10.8771665596537,9.77716655965365,1025771.07609549,0
14,9,4,14,9.85553723962845,8.75553723962845,369248.438770126,0
1,14,5,16,8.64655131072249,7.54655131072249,110179.769064988,0
8,3,4,3,8.42324716209936,7.32324716209936,88118.0137184341,0
23,16,5,3,8.42324716209936,7.32324716209936,88118.0137184341,0
1,14,5,15,8.15587604684267,7.05587604684267,67430.9020511392,0
1,14,5,24,7.956769547436,6.856769547436,55246.5965660506,0
20,11,3,6,6.77733315889249,5.67733315889249,16945.3704466138,0
20,11,3,9,6.41620174475024,5.31620174475024,11791.3749023331,0
14,9,4,23,6.26629577853352,5.16629577853352,10141.7830578218,0
14,9,4,4,5.83526672914771,4.73526672914771,6570.15814300317,0
33,5,4,22,5.78908742121684,4.68908742121683,6271.02529009217,0
20,11,3,8,5.66340192394444,4.56340192394444,5523.4944415132,0
14,9,4,15,5.13341910851825,4.03341910851825,3227.2705046538,0
33,5,4,23,5.11054159380982,4.01054159380982,3152.96041425198,0
14,9,4,27,4.85110024420027,3.75110024420027,2419.154450194,0
8,3,4,24,4.65295680386197,3.55295680386197,1973.85582554404,0
23,16,5,24,4.65295680386197,3.55295680386197,1973.85582554404,0
14,9,4,24,4.46413321382531,3.36413321382531,1624.20556089026,0
8,3,4,21,4.43948907942289,3.33948907942289,1583.2509082538,0
23,16,5,21,4.43948907942289,3.33948907942289,1583.2509082538,0
8,3,4,16,4.40700962464033,3.30700962464033,1530.79404981643,0
23,16,5,16,4.40700962464033,3.30700962464033,1530.79404981643,0
1,14,5,18,4.21115869620061,3.11115869620061,1248.16769177753,0
20,11,3,12,4.08803069079726,2.98803069079726,1096.82589064849,0
10,15,3,1,3.95335166094466,2.85335166094466,951.288756239639,0
37,3,4,15,3.71664211779438,2.61664211779438,738.509701039575,0
20,11,3,7,3.54693212395849,2.44693212395849,614.151265026743,0
20,16,4,9,3.31751613450691,2.21751613450691,476.31822312975,0
35,14,4,1,3.11973998834183,2.01973998834183,380.401225679846,0
33,5,4,21,3.11138248324031,2.01138248324031,376.750908186696,0
8,3,4,23,2.93311421939042,1.83311421939042,305.731604843671,0
23,16,5,23,2.93311421939042,1.83311421939042,305.731604843671,0
35,2,4,26,2.79792909038886,1.69792909038886,259.714267905286,0
35,3,4,26,2.79792909038886,1.69792909038886,259.714267905286,0
35,6,4,26,2.79792909038886,1.69792909038886,259.714267905286,0
35,7,4,26,2.79792909038886,1.69792909038886,259.714267905286,0
