initial_branch,trial_id,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,chain_LLR,chain_LFOR,chain_NVOR,chain_CRI,initial_branch_weight,num_trials_for_initial_branch,sample_weight,sample_weight_source
1,1,0.423576451457653,1.3001732065106,0.0375849796053709,0.423576451457653,0.3001732065106,0.0375849796053709,0.321697508097786,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,2,0.396914248436658,2.03463053642409,0.0393162888172491,0.396914248436658,1.03463053642409,0.0393162888172491,0.452937914110263,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,3,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,4,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,5,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,6,0.224000876206983,1.3001732065106,0.0142331145136021,0.224000876206983,0.3001732065106,0.0142331145136021,0.19728178992903,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,7,0.382393995743681,1.6327938316238,0.104321880635934,0.382393995743681,0.6327938316238,0.104321880635934,0.376859539898155,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,8,0.136307746916887,1.3001732065106,0,0.136307746916887,0.3001732065106,0,0.141819289452252,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,9,0.396445125938765,1.60062427167543,0.140981100975422,0.396445125938765,0.60062427167543,0.140981100975422,0.386188150093429,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,10,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,11,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,12,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,13,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,14,0.525298254141597,1.3001732065106,0.0561130801106728,0.525298254141597,0.3001732065106,0.0561130801106728,0.386436209809213,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,15,0.396914248436658,2.03463053642409,0.0393162888172491,0.396914248436658,1.03463053642409,0.0393162888172491,0.452937914110263,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,16,0.396445125938765,1.3001732065106,0.0436541634358439,0.396445125938765,0.3001732065106,0.0436541634358439,0.306632549552548,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,17,0.224000876206983,1.3001732065106,0.0142331145136021,0.224000876206983,0.3001732065106,0.0142331145136021,0.19728178992903,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,18,0,1.11378700057911,0,0,0.11378700057911,0,0.022757400115822,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,19,0.224000876206983,1.3001732065106,0.0142331145136021,0.224000876206983,0.3001732065106,0.0142331145136021,0.19728178992903,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
1,20,0.397849615380311,2.18250447432302,0.110013415063244,0.397849615380311,1.18250447432302,0.110013415063244,0.497213347105439,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,1,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,2,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,3,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,4,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,5,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,6,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,7,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,8,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,9,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,10,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,11,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,12,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,13,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,14,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,15,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,16,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
2,17,0,0.955033810314675,0,0,0,0,0,0.0217391304347826,20,0.00108695652173913,uniform_chain_weight
