branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,original_slack_in_main_island,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
1,1,2,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
5,2,30,2,1,0,423.681592377008,300,1,31,6254.23,1,5905.86911437473,0.933062927843351,1,6254.23,1,5905.86911437473,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
