initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI,result_status
10,0.95,20,0.0305063423838977,0.00279037248355811,0.18584003579649,0.0109184134308037,0.0410259133355937,valid
35,0.95,20,0.0269420274661914,0.00278476073856003,0.0320103130199037,0.00116074296627576,0.00830506764037191,valid
1,0.95,20,0.0229583813816962,0.00232516724989578,0.0104373126671518,4.94774627093761e-05,0.00349245837590971,valid
32,0.95,20,0.0269944438620401,0.00446329426756656,0,0,0.00267797656053994,valid
14,0.95,20,0.0197609812349303,0.000781076131214308,0.00990223876807233,0.000231624363438756,0.0024954183050308,valid
23,0.95,20,0.0227487157983017,0.000349246482446804,0.00673627655795737,9.38994245638333e-05,0.00157558308597232,valid
28,0.95,20,0.0247929552363979,0.00120297108437533,0.00127487631235125,5.80806504470478e-07,0.000976874074396343,valid
38,0.95,20,0.0197609812349303,0.000831010615847064,0.00107613488575792,4.82094390218016e-06,0.000714797535440259,valid
11,0.95,20,0.0296152636544711,0.000566331996760205,0.000502988156171385,0.00043768770920804,0.000527934371132008,valid
42,0.95,20,0.0316070866967187,0.000353137655532014,0.00110943979771559,3.83202384242508e-06,0.000434536957630812,valid
39,0.95,20,0.0233252961526365,4.7126356404271e-06,0.00113472341823724,1.74102673691649e-06,0.000230120470379088,valid
46,0.95,20,0.0217003878813293,9.98201642479736e-05,0.000770407642261799,7.45607076754167e-05,0.000228885768536227,valid
20,0.95,20,0.0289862669042877,8.2070330663128e-05,0.000433608784893556,0.000459610751145086,0.000227886105605605,valid
12,0.95,20,0.0137855121081874,0.000204364890401035,0.000181506819316282,0.000157942693038506,0.000190508836711579,valid
13,0.95,20,0.026313030716008,6.79476766401534e-05,0.00020562103334052,9.89372781881552e-06,8.38715582159592e-05,valid
19,0.95,20,0.0359052311563057,1.32816394140565e-09,0.000297085211652336,9.54281584388011e-05,7.85034709165922e-05,valid
27,0.95,20,0.000576580354334836,0.000105794822652687,0,0,6.34768935916122e-05,valid
18,0.95,20,0.0116888562742426,2.14709245553429e-07,0.000164063257157752,6.24897708730259e-06,3.41912723963431e-05,valid
33,0.95,20,0.00131040989621554,5.03992979082602e-06,0.000124658281790818,8.84574381849964e-06,2.97247629963591e-05,valid
37,0.95,20,0.026313030716008,2.814044691907e-05,3.69571366598968e-05,1.53248328570328e-05,2.73406620548279e-05,valid
41,0.95,20,0.02395429290282,3.77161483509832e-06,9.5210131191925e-05,3.1346072837972e-06,2.19319165962034e-05,valid
34,0.95,20,0.00131040989621554,4.02986359471186e-07,2.93328852852653e-05,1.85693562392893e-06,6.47975599752156e-06,valid
8,0.95,20,0.00178215745885313,4.87005760399701e-06,7.36751487975601e-06,2.46130547260475e-06,4.88779863287036e-06,valid
9,0.95,20,0.0322884998427508,4.04303875261903e-07,9.48672267247135e-07,2.25731412019464e-07,4.77463061010462e-07,valid
40,0.95,20,0.0256840339658245,0,8.61431746391185e-08,0,1.72286349278237e-08,valid
2,0.95,20,0.0305063423838977,0,0,0,0,valid
3,0.95,20,0.0198133976307789,0,0,0,0,valid
4,0.95,20,0.0233252961526365,0,0,0,0,valid
5,0.95,20,0.0250026208197924,0,0,0,0,valid
6,0.95,20,0.0287241849250446,0,0,0,0,valid
7,0.95,20,0.0227487157983017,0,0,0,0,valid
15,0.95,20,0.00120557710451829,0,0,0,0,valid
16,0.95,20,0.00120557710451829,0,0,0,0,valid
17,0.95,20,0.0359052311563057,0,0,0,0,valid
21,0.95,20,0.0223818010273614,0,0,0,0,valid
22,0.95,20,0.0217003878813293,0,0,0,0,valid
24,0.95,20,0.0197609812349303,0,0,0,0,valid
25,0.95,20,0.0245308732571548,0,0,0,0,valid
26,0.95,20,0.0160394171296782,0,0,0,0,valid
29,0.95,20,0.0314498375091729,0,0,0,0,valid
30,0.95,20,0.0340706573016039,0,0,0,0,valid
31,0.95,20,0.0305063423838977,0,0,0,0,valid
36,0.95,20,0.0305063423838977,0,0,0,0,valid
43,0.95,20,0.0250026208197924,0,0,0,0,valid
44,0.95,20,0.00131040989621554,0,0,0,0,valid
45,0.95,20,0.0236922109235769,0,0,0,0,valid
