initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,pf_converged
1,14,5,25,15,16,-616030.751362674,688977.95042275,688977.95042275,600,1148.29658403792,1,1147.29658403792,Inf,0
1,14,5,29,16,24,-731282.773605988,759599.561835473,759599.561835473,600,1265.99926972579,1,1264.99926972579,Inf,0
14,9,4,9,4,14,-422541.346189507,472923.020178913,472923.020178913,500,945.846040357826,1,944.846040357826,Inf,0
14,9,4,36,22,23,705482.444840663,-639088.988347824,705482.444840663,600,1175.80407473444,1,1174.80407473444,Inf,0
14,9,4,24,14,15,-193089.745598192,231358.049150634,231358.049150634,600,385.596748584391,1,384.596748584391,6.21085329287573e+168,0
20,11,3,15,7,8,300318.613720647,-154440.460528439,300318.613720647,900,333.687348578497,1,332.687348578497,1.77494659072281e+146,0
20,11,3,10,5,6,310230.922980576,-151912.069560115,310230.922980576,1200,258.52576915048,1,257.52576915048,4.04507047671935e+113,0
8,3,4,7,3,18,-64142.679744798,114253.567858659,114253.567858659,500,228.507135717317,1,227.507135717317,3.71534577529395e+100,0
23,16,5,7,3,18,-64142.679744798,114253.567858659,114253.567858659,500,228.507135717317,1,227.507135717317,3.71534577529395e+100,0
8,3,4,28,16,21,112651.425852602,-82947.5341017711,112651.425852602,600,187.752376421003,1,186.752376421003,7.42048283278554e+82,0
23,16,5,28,16,21,112651.425852602,-82947.5341017711,112651.425852602,600,187.752376421003,1,186.752376421003,7.42048283278554e+82,0
14,9,4,35,21,22,159598.247963157,-97024.9052197102,159598.247963157,900,177.33138662573,1,176.33138662573,2.21133123635519e+78,0
1,14,5,26,16,17,92532.7184697202,-18944.0224958863,92532.7184697202,600,154.221197449534,1,153.221197449534,2.03247946143515e+68,0
20,11,3,13,6,11,70982.8323900442,-23677.2712453764,70982.8323900442,480,147.880900812592,1,146.880900812592,3.58484450508235e+65,0
8,3,4,36,22,23,-73537.9624248643,79839.9896119865,79839.9896119865,600,133.066649353311,1,132.066649353311,1.32045212651304e+59,0
23,16,5,36,22,23,-73537.9624248643,79839.9896119865,79839.9896119865,600,133.066649353311,1,132.066649353311,1.32045212651304e+59,0
14,9,4,38,23,24,79241.4130534745,-72325.6124547552,79241.4130534745,600,132.069021755791,1,131.069021755791,4.86920993784321e+58,0
8,3,4,29,16,24,-1623.07845048704,71992.5005464534,71992.5005464534,600,119.987500910756,1,118.987500910756,2.75753265258076e+53,0
23,16,5,29,16,24,-1623.07845048704,71992.5005464534,71992.5005464534,600,119.987500910756,1,118.987500910756,2.75753265258076e+53,0
33,5,4,36,22,23,70509.897819629,-69272.3840102164,70509.897819629,600,117.516496366048,1,116.516496366048,2.33011322713342e+52,0
33,5,4,35,21,22,-75907.6214181786,104422.301161184,104422.301161184,900,116.024779067982,1,115.024779067982,5.24242751175618e+51,0
20,11,3,16,8,9,-93091.7283830925,103059.032297308,103059.032297308,900,114.510035885898,1,113.510035885898,1.15262445215669e+51,0
1,14,5,24,14,15,67593.6496117098,-43089.2806129435,67593.6496117098,600,112.656082686183,1,111.656082686183,1.80520357228706e+50,0
20,11,3,12,6,7,91928.450347083,-83092.5058035231,91928.450347083,900,102.14272260787,1,101.14272260787,4.9049198602916e+45,0
8,3,4,35,21,22,-78024.5980567326,89474.599613823,89474.599613823,900,99.4162217931367,1,98.4162217931367,3.21016723133436e+44,0
23,16,5,35,21,22,-78024.5980567326,89474.599613823,89474.599613823,900,99.4162217931367,1,98.4162217931367,3.21016723133436e+44,0
8,3,4,26,16,17,-18135.8254793385,55795.0416059509,55795.0416059509,600,92.9917360099182,1,91.9917360099182,5.2048585637009e+41,0
23,16,5,26,16,17,-18135.8254793385,55795.0416059509,55795.0416059509,600,92.9917360099182,1,91.9917360099182,5.2048585637009e+41,0
20,11,3,11,5,8,-61387.9478643769,81977.5852859328,81977.5852859328,900,91.0862058732587,1,90.0862058732587,7.74190270470303e+40,0
8,3,4,30,17,18,52566.9136369403,-45672.8850736537,52566.9136369403,600,87.6115227282338,1,86.6115227282338,2.39779468300373e+39,0
23,16,5,30,17,18,52566.9136369403,-45672.8850736537,52566.9136369403,600,87.6115227282338,1,86.6115227282338,2.39779468300373e+39,0
38,1,4,29,16,24,-48441.7071310572,50525.9228111494,50525.9228111494,600,84.2098713519156,1,83.2098713519156,7.98902114700059e+37,0
38,1,4,25,15,16,-39097.0529151289,45632.7452113829,45632.7452113829,600,76.0545753523048,1,75.0545753523048,2.29452883523078e+34,0
1,14,5,30,17,18,-27672.2536715531,44987.1105100541,44987.1105100541,600,74.9785175167568,1,73.9785175167568,7.82289569370703e+33,0
14,9,4,37,22,35,-64156.4461134477,64156.4461134478,64156.4461134478,900,71.2849401260531,1,70.2849401260531,1.94655760469829e+32,0
1,14,5,28,16,21,40865.748844252,3049.64823193063,40865.748844252,600,68.1095814070867,1,67.1095814070867,8.13254529225644e+30,0
20,11,3,19,10,13,-32860.9249348799,39160.1635890885,39160.1635890885,600,65.2669393151475,1,64.2669393151475,4.73895643319845e+29,0
35,2,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
35,3,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
35,6,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
35,7,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
35,11,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
35,12,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
38,9,4,42,26,27,-25196.4924553478,37256.6648214388,37256.6648214388,600,62.0944413690646,1,61.0944413690646,1.98556616792442e+28,0
