initial_branch,trial_id,stage_id,terminated_reason,stage_probability_mode,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability,probability_status,terminal_stage_flag,should_multiply_candidate_complements,missing_reason,selected_branch_ids,random_u_selected,candidate_probability_basis,note
1,1,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.16777",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.86507,0.70673",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,3,continue,bernoulli_full_event,35,3,32,0.255354501829278,0.507444312389417,0.1295781895963,full_event_available,0,1,,"8,14,19","0.18445,0.55492,0.31452",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,2,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.63933",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.92201,0.45724",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,3,continue,bernoulli_full_event,35,3,32,0.255354501829278,0.507444312389417,0.1295781895963,full_event_available,0,1,,"8,14,19","0.28448,0.58236,0.33504",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,3,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.59",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.61202,0.63195",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,3,continue,bernoulli_full_event,35,1,34,1,0.0965156359879508,0.0965156359879508,full_event_available,0,1,,"14","0.097522",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,4,continue,bernoulli_full_event,34,3,31,0.839695405579189,0.557162697668927,0.467846957392705,full_event_available,0,1,,"16,17,27","0.41344,0.401,0.39398",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,5,max_depth_reached,bernoulli_full_event,27,0,27,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,4,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.80698",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,4,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.013544,0.44016",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,4,3,continue,bernoulli_full_event,35,3,32,0.155925369606208,0.265423478419962,0.0413862539747979,full_event_available,0,1,,"14,19,23","0.30704,0.21056,0.07474",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,4,4,continue,bernoulli_full_event,32,6,26,1,0.12806244830715,0.12806244830715,full_event_available,0,1,,"8,13,16,17,18,27","0.99064,0.67786,0.90053,0.44312,0.62752,0.84548",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,4,5,max_depth_reached,bernoulli_full_event,0,0,0,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,5,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.046224",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,5,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.37098,0.51687",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,5,3,continue,bernoulli_full_event,35,2,33,0.700756923578723,0.32253256162918,0.226016925641229,full_event_available,0,1,,"8,14","0.32065,0.93604",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,5,4,continue,bernoulli_full_event,33,7,26,1,0.665536768062567,0.665536768062567,full_event_available,0,1,,"9,16,17,19,20,23,27","0.50955,0.89122,0.87122,0.39516,0.81941,0.70593,0.06284",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,5,5,max_depth_reached,bernoulli_full_event,0,0,0,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,6,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.45324",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,6,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.8885,0.21896",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,6,3,continue,bernoulli_full_event,35,4,31,0.109265782313121,0.886982855524104,0.0969168756071676,full_event_available,0,1,,"8,14,19,23","0.17114,0.99469,0.11483,0.29919",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,6,4,load_loss_threshold,bernoulli_full_event,19,0,19,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,7,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.38669",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,7,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.48315,0.47886",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,7,3,continue,bernoulli_full_event,35,3,32,0.299852765146694,0.563767975181901,0.169047386259446,full_event_available,0,1,,"8,14,23","0.53585,0.89716,0.15414",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,7,4,load_loss_threshold,bernoulli_full_event,19,0,19,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,8,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.15839",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,8,2,continue,bernoulli_full_event,44,3,41,0.00069187360582,0.979121527921677,0.000677428342059158,full_event_available,0,1,,"10,40,42","0.00042019,0.78747,0.18515",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,8,3,continue,bernoulli_full_event,34,8,26,0.51015261035403,0.986354272893634,0.503191207050539,full_event_available,0,1,,"9,12,14,15,19,20,23,27","0.4659,0.19168,0.52674,0.10275,0.44644,0.59989,0.73333,0.0807",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,8,4,load_loss_threshold,bernoulli_full_event,0,0,0,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,9,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,,"3","0.77542",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,9,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,,"40,42","0.59505,0.8129",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,9,3,continue,bernoulli_full_event,35,2,33,0.700756923578723,0.32253256162918,0.226016925641229,full_event_available,0,1,,"8,14","0.60941,0.54677",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,9,4,continue,bernoulli_full_event,33,8,25,0.325451544017009,0.98664041427937,0.321103646216803,full_event_available,0,1,,"9,16,17,19,20,23,26,27","0.70681,0.4059,0.14364,0.45479,0.10026,0.038095,0.10434,0.30118",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,9,5,max_depth_reached,bernoulli_full_event,9,0,9,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
