parameter_set_id,target_group,scenario_id,metric_name,sim_value,source_file,note
low_hidden_failure,topology_compare,concentrated_bus34,SLLR,0.3,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
low_hidden_failure,topology_compare,concentrated_bus34,SLFOR,0,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
low_hidden_failure,topology_compare,concentrated_bus34,SNVOR,0.196175810999135,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
low_hidden_failure,topology_compare,concentrated_bus34,CRI,0.219235162199827,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
low_hidden_failure,topology_compare,distributed_30_39,SLLR,0.0180831691001574,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,topology_compare,distributed_30_39,SLFOR,0.048289184975391,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,topology_compare,distributed_30_39,SNVOR,0.0108707077317484,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,topology_compare,distributed_30_39,CRI,0.0226818800015223,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SLLR,0.0108162871121601,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SLFOR,0.0237667417142857,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_11_28,SNVOR,0.0038968002841382,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_11_28,CRI,0.0120224806669808,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SLLR,0.0180831691001574,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_12_00\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SLFOR,0.048289184975391,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_12_00\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_12_00,SNVOR,0.0108707077317484,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_12_00\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,wind_speed_scan,wind_speed_12_00,CRI,0.0226818800015223,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\wind_speed_12_00\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_40pct,SLLR,0.0108162871121601,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_40pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_40pct,SLFOR,0.0266314229065927,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_40pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_40pct,SNVOR,0.00679915068282321,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_40pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_40pct,CRI,0.0131758869851793,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_40pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_60pct,SLLR,0.0226345190960232,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_60pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_60pct,SLFOR,0.0580277804190634,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_60pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_60pct,SNVOR,0.0166502451172272,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_60pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_60pct,CRI,0.028516316564872,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_60pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_80pct,SLLR,0.0194718970025162,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_80pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_80pct,SLFOR,0.0813203662684152,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_80pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_80pct,SNVOR,0.0104307161639185,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_80pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
low_hidden_failure,penetration_scan,penetration_80pct,CRI,0.0300333546879765,C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\penetration_80pct\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,topology_compare,concentrated_bus34,SLLR,0.3,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
medium_hidden_failure,topology_compare,concentrated_bus34,SLFOR,0,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
medium_hidden_failure,topology_compare,concentrated_bus34,SNVOR,0.196175810999135,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
medium_hidden_failure,topology_compare,concentrated_bus34,CRI,0.219235162199827,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\concentrated_bus34\tables\markov_var_metrics_weighted.csv,paper_severity_unavailable_used_weighted_basic_for_pilot
medium_hidden_failure,topology_compare,distributed_30_39,SLLR,0.0132582812182234,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,topology_compare,distributed_30_39,SLFOR,0.029269229015685,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,topology_compare,distributed_30_39,SNVOR,0.00959535518532867,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,topology_compare,distributed_30_39,CRI,0.0157278855711368,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\distributed_30_39\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,wind_speed_scan,wind_speed_11_28,SLLR,0.00957671649014225,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,wind_speed_scan,wind_speed_11_28,SLFOR,0.0250523042945962,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
medium_hidden_failure,wind_speed_scan,wind_speed_11_28,SNVOR,0.00325276932437545,C:\Users\24186\Documents\New project 13\results\calibration\pilot\medium_hidden_failure\wind_speed_11_28\tables\markov_var_metrics_paper_severity.csv,paper_severity_valid
