parameter_set_id,metric_name,sample_variant,value_11_28_p95,value_12_00_p95,paper_direction,sim_direction,direction_match,delta_12_minus_11,relative_delta,diagnosis,note
low_hidden_failure,CRI_display,full_event_chain_risk_display,1.3055424,2.1820909,12.00_lower_than_11.28,12_higher,0,0.8765485,0.671405616546808,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,R1_display,full_event_chain_risk_display,1.053423,1.788390937998,12.00_lower_than_11.28,12_higher,0,0.734967937998,0.697694979128042,wind_speed_trend_opposite_due_to_chain_probability,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,R2_display,full_event_chain_risk_display,1.58078433366,3.86084818782,12.00_lower_than_11.28,12_higher,0,2.28006385416,1.44236238025016,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,R3_display,full_event_chain_risk_display,1.130469729912,1.755312,12.00_lower_than_11.28,12_higher,0,0.624842270088,0.55272799753483,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,basic_CRI,severity_only,1.07036,1.37781,12.00_lower_than_11.28,12_higher,0,0.30745,0.287239807167682,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,basic_LFOR,severity_only,2.3951,2.8389,12.00_lower_than_11.28,12_higher,0,0.4438,0.185294977245209,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,basic_LLR,severity_only,1,1,12.00_lower_than_11.28,no_effect,0,0,0,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
low_hidden_failure,basic_NVOR,severity_only,1.3614,1.9268,12.00_lower_than_11.28,12_higher,0,0.5654,0.415307771411782,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,CRI_display,full_event_chain_risk_display,1.2856791058872,1.9537265,12.00_lower_than_11.28,12_higher,0,0.6680473941128,0.519606635165627,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,R1_display,full_event_chain_risk_display,0.865499078565,1.60548835545,12.00_lower_than_11.28,12_higher,0,0.739989276885,0.854985632234183,wind_speed_trend_opposite_due_to_chain_probability,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,R2_display,full_event_chain_risk_display,2.43729960705,3.582268486,12.00_lower_than_11.28,12_higher,0,1.14496887895,0.469769443050056,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,R3_display,full_event_chain_risk_display,1.01154617604,1.8534348,12.00_lower_than_11.28,12_higher,0,0.84188862396,0.832278984292961,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,basic_CRI,severity_only,1.34149,1.37781,12.00_lower_than_11.28,12_higher,0,0.0363200000000001,0.0270743725260718,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,basic_LFOR,severity_only,2.7083,2.8389,12.00_lower_than_11.28,12_higher,0,0.1306,0.0482221319647012,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,basic_LLR,severity_only,1,1,12.00_lower_than_11.28,no_effect,0,0,0,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
medium_hidden_failure,basic_NVOR,severity_only,1.8735,1.9255,12.00_lower_than_11.28,12_higher,0,0.052,0.0277555377635442,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,CRI_display,full_event_chain_risk_display,0.6404099,0.6454617,12.00_lower_than_11.28,12_higher,0,0.00505180000000005,0.00788838523576861,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,R1_display,full_event_chain_risk_display,0.474330027795,0.6454617,12.00_lower_than_11.28,12_higher,0,0.171131672205,0.360786081793162,wind_speed_trend_opposite_due_to_chain_probability,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
