parameter_set_id,scenario_id,metric_name,sample_variant,sample_count,mean,median,p90,p95,p98,max,zero_fraction,nonzero_fraction,note
low_hidden_failure,wind_speed_11_28,basic_LLR,severity_only,460,0.28671287326087,0,1,1,1,1,0.58695652173913,0.41304347826087,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,basic_LFOR,severity_only,460,0.522038391304348,0,1.4975,2.3951,4.8521,6.7585,0.678260869565217,0.321739130434783,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,basic_NVOR,severity_only,460,0.336224422826087,0,1,1.3614,1.9236,3.5947,0.706521739130435,0.293478260869565,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,basic_CRI,severity_only,460,0.343680286782609,0,1,1.07036,1.76705,2.041124,0.582608695652174,0.417391304347826,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,R1_display,full_event_chain_risk_display,460,0.219080610482978,0,0.6940542,1.053423,2.521063755925,2.5857243,0.58695652173913,0.41304347826087,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,R2_display,full_event_chain_risk_display,460,0.389131039255874,0,0.9802726856,1.58078433366,4.7810561673,10.57411086888,0.678260869565217,0.321739130434783,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,R3_display,full_event_chain_risk_display,460,0.210111939665433,0,0.777947928912,1.130469729912,1.3844355,6.20197005965,0.706521739130435,0.293478260869565,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_11_28,CRI_display,full_event_chain_risk_display,460,0.251296962074048,0,0.6940542,1.3055424,2.5857243,3.324400414972,0.582608695652174,0.417391304347826,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,basic_LLR,severity_only,460,0.318753913043478,0,1,1,1,1,0.528260869565217,0.471739130434783,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,basic_LFOR,severity_only,460,0.658600863043478,0,2.029,2.8389,6.3729,6.7717,0.619565217391304,0.380434782608696,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,basic_NVOR,severity_only,460,0.433332234782609,0,1,1.9268,3.1878,3.7238,0.671739130434783,0.328260869565217,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,basic_CRI,severity_only,460,0.409638967391304,0,1,1.37781,2.00249,2.044404,0.528260869565217,0.471739130434783,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,R1_display,full_event_chain_risk_display,460,0.291551691480794,0,0.9391294,1.788390937998,2.1874428,3.063152214925,0.528260869565217,0.471739130434783,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,R2_display,full_event_chain_risk_display,460,0.631794091054914,0,1.5286812,3.86084818782,10.486565264,10.76261215068,0.619565217391304,0.380434782608696,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,R3_display,full_event_chain_risk_display,460,0.525178695396235,0,0.9128088,1.755312,3.80322459924,17.7984830128,0.671739130434783,0.328260869565217,Existing full-event formal pilot samples; no new Markov run.
low_hidden_failure,wind_speed_12_00,CRI_display,full_event_chain_risk_display,460,0.406325572178706,0,1.0730345627988,2.1820909,3.381823534908,6.58545783336,0.528260869565217,0.471739130434783,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,basic_LLR,severity_only,460,0.287523107608696,0,1,1,1,1,0.560869565217391,0.439130434782609,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,basic_LFOR,severity_only,460,0.620037260869565,0,1.9312,2.7083,6.2826,6.7585,0.667391304347826,0.332608695652174,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,basic_NVOR,severity_only,460,0.370578336956522,0,1,1.8735,2.7395,3.9467,0.702173913043478,0.297826086956522,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,basic_CRI,severity_only,460,0.370636984130435,0,1,1.34149,1.97519,2.1906,0.554347826086957,0.445652173913043,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,R1_display,full_event_chain_risk_display,460,0.174390912642815,0,0.57505,0.865499078565,2.3123844,2.316274782525,0.560869565217391,0.439130434782609,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,R2_display,full_event_chain_risk_display,460,0.449914705926213,0,1.032770101428,2.43729960705,6.6737143809,9.39055133094,0.667391304347826,0.332608695652174,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,R3_display,full_event_chain_risk_display,460,0.182285092235574,0,0.5674608,1.01154617604,2.80897448767,5.3108385376,0.702173913043478,0.297826086956522,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_11_28,CRI_display,full_event_chain_risk_display,460,0.231074507218046,0,0.6026213030856,1.2856791058872,2.724507745695,2.952300493961,0.554347826086957,0.445652173913043,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,basic_LLR,severity_only,460,0.337816217391304,0,1,1,1,1,0.519565217391304,0.480434782608696,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,basic_LFOR,severity_only,460,0.677697132608696,0,2.029,2.8389,6.3729,8.3649,0.61304347826087,0.38695652173913,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,basic_NVOR,severity_only,460,0.429305393913043,0,1,1.9255,2.5097,3.9379,0.656521739130435,0.343478260869565,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,basic_CRI,severity_only,460,0.424090235739131,0,1,1.37781,2.00249,2.166476,0.519565217391304,0.480434782608696,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,R1_display,full_event_chain_risk_display,460,0.252247994220724,0,0.842195272096,1.60548835545,2.81610469085,2.81610469085,0.519565217391304,0.480434782608696,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,R2_display,full_event_chain_risk_display,460,0.516878781175967,0,1.12687107071,3.582268486,7.0297084735,9.55771662573,0.61304347826087,0.38695652173913,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,R3_display,full_event_chain_risk_display,460,0.346061814655106,0,0.60336008928,1.8534348,3.2801856186,15.2178356177,0.656521739130435,0.343478260869565,Existing full-event formal pilot samples; no new Markov run.
medium_hidden_failure,wind_speed_12_00,CRI_display,full_event_chain_risk_display,460,0.323936915698649,0,0.96329301327,1.9537265,3.09560450921,5.630615525115,0.519565217391304,0.480434782608696,Existing full-event formal pilot samples; no new Markov run.
high_hidden_failure,wind_speed_11_28,basic_LLR,severity_only,460,0.323475796956522,0.00068195,1,1,1,1,0.5,0.5,Existing full-event formal pilot samples; no new Markov run.
