initial_branch,trial_id,stage_id,new_outaged_branches,all_outaged_branches,island_count,disconnected_load_mw,new_slack_bus,converged,load_shed_mw,num_overloaded_lines,max_line_loading_pu,num_voltage_violations,max_voltage_deviation_pu,num_candidate_lines,num_selected_trips
1,1,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,1,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,1,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,1,4,"16,27","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,2
1,1,5,"","1,3,14,16,27,40,42",12,1699.29,32,1,3573.34105,5,2.31354764752347,18,0.119318830915091,27,0
1,2,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,2,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,2,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,2,4,"16,17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,2
1,2,5,"","1,3,14,16,17,40,42",12,1087.29,32,1,2488.243,6,2.14196708152143,13,0.0839853401008565,31,0
1,3,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,3,2,"4,40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,3
1,3,3,"14","1,3,4,40,42",4,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,3,4,"16","1,3,4,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,1
1,3,5,"","1,3,4,14,16,40,42",11,1087.29,32,1,2488.243,6,2.14196708152143,13,0.0839853401008565,31,0
1,4,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,4,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,4,3,"14,23","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,4,4,"8,13,16,17,18","1,3,14,23,40,42",10,9.2,39,1,1400.953,6,1.49035418238611,7,0.0575987290467144,33,5
1,4,5,"","1,3,8,13,14,16,17,18,23,40,42",14,1775.187,35,1,3176.14,7,1.97141709643255,10,0.193390878822474,19,0
1,5,1,"","1",1,0,31,1,0,1,1.17241557362708,0,0,45,0
1,6,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,6,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,6,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,6,4,"","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,0
1,7,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,7,2,"31,40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,3
1,7,3,"","1,3,31,40,42",4,1133.5,31,1,1133.5,1,1.00500666884248,0,0,34,0
1,8,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,8,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,8,3,"10,14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,8,4,"16,17","1,3,10,14,40,42",10,9.2,39,1,1400.953,2,1.14882444858216,4,0.0312169127589157,33,2
1,8,5,"","1,3,10,14,16,17,40,42",12,1087.29,32,1,2488.243,7,2.22152647542727,15,0.115340886679542,30,0
1,9,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,9,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,9,3,"14,23","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,9,4,"8,13,16,17,18,27","1,3,14,23,40,42",10,9.2,39,1,1400.953,6,1.49035418238611,7,0.0575987290467144,33,6
1,9,5,"","1,3,8,13,14,16,17,18,23,27,40,42",15,2387.187,35,0,4527.967,NaN,NaN,NaN,NaN,0,0
1,10,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,10,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,10,3,"8,14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,10,4,"9,19,23","1,3,8,14,40,42",10,9.2,39,1,1400.953,7,1.38747661776087,6,0.0544828984905221,33,3
1,10,5,"","1,3,8,9,14,19,23,40,42",11,1775.187,35,1,3791.758,5,1.76175758783739,7,0.179598964271158,18,0
1,11,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,11,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,11,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,11,4,"17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,1
1,11,5,"","1,3,14,17,40,42",11,1081.44,32,1,2482.393,6,2.06499320562694,10,0.0422420358373431,32,0
1,12,1,"","1",1,0,31,1,0,1,1.17241557362708,0,0,45,0
1,13,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,13,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,13,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,13,4,"17,20","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,2
1,13,5,"","1,3,14,17,20,40,42",12,1081.44,35,0,3613.9441,NaN,NaN,NaN,NaN,0,0
1,14,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,14,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,14,3,"10,14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,14,4,"","1,3,10,14,40,42",10,9.2,39,1,1400.953,2,1.14882444858216,4,0.0312169127589157,33,0
1,15,1,"","1",1,0,31,1,0,1,1.17241557362708,0,0,45,0
1,16,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,16,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,16,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,16,4,"16,17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,2
1,16,5,"","1,3,14,16,17,40,42",12,1087.29,32,1,2488.243,6,2.14196708152143,13,0.0839853401008565,31,0
1,17,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,17,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,17,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,17,4,"16,17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,2
1,17,5,"","1,3,14,16,17,40,42",12,1087.29,32,1,2488.243,6,2.14196708152143,13,0.0839853401008565,31,0
1,18,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,18,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,18,3,"12,14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,2
1,18,4,"17","1,3,12,14,40,42",10,9.2,39,1,1400.953,2,1.16878769903278,4,0.0582369801123419,33,1
1,18,5,"","1,3,12,14,17,40,42",11,1081.44,32,1,2482.393,6,2.15550939655981,14,0.106592550813548,31,0
1,19,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,19,2,"40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,2
1,19,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.24289255477354,4,0.0130035012360898,35,1
1,19,4,"17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.13936929819561,3,0.023478502326569,34,1
1,19,5,"","1,3,14,17,40,42",11,1081.44,32,1,2482.393,6,2.06499320562694,10,0.0422420358373431,32,0
1,20,1,"3","1",1,0,31,1,0,1,1.17241557362708,0,0,45,1
1,20,2,"27,40,42","1,3",1,0,31,1,0,2,1.33448134153057,0,0,44,3
1,20,3,"8,10,14,19,20,23","1,3,27,40,42",4,1532.5,31,1,1768.5865,6,1.56495375558613,18,0.110844072227562,31,6
1,20,4,"","1,3,8,10,14,19,20,23,27,40,42",16,1882.5485,35,0,4432.0635,NaN,NaN,NaN,NaN,0,0
2,1,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,2,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,3,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,4,1,"3","2",1,0,31,1,0,1,1.01357127099147,0,0,45,1
2,4,2,"40,42","2,3",1,0,31,1,0,2,1.17847595911983,0,0,44,2
2,4,3,"14","2,3,40,42",3,950.1,31,1,950.1,2,1.1485188754484,0,0,34,1
2,4,4,"","2,3,14,40,42",11,9.2,39,1,1488.793,2,1.13936929819561,3,0.023478502326569,33,0
2,5,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,6,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,7,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,8,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,9,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,10,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,11,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,12,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,13,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,14,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,15,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,16,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,17,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,18,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,19,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
2,20,1,"","2",1,0,31,1,0,1,1.01357127099147,0,0,45,0
3,1,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,2,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,3,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,4,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,5,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,6,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,7,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,8,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,9,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,10,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,11,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,12,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,13,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,14,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,15,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,16,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,17,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,18,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,19,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
3,20,1,"","3",1,0,31,1,0,0,0.800170878724578,0,0,45,0
4,1,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,2,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,3,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,4,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,5,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,6,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,7,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,8,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,9,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,10,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,11,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,12,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,13,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
4,14,1,"","4",1,0,31,1,0,0,0.788169519269407,0,0,45,0
