initial_branch,trial_id,stage_id,candidate_branch,loading_pu,candidate_probability,prob_model,engineering_probability,paper_formula_probability,paper_formula_status,paper_formula_missing_parameters,paper_formula_used_fallback,random_u,selected
1,1,1,2,0.107141961901022,0.00656119455,paper_formula,0.0001,0.00656119455,computed_full_formula_3_1_to_3_6,,0,0.947077509664361,0
1,1,1,3,1.0858891440375,1,paper_formula,0.486501148168771,1,computed_full_formula_3_1_to_3_6,,0,0.167770970289712,1
1,1,1,4,0.298242804254081,0.006425561125,paper_formula,0.0001,0.006425561125,computed_full_formula_3_1_to_3_6,,0,0.21974637570249,0
1,1,1,5,0.451986797467761,0.006457241925,paper_formula,0.0001,0.006457241925,computed_full_formula_3_1_to_3_6,,0,0.287252781494014,0
1,1,1,6,0.389160610303344,0.0065275337,paper_formula,0.0001,0.0065275337,computed_full_formula_3_1_to_3_6,,0,0.104141867102996,0
1,1,1,7,0.0833715897396412,0.00641467085,paper_formula,0.0001,0.00641467085,computed_full_formula_3_1_to_3_6,,0,0.0711452267337908,0
1,1,1,8,0.140736667616728,0.00601866085,paper_formula,0.0001,0.00601866085,computed_full_formula_3_1_to_3_6,,0,0.501642818670789,0
1,1,1,9,0.510201620062326,0.0065948554,paper_formula,0.0001,0.0065948554,computed_full_formula_3_1_to_3_6,,0,0.808429241105173,0
1,1,1,10,0.51903595064245,0.00656119455,paper_formula,0.0001,0.00656119455,computed_full_formula_3_1_to_3_6,,0,0.0643687105025803,0
1,1,1,11,0.603401037715175,0.006544364125,paper_formula,0.0001,0.006544364125,computed_full_formula_3_1_to_3_6,,0,0.269723873384041,0
1,1,1,12,0.713086865631245,0.006245376575,paper_formula,0.0001,0.006245376575,computed_full_formula_3_1_to_3_6,,0,0.259281127130561,0
1,1,1,13,0.74795344849176,0.00648199255,paper_formula,0.0001,0.00648199255,computed_full_formula_3_1_to_3_6,,0,0.462935764514544,0
1,1,1,14,0.543586634988554,0.006358239425,paper_formula,0.0001,0.006358239425,computed_full_formula_3_1_to_3_6,,0,0.879286300246613,0
1,1,1,15,0.435714882641899,0.006007770575,paper_formula,0.0001,0.006007770575,computed_full_formula_3_1_to_3_6,,0,0.816301472305733,0
1,1,1,16,0.460980263858162,0.006007770575,paper_formula,0.0001,0.006007770575,computed_full_formula_3_1_to_3_6,,0,0.206821647288256,0
1,1,1,17,0.438922731018447,0.006663167125,paper_formula,0.0001,0.006663167125,computed_full_formula_3_1_to_3_6,,0,0.207799682383354,0
1,1,1,18,0.620382797836635,0.006205775575,paper_formula,0.0001,0.006205775575,computed_full_formula_3_1_to_3_6,,0,0.711922651806709,0
1,1,1,19,0.476833028533545,0.006663167125,paper_formula,0.0001,0.006663167125,computed_full_formula_3_1_to_3_6,,0,0.28443379458984,0
1,1,1,20,0.775195410655084,0.006532483825,paper_formula,0.0001,0.006532483825,computed_full_formula_3_1_to_3_6,,0,0.696500198808592,0
1,1,1,21,0.0869139215195898,0.006407740675,paper_formula,0.0001,0.006407740675,computed_full_formula_3_1_to_3_6,,0,0.503733882592069,0
1,1,1,22,0.0941237941039515,0.00639487035,paper_formula,0.0001,0.00639487035,computed_full_formula_3_1_to_3_6,,0,0.655614841147796,0
1,1,1,23,0.443032031160833,0.00641467085,paper_formula,0.0001,0.00641467085,computed_full_formula_3_1_to_3_6,,0,0.623374882083086,0
1,1,1,24,0.0656109408847928,0.006358239425,paper_formula,0.0001,0.006358239425,computed_full_formula_3_1_to_3_6,,0,0.155317707442154,0
1,1,1,25,0.548886364393172,0.0064483317,paper_formula,0.0001,0.0064483317,computed_full_formula_3_1_to_3_6,,0,0.52894515397785,0
1,1,1,26,0.251189665886586,0.00628794765,paper_formula,0.0001,0.00628794765,computed_full_formula_3_1_to_3_6,,0,0.246451107974866,0
1,1,1,27,0.795734627292856,0.005995890275,paper_formula,0.0001,0.005995890275,computed_full_formula_3_1_to_3_6,,0,0.116488994240136,0
1,1,1,28,0.535286382741965,0.006453281825,paper_formula,0.0001,0.006453281825,computed_full_formula_3_1_to_3_6,,0,0.651304258664072,0
1,1,1,29,0.0990855170718075,0.006579015,paper_formula,0.0001,0.006579015,computed_full_formula_3_1_to_3_6,,0,0.89726864228207,0
1,1,1,30,0.217640790070395,0.00662851625,paper_formula,0.0001,0.00662851625,computed_full_formula_3_1_to_3_6,,0,0.224642804451432,0
1,1,1,31,0.0682327318033682,0.00656119455,paper_formula,0.0001,0.00656119455,computed_full_formula_3_1_to_3_6,,0,0.27873012227652,0
1,1,1,32,0.165746077676537,0.006494862875,paper_formula,0.0001,0.006494862875,computed_full_formula_3_1_to_3_6,,0,0.344351526922499,0
1,1,1,33,0.709768405585387,0.006009750625,paper_formula,0.0001,0.006009750625,computed_full_formula_3_1_to_3_6,,0,0.846418109204633,0
1,1,1,34,0.621251161721201,0.006009750625,paper_formula,0.0001,0.006009750625,computed_full_formula_3_1_to_3_6,,0,0.637035251917216,0
1,1,1,35,0.653411915499777,0.00649387285,paper_formula,0.0001,0.00649387285,computed_full_formula_3_1_to_3_6,,0,0.807883947108997,0
1,1,1,36,0.145104262608122,0.00656119455,paper_formula,0.0001,0.00656119455,computed_full_formula_3_1_to_3_6,,0,0.725160674369531,0
1,1,1,37,0.708865986093178,0.00648199255,paper_formula,0.0001,0.00648199255,computed_full_formula_3_1_to_3_6,,0,0.29893111856515,0
1,1,1,38,0.574778067104031,0.006358239425,paper_formula,0.0001,0.006358239425,computed_full_formula_3_1_to_3_6,,0,0.862056806291439,0
1,1,1,39,0.627944166535876,0.006425561125,paper_formula,0.0001,0.006425561125,computed_full_formula_3_1_to_3_6,,0,0.291938793150478,0
1,1,1,40,0.307540350579725,0.00647011225,paper_formula,0.0001,0.00647011225,computed_full_formula_3_1_to_3_6,,0,0.620604819523615,0
1,1,1,41,0.615759533189839,0.006437441425,paper_formula,0.0001,0.006437441425,computed_full_formula_3_1_to_3_6,,0,0.163290239030076,0
1,1,1,42,0.448606877850852,0.006581985075,paper_formula,0.0001,0.006581985075,computed_full_formula_3_1_to_3_6,,0,0.461904997768522,0
