preview_variant,metric_name,paper_reference_group,paper_reference_mean,preview_value,ratio_paper_to_preview,absolute_gap,relative_gap,interpretation
stage_probability_sum,SLLR,penetration_scan,9.41436666666667,6.33323466120043e-05,148650.210678949,-9.41430333432005,-0.999993272797964,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SLLR,topology_compare,7.46135,6.33323466120043e-05,117812.624972051,-7.46128666765339,-0.999991511945343,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SLLR,wind_speed_scan,7.0856,6.33323466120043e-05,111879.637800393,-7.08553666765339,-0.999991061823048,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLLR,penetration_scan,9.41436666666667,0.00633323466120043,1486.50210678949,-9.40803343200547,-0.999327279796354,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLLR,topology_compare,7.46135,0.00633323466120043,1178.12624972051,-7.4550167653388,-0.99915119453434,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLLR,wind_speed_scan,7.0856,0.00633323466120043,1118.79637800393,-7.0792667653388,-0.999106182304787,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLLR,penetration_scan,9.41436666666667,0.067004693310524,140.50309316449,-9.34736197335614,-0.992882718967409,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLLR,topology_compare,7.46135,0.067004693310524,111.355632439379,-7.39434530668948,-0.991019762735896,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLLR,wind_speed_scan,7.0856,0.067004693310524,105.747816308371,-7.01859530668948,-0.990543539952788,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity_percent,SLLR,penetration_scan,9.41436666666667,6.7004693310524,1.40503093164491,-2.71389733561427,-0.288271896740896,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
stage_mean_severity_percent,SLLR,topology_compare,7.46135,6.7004693310524,1.11355632439379,-0.7608806689476,-0.101976273589578,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
stage_mean_severity_percent,SLLR,wind_speed_scan,7.0856,6.7004693310524,1.05747816308371,-0.385130668947601,-0.0543539952788191,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
chain_probability_proxy,SLLR,penetration_scan,9.41436666666667,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
chain_probability_proxy,SLLR,topology_compare,7.46135,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
chain_probability_proxy,SLLR,wind_speed_scan,7.0856,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
stage_probability_sum,SLFOR,penetration_scan,7.54663333333333,0.00030037857160916,25123.7406613435,-7.54633295476172,-0.999960197009933,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SLFOR,topology_compare,5.25545,0.00030037857160916,17496.0882590459,-5.25514962142839,-0.99994284436697,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SLFOR,wind_speed_scan,5.3922,0.00030037857160916,17951.3470988074,-5.39189962142839,-0.999944293874187,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLFOR,penetration_scan,7.54663333333333,0.030037857160916,251.237406613435,-7.51659547617242,-0.996019700993258,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLFOR,topology_compare,5.25545,0.030037857160916,174.960882590459,-5.22541214283908,-0.994284436696969,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SLFOR,wind_speed_scan,5.3922,0.030037857160916,179.513470988074,-5.36216214283908,-0.994429387418694,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLFOR,penetration_scan,7.54663333333333,0.164613645357957,45.8445186419569,-7.38201968797538,-0.978187141459376,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLFOR,topology_compare,5.25545,0.164613645357957,31.9259681575721,-5.09083635464204,-0.968677535632922,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SLFOR,wind_speed_scan,5.3922,0.164613645357957,32.7567012338164,-5.22758635464204,-0.969471895449361,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity_percent,SLFOR,penetration_scan,7.54663333333333,16.4613645357957,0.458445186419568,8.91473120246237,1.18128585406239,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
stage_mean_severity_percent,SLFOR,topology_compare,5.25545,16.4613645357957,0.319259681575721,11.2059145357957,2.13224643670774,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
stage_mean_severity_percent,SLFOR,wind_speed_scan,5.3922,16.4613645357957,0.327567012338164,11.0691645357957,2.05281045506393,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Candidate is closer in scale, but paper aggregation rule is still unconfirmed."
chain_probability_proxy,SLFOR,penetration_scan,7.54663333333333,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
chain_probability_proxy,SLFOR,topology_compare,5.25545,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
chain_probability_proxy,SLFOR,wind_speed_scan,5.3922,NaN,NaN,NaN,NaN,"Missing preview value or target mean; no forced zero fill."
stage_probability_sum,SNVOR,penetration_scan,7.58346666666667,3.08325898791378e-06,2459562.00773061,-7.58346358340768,-0.999999593423546,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SNVOR,topology_compare,3.28415,3.08325898791378e-06,1065155.41278683,-3.28414691674101,-0.999999061169865,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_sum,SNVOR,wind_speed_scan,5.7652,3.08325898791378e-06,1869839.68022125,-5.76519691674101,-0.999999465194792,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SNVOR,penetration_scan,7.58346666666667,0.000308325898791378,24595.6200773061,-7.58315834076788,-0.99995934235458,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SNVOR,topology_compare,3.28415,0.000308325898791378,10651.5541278683,-3.28384167410121,-0.999906116986498,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_probability_percent,SNVOR,wind_speed_scan,5.7652,0.000308325898791378,18698.3968022125,-5.76489167410121,-0.999946519479152,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SNVOR,penetration_scan,7.58346666666667,0.00959228989919854,790.579386815685,-7.57387437676747,-0.998735104890569,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
stage_mean_severity,SNVOR,topology_compare,3.28415,0.00959228989919854,342.373930991639,-3.2745577101008,-0.997079216875235,"Compared to paper target group mean because unified stage-level smoke is not scenario-aligned to all calibration targets. Large scale gap remains; not suitable for calibration target replacement yet."
