parameter_set_id,sigma,metric_source,scale_variant,comparison_mode,valid_target_count,mean_abs_relative_gap,median_abs_relative_gap,trend_match_rate,topology_direction_match,wind_speed_direction_match,penetration_direction_match,score_rank,recommendation
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,paper_actual_from_table,compare_to_paper_actual_1e_minus_4,7,1531.8195142821,1420.34288475752,0.333333333333333,0,0,1,217,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,paper_actual_from_table,compare_to_paper_table_value,7,0.84671804857179,0.857865711524248,0.333333333333333,0,0,1,89,wrong_trend
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,paper_table_1e4,compare_to_paper_actual_1e_minus_4,7,15328194.142821,14213427.8475752,0.333333333333333,0,0,1,433,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,paper_table_1e4,compare_to_paper_table_value,7,1531.8195142821,1420.34288475752,0.333333333333333,0,0,1,218,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,percent,compare_to_paper_actual_1e_minus_4,7,153280.95142821,142133.288475752,0.333333333333333,0,0,1,373,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,percent,compare_to_paper_table_value,7,14.328195142821,13.2134288475752,0.333333333333333,0,0,1,133,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,raw,compare_to_paper_actual_1e_minus_4,7,1531.8195142821,1420.34288475752,0.333333333333333,0,0,1,219,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:CRI_basic,raw,compare_to_paper_table_value,7,0.84671804857179,0.857865711524248,0.333333333333333,0,0,1,90,wrong_trend
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:SLFOR,paper_actual_from_table,compare_to_paper_actual_1e_minus_4,7,3461.595667141,3448.85951015446,0.333333333333333,0,0,1,319,wrong_scale
benchmark_calibrated_seed,0.9,markov_chain_summary.basic:SLFOR,paper_actual_from_table,compare_to_paper_table_value,7,0.6537404332859,0.655014048984554,0.333333333333333,0,0,1,31,wrong_trend
