metric_name,target_group,source_variant,fit_type,scale_a,offset_b,rmse_before,rmse_after,relative_rmse_before,relative_rmse_after,r2_after,row_count,interpretation
CRI,penetration_scan,pilot_used,scale_only,383.722321255711,0,9.2725044014353,4.44830606292912,1.06892176823251,0.512794707510686,-0.786444968046837,12,scale_fit_poor_not_simple_scale_issue
CRI,penetration_scan,pilot_used,scale_offset,87.5435241548335,7.00102566713851,9.2725044014353,3.22709266297183,1.06892176823251,0.372014878204862,0.0597936237468175,12,scale_fit_poor_not_simple_scale_issue
CRI,penetration_scan,raw_markov_var,scale_only,10.966420800149,0,8.53003147510694,2.8977534637671,0.983330493328088,0.334049100684421,0.241905776371737,12,scale_fit_poor_not_simple_scale_issue
CRI,penetration_scan,raw_markov_var,scale_offset,39.7655072495946,-23.2470285042803,8.53003147510694,2.32521513298012,0.983330493328088,0.268047656152243,0.511880000905335,12,scale_fit_large_factor_metric_definition_check_needed
CRI,penetration_scan,weighted_markov_var,scale_only,10.9299102225214,0,8.53167950148249,2.96733186012883,0.983520475580043,0.342070004126457,0.205063278279802,12,scale_fit_poor_not_simple_scale_issue
CRI,penetration_scan,weighted_markov_var,scale_offset,40.9294543519947,-24.221141420172,8.53167950148249,2.47833487723999,0.983520475580043,0.285699093207397,0.445476063446156,12,scale_fit_large_factor_metric_definition_check_needed
CRI,penetration_scan,paper_severity_markov_var,scale_only,383.722321255711,0,9.2725044014353,4.44830606292912,1.06892176823251,0.512794707510686,-0.786444968046837,12,scale_fit_poor_not_simple_scale_issue
CRI,penetration_scan,paper_severity_markov_var,scale_offset,87.5435241548335,7.00102566713851,9.2725044014353,3.22709266297183,1.06892176823251,0.372014878204862,0.0597936237468175,12,scale_fit_poor_not_simple_scale_issue
CRI,topology_compare,pilot_used,scale_only,34.0982315130447,0,6.12873275380654,3.33000509361189,0.990942682211332,0.538421940031834,-10.8721948239969,8,scale_fit_poor_not_simple_scale_issue
CRI,topology_compare,pilot_used,scale_offset,9.46737713713146,5.07424024108086,6.12873275380654,0.0364907053299956,0.990942682211332,0.00590011000121195,0.998574373580428,8,scale_fit_improves_but_diagnostic_only
CRI,topology_compare,raw_markov_var,scale_only,9.23662786279194,0,5.73277946988327,2.88531598342436,0.926921778549378,0.466521036973905,-7.91308364773018,8,scale_fit_poor_not_simple_scale_issue
