scenario_id,check_item,expected_value,actual_value,match_status,severity,diagnosis_note
concentrated_bus34,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,wind_injection_mode,concentrated,concentrated,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,wind_buses,34,34,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,wind_capacity_total_mw,3000,3000,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,paper_wind_penetration,0.4,0.4,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,load_based_wind_penetration,diagnostic_only,0.479675355719,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
concentrated_bus34,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
concentrated_bus34,capacity_allocation_rule,single_bus_total_capacity,single_bus_total_capacity,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
distributed_30_39,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,wind_capacity_total_mw,3000,3000,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,paper_wind_penetration,0.4,0.4,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,load_based_wind_penetration,diagnostic_only,0.479675355719,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
distributed_30_39,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
distributed_30_39,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
