parameter_set_id,scenario_id,sigma,metric_name,metric_source,scale_variant,var_value,sample_count,valid_sample_count,quantile_rule,source_file,note
low_hidden_failure,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic,raw,1,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic,percent,100,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic,paper_table_1e4,10000,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic,paper_actual_from_table,1,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLFOR,markov_chain_summary.basic,raw,1,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLFOR,markov_chain_summary.basic,percent,100,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLFOR,markov_chain_summary.basic,paper_table_1e4,10000,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SLFOR,markov_chain_summary.basic,paper_actual_from_table,1,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SNVOR,markov_chain_summary.basic,raw,1,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SNVOR,markov_chain_summary.basic,percent,100,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
low_hidden_failure,concentrated_bus34,0.9,SNVOR,markov_chain_summary.basic,paper_table_1e4,10000,230,230,"R_var = quantile(chain_sample_values, sigma)",C:\Users\24186\Documents\New project 13\results\calibration\pilot\low_hidden_failure\concentrated_bus34\tables\markov_chain_summary.csv,scenario-aligned chain empirical VaR from existing pilot markov_chain_summary
